# $r で改行。" は入力できない、理由はスペースに意味のある文字列があるので
# わかりやすくするため。
# excel で編集すると " が消えてしまう為 excel で編集しないこと。

# クライアントデータのコードページ番号
CLIENT_DATA_CODE_PAGE,"932"

# 国識別番号
# 完全にクライアント用に作成したもの
# 香港と台湾は将来の事を考えてわけてある
# グローバルはKalydo海外用。Kalydo版exeにしか存在しないので注意
# 0 japan
# 1 korea
# 2 thai
# 3 hongkong
# 4 taiwan
# 5 global
LOCAL_SYSTEM_COUNTRY, "0"



# アプリケーション
APP_ERR_BOOT_LAUNCH,"eco_launchから起動してください。"
APP_ERR_PROBLEM,"問題が発生したため、終了します。"

APP_MENU_SYSTEM,"システム"
APP_MENU_LOGOUT,"ログアウト"
APP_MENU_END,"終了"

# DirectX
DX_ERR_TEX_FMT,"「A8R8G8B8」または「A1R5G5B5」のテクスチャが作成できませんでした。"
DX_ERR_CANT_INIT,"Direct3Dを初期化することができませんでした。"
DX_ERR_CANT_FIND_D3D,"互換性をもつDirect3Dを見つけることができませんでした。"
DX_ERR_RUN_16_OR_32_DM,"16ビットか32ビットのディスプレイモードで実行してください。"

DX_ERRMSG_0,"正常に終了しました。"
DX_ERRMSG_1,"DirectX のバージョンが8.0以降ではありません。"
DX_ERRMSG_2,"DirectX の初期化に失敗しました。"
DX_ERRMSG_3,"ソフトウェアモードで起動したため、$r非常に低速です。"
DX_ERRMSG_4,"起動に失敗しました。"
DX_ERRMSG_5,"必要なファイルが足りませんでした。"
DX_ERRMSG_6,"eco_launchから起動してください。"

# misc
MISC_NUM_0,"０"
MISC_NUM_1,"１"
MISC_NUM_2,"２"
MISC_NUM_3,"３"
MISC_NUM_4,"４"
MISC_NUM_5,"５"
MISC_NUM_6,"６"
MISC_NUM_7,"７"
MISC_NUM_8,"８"
MISC_NUM_9,"９"

MISC_DAY_0,"日"
MISC_DAY_1,"月"
MISC_DAY_2,"火"
MISC_DAY_3,"水"
MISC_DAY_4,"木"
MISC_DAY_5,"金"
MISC_DAY_6,"土"

MISC_DAY,"日"
MISC_HOUR,"時間"
MISC_MINUTE,"分"
MISC_SECOND,"秒"

MISC_PARCENT,"％"

# font 
FONT_SELECT_0,"ＭＳ ゴシック"
FONT_SELECT_1,"MS UI Gothic"
FONT_SELECT_2,"HG創英角ﾎﾟｯﾌﾟ体"
FONT_SELECT_3,"HG創英角ｺﾞｼｯｸUB"
FONT_SELECT_4,"ＭＳ Pゴシック"
FONT_SELECT_5,"HG明朝E"
FONT_SELECT_6,"HG行書体"
FONT_SELECT_7,"HG教科書体"
FONT_SELECT_8,"HG丸ｺﾞｼｯｸM-PRO"
FONT_SELECT_9,"HGSｺﾞｼｯｸE"
FONT_SELECT_10,"メイリオ"

FONT_DEFAULT_0,"ＭＳ ゴシック"
FONT_DEFAULT_1,"メイリオ"
FONT_DEFAULT_2,"メイリオ"
FONT_DEFAULT_3,"メイリオ"

FONT_DEFAULT_BITMAP_0,"1"
FONT_DEFAULT_BITMAP_1,"0"
FONT_DEFAULT_BITMAP_2,"0"
FONT_DEFAULT_BITMAP_3,"0"

FONT_SUB_0,"ＭＳ ゴシック"
FONT_SUB_1,"ＭＳ ゴシック"
FONT_SUB_2,"ＭＳ ゴシック"
FONT_SUB_3,"ＭＳ ゴシック"

FONT_SUB_BITMAP_0,"1"
FONT_SUB_BITMAP_1,"1"
FONT_SUB_BITMAP_2,"1"
FONT_SUB_BITMAP_3,"0"

FONT_3POINT_LEADER,"…"

# ゲーム全般
GAME_SCRSHOT_OK,"を作成しました"
GAME_CAPACITY_OVER,"容量オーバー"
GAME_PAYLOAD_OVER,"重量オーバー"
GAME_SIT,"座る"
GAME_SIGN_COMMENT,"看板コメント"
GAME_POSSESS_COMMENT,"憑依コメント"
GAME_NO_EQUIP_ITEM,"装備アイテムではありません"
GAME_HAVE_NOT_EQUIP_COND,"装備条件が整っていません"
GAME_HAVE_NOT_SETTING_COND,"設定条件が整っていません"
GAME_HAVE_NOT_COND,"条件が整っていません"
GAME_POSSESS_ITEM,"憑依アイテム"
GAME_INDEPENDENT,"無所属"
GAME_NORMAL,"通常"
GAME_POSSESS,"憑依中"
GAME_CHR_ROT,"キャラクター回転"
GAME_COMMENT_INPUT_COLUMN,"コメント記入欄"
GAME_WEIGHT,"重量"
GAME_CAPACITY,"容量"
GAME_NAME_TOO_LONG,"名前が長すぎます。"
GAME_CONTENT_TOO_LONG,"内容が長すぎます。"
GAME_CONFIRM,"確認"
GAME_GET_MONEY,"%lldGold入手しました"
GAME_LOSE_MONEY,"%lldGold失いました"
GAME_MADE_SCRNSHOT,"を作成しました"
GAME_HOW_MANY_MOVE,"　いくつ移動しますか？"
GAME_HOW_MANY_MOVE_CHIP,"　いくつ重ねますか？"
GAME_CANT_MOVE_POSSESS_ITEM,"憑依アイテムは移動できません"
GAME_STATECHG_BAD,"状態になりました"
GAME_STATECHG_GOOD,"状態が解除されました"
GAME_CANT_OPEN_CHRINFO,"これ以上キャラ情報ウィンドウは開けません"
GAME_CANT_REPEAT_SAME_STR,"同じ発言は何度も繰り返せません"
GAME_REMAIN_TIME,"残り時間"
GAME_HOW_MANY_INCREMENT,"　いくつ増やしますか？"
GAME_CHAT_PET_NG_WORD,"パートナーのセリフに不適切な文が含まれています"

GAME_LIMIT_DAY,"有効期限 %04d年%02d月%02d日%02d:%02d"

# EP消費ウィンドウ関係
GAME_MOVEITEM_EP_0,"所持EP"
GAME_MOVEITEM_EP_1,"消費EP"


GAME_DESKTOP_TIP_0,"ゲームを終了します"
GAME_DESKTOP_TIP_1,"ゲーム画面を最小化します"
GAME_DESKTOP_TIP_2,"ゲームのさまざまな環境を設定します"
GAME_DESKTOP_TIP_3,"ヘルプを表示します"
GAME_DESKTOP_TIP_4,"ドラッグすることでゲーム画面を移動できます"

GAME_MAIN_TIP_0,"キャラクターステータスを表示します"
GAME_MAIN_TIP_1,"アイテムウィンドウを表示します"
GAME_MAIN_TIP_2,"装備ウィンドウを表示します"
GAME_MAIN_TIP_3,"スキルウィンドウを表示します"
GAME_MAIN_TIP_4,"フレンドリストを表示します"
GAME_MAIN_TIP_5,"メールウィンドウを表示します"
GAME_MAIN_TIP_6,"クエストウィンドウを表示します"
GAME_MAIN_TIP_7,"ミニマップウィンドウを表示します"
GAME_MAIN_TIP_8,"マクロウィンドウを表示します"
GAME_MAIN_TIP_9,"移動するアイテムの数を決定します"
GAME_MAIN_TIP_10,"移動するアイテムの数を決定します"
GAME_MAIN_TIP_11,"振り分け後のパラメータ値を試算します"
GAME_MAIN_TIP_12,"オープンチャット"
GAME_MAIN_TIP_13,"パーティーチャット"
GAME_MAIN_TIP_14,"リングチャット"
GAME_MAIN_TIP_15,"ウィスパーチャット"
GAME_MAIN_TIP_16,"チャットルーム"
GAME_MAIN_TIP_17,"ミニゲームチャットルーム"

GAME_MAIN_TIP_18,"消費するＥＰ数を増加させます"
GAME_MAIN_TIP_19,"消費するＥＰ数を減少させます"

GAME_MAIN_TIP_20,"属性値ウィンドウを表示します"
GAME_MAIN_TIP_21,"イベントウィンドウを表示します"
GAME_MAIN_TIP_22,"メニューウィンドウを表示します"

GAME_MAIN_TIP_23,"エモーションウィンドウを表示します"
GAME_MAIN_TIP_24,"職業チャット"
GAME_MAIN_TIP_25,"状態異常リストを表示します"
GAME_MAIN_TIP_26,"マクロ内容を切り替えます"
GAME_MAIN_TIP_27,"マクロ内容を切り替えます"

GAME_MAIN_TIP_28,"プロテクトルームチャット"

GAME_DESKTOP_LAMP_0,"ログインサーバー接続ランプ"
GAME_DESKTOP_LAMP_1,"ログインサーバーログインランプ"
GAME_DESKTOP_LAMP_2,"メッセージサーバー接続ランプ"
GAME_DESKTOP_LAMP_3,"メッセージサーバーログインランプ"
GAME_DESKTOP_LAMP_4,"ゲームサーバー接続ランプ"
GAME_DESKTOP_LAMP_5,"ゲームサーバーログインランプ"
GAME_DESKTOP_SSMODE_BTN,"スクリーンショットモードボタン"

GAME_WINDOW_TIP_SIZECHANGE,"ウィンドウサイズを変更する"

