# NGワード
GAME_NGWORD_FIND,"入力文字に禁止語句が含まれています"
GAME_NGWORD_CAUTION,"禁止語句が含まれています"

# GuestID
GAME_GUESTID_ENABLE,"0"
GAME_GUESTID_OFFICIALSITEURL,"http://www.econline.jp/client/guest01.html"
GAME_GUESTID_TO_ACCOUNT_SITE_URL,"https://member.gungho.jp/guestid/member/center.aspx"
GAME_GUESTID_DONTOPENTHISWND,"今後この画面を表示しない"
GAME_GUESTID_AGREE,"同意してゲストIDを作成する"
GAME_GUESTID_MAILADDR,"メールアドレス"
GAME_GUESTID_CORRECTMAILADDR,"ご入力いただいたメールアドレスあてにゲストIDとパスワードをお送りします。$rお間違えのないようにご入力ください。"
GAME_GUESTID_INPUTRNDSTR,"表示されている文字列を入力し、$r「ok」ボタンをクリックしてください"
GAME_GUESTID_RNDSTRINPUTSTC,"文字列入力欄"
GAME_GUESTID_ERR_MAILADDR_EMPTY,"メールアドレスを入力してください"
GAME_GUESTID_ERR_RNDSTR_UNMATCH,"文字列が一致しません"
GAME_GUESTID_ERR_RNDSTR_EMPTY,"表示されている文字列を入力してください"
GAME_GUESTID_REQ_RESULT_1,"バージョンエラー"
GAME_GUESTID_REQ_RESULT_2,"基幹システムとの通信エラー"
GAME_GUESTID_REQ_RESULT_3,"要求が多過ぎて処理できませんでした"
GAME_GUESTID_REQ_RESULT_4,"現在メンテナンス中です"
GAME_GUESTID_LIMIT,"期限 %04d年%02d月%02d日"
GAME_GUESTID_REMAIN,"残り時間 %02d時間%02d分"

GAME_VIRTUAL_SYSKEY_CAPS,""
GAME_VIRTUAL_SYSKEY_BACK,""
GAME_VIRTUAL_SYSKEY_ENTER,""

GAME_ITEMUSEDMSG,"%s$r%s"

#
# from here. not use in japan.
#
GAME_CHGSHOP_NOTENOUGH_POINT,"残りポイントが足りません"
GAME_CHGSHOP_OPENCHRGPAGEBTN_URL,""
GAME_CHGSHOP_OPENCHRGPAGEBTN_URL_HANGAME,""
GAME_CHGSHOP_OPENCOUPONPAGEBTN_URL,""
GAME_CHGSHOP_OPENHELPPAGEBTN_URL,""

GAME_CHGSHOP_OPENCHRGPAGEBTN_URL_GUNGHO_JPN,"https://member.gungho.jp/front/ec/member/shoppoint/select.aspx"
GAME_CHGSHOP_OPENCHRGPAGEBTN_URL_HANGAME_JPN,"http://econline.hangame.co.jp/shop.nhn?m=point"
GAME_CHGSHOP_OPENCHRGPAGEBTN_URL_NICONICO_JPN,"http://app.nicovideo.jp/watch/ap244?view-params={%22page%22:%22charge%22}"
GAME_CHGSHOP_OPENHELPPAGEBTN_URL_GUNGHO_JPN,"http://econline.gungho.jp/manual/ecoshop.html"
GAME_CHGSHOP_OPENHELPPAGEBTN_URL_HANGAME_JPN,"http://hangame.econline.jp/ready/shoppoint/"
GAME_CHGSHOP_OPENHELPPAGEBTN_URL_NICONICO_JPN,"http://econline.gungho.jp/game_help/manual/ecoshop.html"
GAME_OPENLOTOFECOPAGEBTN_URL_GUNGHO_JPN,"http://econline.gungho.jp/econetstore/"
GAME_OPENLOTOFECOPAGEBTN_URL_HANGAME_JPN,"http://econline.hangame.co.jp/shop.nhn?m=onlineshop"
GAME_OPENLOTOFECOPAGEBTN_URL_NICONICO_JPN,"http://app.nicovideo.jp/watch/ap244?view-params={%22page%22:%22store%22}"
GAME_OPENIRISCARD_URL_GUNGHO_JPN,"http://econline.gungho.jp/gamedata/item/iriscard/"
GAME_OPENIRISCARD_URL_HANGAME_JPN,"http://econline.hangame.co.jp/enjoyable/iriscardsearch.php"
GAME_OPENIRISCARD_URL_NICONICO_JPN,"http://econline.gungho.jp/game_help/system/iriscard.html"
GAME_OPEN_LOOKCHANGEHELPBTN_URL_HELP_JPN,"http://econline.gungho.jp/gamedata/system/hair.html"
GAME_OPEN_LOOKCHANGEHELPBTN_URL_GAMEHELP_JPN,"http://econline.gungho.jp/game_help/system/hair.html"
GAME_OPEN_FUSION_URL_GAMEHELP_JPN,"http://econline.gungho.jp/game_help/system/fusion.html"
GAME_OPEN_IRISGACHA_URL_GAMEHELP_JPN,"http://econline.gungho.jp/game_help/system/iriscard.html"
GAME_OPEN_OTPMOTION_GAMEHELP_JPN,"http://tr.webantenna.info/rd?waad=mvazy4kc&ga=WAzCgj-1"
GAME_OPEN_ELEMENT_GAMEHELP_JPN,"http://econline.gungho.jp/game_help/system/attribute.html"
GAME_OPEN_IRISGACHA_SEARCH_JPN,"http://econline.gungho.jp/game_help/item/iriscard/"
GAME_OPEN_ANOTHERCHRONICL_GAMEHELP_JPN,"http://econline.gungho.jp/game_help/system/another-chronicle.html"
GAME_OPEN_STATUSICON_GAMEHELP_JPN,"http://econline.gungho.jp/game_help/system/status_display.html"
GAME_OPEN_DAILYDUNGEON_GAMEHELP_JPN,"http://econline.gungho.jp/game_help/system/daily-dungeon.html"
GAME_OPEN_ANOTHERORDERHELPBTN_URL_GAMEHELP_JPN,"http://econline.gungho.jp/game_help/facility/ancientarc.html#pickup01"



GAME_CHGSHOP_STR_A_PIECE,"個"
GAME_CHGSHOP_STR_CONFIRM,"以上の物を購入します。よろしいですか？"
GAME_CHGSHOP_STR_CAUTION,""
GAME_CHGSHOP_WARNING_RENTALITEM_STR,"使用期間が設定されている$rアイテム（青文字）が含まれています。$rこのアイテムは購入した瞬間から$rカウントダウンが始まります。$r$rよろしいですか？"
GAME_CHGSHOP_WARNING_RENTALITEM_STR2,"ギフトで送ることのできない$rアイテム（青文字）が含まれています。$r$r選択しなおしてください。"
# local setting
LOCAL_SYSTEM_CHGSHOPITEMICON_ENABLE, "1"
LOCAL_SYSTEM_DISP_GRADEIMG_OP_LOGIN, "0"
LOCAL_SYSTEM_ENABLE_ALARM_TIMER, "0"
LOCAL_SYSTEM_ALARM_TIMER_MINUTE, "60"
LOCAL_SYSTEM_ALARM_TIMER_MSG, "%02d時間%02d分経過しました"
LOCAL_SYSTEM_CHARGESHOPOPENBTN, "1"
LOCAL_SYSTEM_CHARGESHOPCONFIRMWND,"0"

LOCAL_SYSTEM_TIP_CHARGESHOPOPENBTN, "ＥＣＯＳＨＯＰを開きます"
LOCAL_SYSTEM_LOTOFECOOPENBTN, "1"
LOCAL_SYSTEM_TIP_LOTOBECOOPENBTN, "ＥＣＯドリーム購入ページを開きます"
LOCAL_SYSTEM_BROWSERBTN, "0"
LOCAL_SYSTEM_TIP_BROWSERBTN, ""
LOCAL_SYSTEM_BROWSERBTN_URL, ""
LOCAL_SYSTEM_DROPRULE_ENABLE, "1"
LOCAL_SYSTEM_VCELOGO_ENABLE, "0"
LOCAL_SYSTEM_VIRTUAL_KEYBOARD_ENABLE, "0"
LOCAL_SYSTEM_VIRTUAL_KEYBOARD_PUSHKEYRANDOM, "0"
LOCAL_SYSTEM_VIRTUAL_KEYBOARD_FORCHINA, "0"
LOCAL_SYSTEM_VIRTUAL_KEYBOARD_CAPTION, "ソフトキーボード"
LOCAL_SYSTEM_GVZ_LOGIN_ENABLE, "0"
LOCAL_SYSTEM_GVZ_LOGIN_MSG, ""
LOCAL_SYSTEM_SINGLESIGNON_ENABLE, "1"
LOCAL_SYSTEM_NPCGRAPH_DRAW_ON,"1"
