#奈落階層登録チームリストウインドウ
GAME_ABYSSTEAMLIST_TITLE,"奈落階層登録チームリスト"
GAME_ABYSSTEAMLIST_SORT_0,"チーム名"
GAME_ABYSSTEAMLIST_SORT_1,"名前（参加人数）"
GAME_ABYSSTEAMLIST_SORT_2,"階層"
GAME_ABYSSTEAMLIST_SORT_3,"条件"
GAME_ABYSSTEAMLIST_SORT_4,"コメント"
GAME_ABYSSTEAMLIST_DETAIL,"詳細"
GAME_ABYSSTEAMLIST_PAGE,"%d/%d"
GAME_ABYSSTEAMLIST_NAME,"%s (%d/%d)"
GAME_ABYSSTEAMLIST_FLOOR_NO,"－"
GAME_ABYSSTEAMLIST_FLOOR_IN,"%d"
GAME_ABYSSTEAMLIST_FLOOR_RESTART,"－(%d)"
GAME_ABYSSTEAMLIST_LOGPOINT,"%d階"
GAME_ABYSSTEAMLIST_NEED_PSW,"パスワードが必要です"
GAME_ABYSSTEAM_LEAVE,"加入中のチームから脱退します"
GAME_ABYSSTEAM_LEAVE_LEADER,"立ち上げたチームを解散します"
GAME_ABYSSTEAM_LEAVE_MEMBER_MSG,"%sさんがチームから脱退しました"
GAME_ABYSSTEAM_REQUEST,"加入申請中です"
GAME_ABYSSTEAM_REGIST,"%sに参加しました"
GAME_ABYSSTEAM_REGIST_ERROR-1,"何らかの原因で失敗しました"
GAME_ABYSSTEAM_REGIST_ERROR-2,"チームが満員のため入れませんでした"
GAME_ABYSSTEAM_REGIST_ERROR-3,"パスワードが違います"
GAME_ABYSSTEAM_REGIST_ERROR-4,"条件に合わなかったため入れませんでした"
GAME_ABYSSTEAM_REGIST_ERROR-5,"参加できませんでした"
GAME_ABYSSTEAM_REGIST_ERROR-6,"リーダーがいないため入れませんでした"
GAME_ABYSSTEAM_REGIST_ERROR-7,"チームが解散されているため入れませんでした"
GAME_ABYSSTEAM_REGIST_ERROR-8,"既にチームに参加しています"
GAME_ABYSSTEAM_REGIST_ERROR-9,"参加申し込みの上限に達しているため、申請を行えませんでした"
GAME_ABYSSTEAM_REGIST_ERROR-10,"申請許可を待っているユーザーは多数居たため、加入することは出来ませんでした"
GAME_ABYSSTEAM_REGIST_MSG_TITLE,"参加申請"
GAME_ABYSSTEAM_REGIST_MSG,"%sさんからチーム参加の申請がきています。$rＬＶ：%d　ＪＯＢ：%s"
GAME_ABYSSTEAM_REGIST_CANCEL,"参加を拒否しました"
GAME_ABYSSTEAM_LEAVE_MSG,"チーム「%s」を脱退しました"
GAME_ABYSSTEAM_LEAVE_ERROR-1,"既にチームが解散されています"
GAME_ABYSSTEAM_BREAK_MSG,"チーム「%s」を解散しました"
GAME_ABYSSTEAM_BREAK_ERROR1,"規定時間が経過したため、チームが解散されました"
GAME_ABYSSTEAM_BREAK_ERROR-1,"既にチームが解散されています"
GAME_ABYSSTEAM_REPLY_ERROR-1,"何らかの原因で失敗しました"
GAME_ABYSSTEAM_REPLY_ERROR-2,"参加申請を出したユーザーがロビー内に居なかったため、参加申請はキャンセルされました"
GAME_ABYSSTEAM_REPLY_ERROR-3,"既に他のチームに加入しているため、加入することが出来ませんでした。"
GAME_ABYSSTEAM_MEMBER_FLOOR,"奈落階層内：%d階"

#奈落階層登録チーム登録ウインドウ
GAME_ABYSSTEAM_SET_TITLE,"チーム登録"
