#アナザーブックウィンドウ
GAME_ANOTHERCHRONICLEWND_TITLE,"アナザーブック"
GAME_ANOTHERCHRONICLEWND_EXP_TAG,"ページ経験値："
GAME_ANOTHERCHRONICLEWND_EQUIP,"装着："
GAME_ANOTHERCHRONICLEWND_COMP,"完成数　%d / 5"
GAME_ANOTHERCHRONICLEWND_CHECK,"配置数"
GAME_ANOTHERCHRONICLEWND_ROM_NUM,"★"
GAME_ANOTHERCHRONICLEWND_STATUS_TAG,"上昇ステータス表示"
GAME_ANOTHERCHRONICLEWND_STATUS_EQUIP,"アナザーページ装着時"
GAME_ANOTHERCHRONICLEWND_STATUS_CHANGE,"アナザーページ開放時"
GAME_ANOTHERCHRONICLEWND_STATUS_0,"STR"
GAME_ANOTHERCHRONICLEWND_STATUS_1,"DEX"
GAME_ANOTHERCHRONICLEWND_STATUS_2,"INT"
GAME_ANOTHERCHRONICLEWND_STATUS_3,"VIT"
GAME_ANOTHERCHRONICLEWND_STATUS_4,"AGI"
GAME_ANOTHERCHRONICLEWND_STATUS_5,"MAG"
GAME_ANOTHERCHRONICLEWND_STATUS_6,"最大HP"
GAME_ANOTHERCHRONICLEWND_STATUS_7,"最大MP"
GAME_ANOTHERCHRONICLEWND_STATUS_8,"最大SP"
GAME_ANOTHERCHRONICLEWND_STATUS_9,"物理攻撃力(最小)"
GAME_ANOTHERCHRONICLEWND_STATUS_10,"物理攻撃力(最大)"
GAME_ANOTHERCHRONICLEWND_STATUS_11,"魔法攻撃力(最小)"
GAME_ANOTHERCHRONICLEWND_STATUS_12,"魔法攻撃力(最大)"
GAME_ANOTHERCHRONICLEWND_STATUS_13,"物理防御力(減算)"
GAME_ANOTHERCHRONICLEWND_STATUS_14,"魔法防御力(減算)"
GAME_ANOTHERCHRONICLEWND_STATUS_15,"近距離命中力"
GAME_ANOTHERCHRONICLEWND_STATUS_16,"遠距離命中力"
GAME_ANOTHERCHRONICLEWND_STATUS_17,"近距離回避力"
GAME_ANOTHERCHRONICLEWND_STATUS_18,"遠距離回避力"
GAME_ANOTHERCHRONICLEWND_STATUS_19,"攻撃速度"
GAME_ANOTHERCHRONICLEWND_STATUS_20,"詠唱速度"
GAME_ANOTHERCHRONICLEWND_STATUS_PILE,"重ね掛け"
GAME_ANOTHERCHRONICLEWND_STATUS_HELP,"ヘルプ"
GAME_ANOTHERCHRONICLEWND_UPDATE_ERR-1,"アナザーブックウィンドウを開けない状態です"
GAME_ANOTHERCHRONICLEWND_UPDATE_ERR-2,"ワールド対抗戦サーバーでは使用する事が出来ません"
GAME_ANOTHERCHRONICLEWND_HELP_IMG0,"「%s」"
GAME_ANOTHERCHRONICLEWND_HELP_IMG1,"$r%d枚"
GAME_ANOTHERCHRONICLEWND_HELP_MAKE,"紙片が全て配置されていると押すことができるようになり$rページを完成することができます"
GAME_ANOTHERCHRONICLEWND_HELP_SKILLLV,"スキルレベルの最大値を上げるには完成数を増やして下さい"
GAME_ANOTHERCHRONICLEWND_HELP_SKILLLV_MAX,"最大Lvです"
GAME_ANOTHERCHRONICLEWND_HELP_STATUS_PLUS,"上昇ステータス表示を開く"
GAME_ANOTHERCHRONICLEWND_HELP_STATUS_MINUS,"上昇ステータス表示を閉じる"
GAME_ANOTHERCHRONICLEWND_MSG_PIECE,"「%s」が必要です$r「%s」を消費して$r紙片の配置を行いますか？"
GAME_ANOTHERCHRONICLEWND_MSG_PIECE_1,"「%s」または$r「%s」が必要です$r「%s」を消費して$r紙片の配置を行いますか？"
GAME_ANOTHERCHRONICLEWND_MSG_PIECE_2,"「%s」を消費して$r紙片の配置を行いますか？"
GAME_ANOTHERCHRONICLEWND_MSG_PIECE_3,"これ以上配置する場合は$r完成数を上げて下さい"
GAME_ANOTHERCHRONICLEWND_MSG_PIECE_ERR_0,"これ以上配置する事が$r出来ません"
GAME_ANOTHERCHRONICLEWND_MSG_PIECE_ERR_1,"「%s」が$rありません"
GAME_ANOTHERCHRONICLEWND_MSG_PIECE_ERR_2,"「%s」または$r「%s」が$rありません"
GAME_ANOTHERCHRONICLEWND_PIECE_ERR0,"紙片の配置に成功しました"
GAME_ANOTHERCHRONICLEWND_PIECE_ERR-1,"何かしらの理由で配置が出来ませんでした"
GAME_ANOTHERCHRONICLEWND_PIECE_ERR-2,""
GAME_ANOTHERCHRONICLEWND_PIECE_ERR-3,"これ以上配置する事が出来ません"
GAME_ANOTHERCHRONICLEWND_PIECE_ERR-4,"必要な紙片を所持していないため、配置することが出来ませんでした"
GAME_ANOTHERCHRONICLEWND_PIECE_ERR-5,"イベント中なので実行できませんでした"
GAME_ANOTHERCHRONICLEWND_MSG_MAKE_0,"アナザーページの$r作成を行いますか？"
GAME_ANOTHERCHRONICLEWND_MSG_MAKE_1,"「%s」を使用して$rアナザーページの作成を行いますか？"
GAME_ANOTHERCHRONICLEWND_MSG_MAKE_1_1,"「%s」または$r「%s」が必要です$r「%s」を使用して$rアナザーページの作成を行いますか？"
GAME_ANOTHERCHRONICLEWND_MSG_MAKE_ERR_0,"選択したアナザーページは$rこれ以上作成する事が$r出来ません"
GAME_ANOTHERCHRONICLEWND_MSG_MAKE_ERR_1,"アナザーページの紙片が揃って$rいないため、作成することが$r出来ませんでした"
GAME_ANOTHERCHRONICLEWND_MSG_MAKE_ERR_2,"「%s」を所持して$rいないため、作成することが$r出来ませんでした"
