# 融合
GAME_ARMOR_FUSION_TITLE,"武具融合システム"
GAME_ARMOR_FUSION_LOOK_AT,"見た目"
GAME_ARMOR_FUSION_ABILITY,"能力"
GAME_ARMOR_FUSION_TEXT1,"の見た目を"
GAME_ARMOR_FUSION_TEXT2,"に移します"
GAME_ARMOR_FUSION_TEXT3,"に移します"
GAME_ARMOR_FUSION_TEXT4,"武具融合結果"
GAME_ARMOR_FUSION_TEXT5,"武具融合により装備条件に変更があります"
GAME_ARMOR_FUSION_ERR_0,"成功しました"
GAME_ARMOR_FUSION_ERR_1,"失敗しました"
GAME_ARMOR_FUSION_ERR_2,"キャンセルしました"
GAME_ARMOR_FUSION_ERR_3,"所持金が足りませんでした"
GAME_ARMOR_FUSION_ERR_4,"装備品の条件が合いませんでした"
GAME_ARMOR_FUSION_ERR_5,"装備品の種類が一致しませんでした"
GAME_ARMOR_FUSION_ERR_6,"装備品の性別の条件が一致しませんでした"
GAME_ARMOR_FUSION_ERR_7,"装備品の職業の条件が一致しませんでした"
GAME_ARMOR_FUSION_ERR_8,"装備品の騎士団限定条件が一致しませんでした"
GAME_ARMOR_FUSION_ERR_9,"イベントアイテムは変更できません"
GAME_ARMOR_FUSION_ERR_10,"見た目のほうがLvが低いため変更出来ません"
GAME_ARMOR_FUSION_ERR_30,"何らかの条件で失敗しました"
GAME_ARMOR_FUSION_TROUBLE_WARNING,"選択したアイテムは、耐久度が0になった場合に消滅しますが、融合しますか？"
GAME_ARMOR_FUSION_REINFORCE_WARNING,"選択した見た目アイテムの強化情報は失われますが、融合しますか？"
GAME_ARMOR_FUSION_REINFORCE_WARNING2,"選択した見た目アイテムのパートナー情報は失われますが、融合しますか？"
