#師弟システム
GAME_BOND_FRIENDLIST_BTN_ROW_0,"師匠"
GAME_BOND_FRIENDLIST_BTN_ROW_1,"弟子１"
GAME_BOND_FRIENDLIST_BTN_ROW_2,"弟子２"
GAME_BOND_FRIENDLIST_BTN_ROW_3,"弟子３"
GAME_BOND_FRIENDLIST_BTN_ROLE,"役割"
GAME_BOND_FRIENDLIST_BTN_NAME,"名前"
GAME_BOND_FRIENDLIST_BTN_NOWPOS,"現在位置"
GAME_BOND_FRIENDLIST_BTN_STATE,"状態"
GAME_BOND_FRIENDLIST_BTN_NOWPOINT,"指導ポイント"
GAME_BOND_FRIENDLIST_BTN_TOTALPOINT,"実績ポイント"
GAME_BOND_PUPILINVITATION_ERROR_0,"師匠になりました"
GAME_BOND_PUPILINVITATION_ERROR_1,"何らかの原因で失敗しました"
GAME_BOND_PUPILINVITATION_ERROR_2,"相手が見つかりませんでした"
GAME_BOND_PUPILINVITATION_ERROR_3,"既に師匠がいます"
GAME_BOND_PUPILINVITATION_ERROR_4,"拒否されました"
GAME_BOND_PUPILINVITATION_ERROR_5,"他の人から招待を受けています"
GAME_BOND_PUPILINVITATION_ERROR_6,"そのキャラクターは弟子になれません"
GAME_BOND_PUPILINVITATION_ERROR_7,"これ以上弟子を取ることが出来ません"
GAME_BOND_PUPILINVITATION_ERROR_8,"拒否しました"
GAME_BOND_PUPILINVITATION_ERROR_9,"相手と師弟関係を結べる状態ではありません"
GAME_BOND_PUPILINVITATION_ERROR_10,"相手の師弟関係設定が不許可になっています"
GAME_BOND_PUPILINVITATION_ERROR_11,"申請中です"
GAME_BOND_MASTERINVITATION_ERROR_0,"弟子になりました"
GAME_BOND_MASTERINVITATION_ERROR_1,"何らかの原因で失敗しました"
GAME_BOND_MASTERINVITATION_ERROR_2,"相手が見つかりませんでした"
GAME_BOND_MASTERINVITATION_ERROR_3,"既に違う人の弟子になっています"
GAME_BOND_MASTERINVITATION_ERROR_4,"拒否されました"
GAME_BOND_MASTERINVITATION_ERROR_5,"他の人から招待を受けています"
GAME_BOND_MASTERINVITATION_ERROR_6,"そのキャラクターは師匠になれません"
GAME_BOND_MASTERINVITATION_ERROR_7,"既に師匠がいます"
GAME_BOND_MASTERINVITATION_ERROR_8,"拒否しました"
GAME_BOND_MASTERINVITATION_ERROR_9,"相手と師弟関係を結べる状態ではありません"
GAME_BOND_MASTERINVITATION_ERROR_10,"相手の師弟関係設定が不許可になっています"
GAME_BOND_MASTERINVITATION_ERROR_11,"申請中です"
GAME_BOND_RELEASE_ERROR_0,"師弟関係が解消されました"
GAME_BOND_RELEASE_ERROR_1,"師弟関係の解消が失敗しました"
GAME_BOND_BONDNUM_ADD,"新たに弟子を取れるようになりました"
GAME_BOND_BOND_DETAIL,"師弟関係で分からないことがあればアクロポリスに居る天戒に聞いてみよう"

