# キャラクタ選択
GAME_CHRSEL_INPUT_DEL_KEY,"削除キーを入力してください"
GAME_CHRSEL_DIFF_DEL_KEY,"キャラ削除キーが違います"
GAME_CHRSEL_TITLE,"キャラクター選択"
# 09_10_15 ↓	キャラ選択のDEM専用枠	"For ～"で'～のために'
GAME_CHRSEL_FORDEM, "ＤＥＭ専用"
# 09_10_15 ↑

# キャラクタ作成
GAME_CHRMAKE_TITLE,"キャラクター作成"
GAME_CHRMAKE_RACE_CHARACTERISTIC,"種族特性"
GAME_CHRMAKE_NAME_MIN_ERR,"キャラクター名は半角2文字または全角2文字以上必要です"
GAME_CHRMAKE_SEX_MALE,"男性"
GAME_CHRMAKE_SEX_FEMALE,"女性"
GAME_CHRMAKE_SEX_MALE2,"< 男 >"
GAME_CHRMAKE_SEX_FEMALE2,"< 女 >"
GAME_CHRMAKE_COMMENT_MALE,"男女によって、専用装備があります"
GAME_CHRMAKE_COMMENT_FEMALE,"男女によって、専用装備があります"
GAME_CHRMAKE_SAMPLE_TAG,"サンプルキャラクター"
GAME_CHRMAKE_SAMPLE,"このキャラクターは$rサンプルキャラクターです。$rゲームを進行したり、課金アイテムを使うことで実現することが$rできます。"

GAME_CHRMAKE_FACE_1,"顔１"
GAME_CHRMAKE_FACE_2,"顔２"
GAME_CHRMAKE_FACE_3,"顔３"
GAME_CHRMAKE_FACE_4,"顔４"
GAME_CHRMAKE_FACE_5,"顔５"
GAME_CHRMAKE_FACE_6,"顔６"
GAME_CHRMAKE_FACE_7,"顔７"
GAME_CHRMAKE_FACE_8,"顔８"
GAME_CHRMAKE_FACE_9,"顔９"
GAME_CHRMAKE_FACE_10,"顔１０"
GAME_CHRMAKE_FACE_11,"顔１１"
GAME_CHRMAKE_FACE_12,"顔１２"
GAME_CHRMAKE_FACE_13,"顔１３"
GAME_CHRMAKE_FACE_14,"顔１４"
GAME_CHRMAKE_FACE_15,"顔１５"
GAME_CHRMAKE_FACE_16,"顔１６"
GAME_CHRMAKE_FACE_17,"顔１７"
GAME_CHRMAKE_FACE_18,"顔１８"
GAME_CHRMAKE_FACE_19,"顔１９"
GAME_CHRMAKE_FACE_20,"顔２０"
GAME_CHRMAKE_FACE_NEW,"顔%d"

GAME_CHRMAKE_HAIR_M1,"スキンヘッド"
GAME_CHRMAKE_HAIR_M2,"クルーカット"
GAME_CHRMAKE_HAIR_M3,"ナチュラル"
GAME_CHRMAKE_HAIR_M4,"ワイルド"
GAME_CHRMAKE_HAIR_M5,"ボーイズ"
GAME_CHRMAKE_HAIR_M6,"コンサバティブ"
GAME_CHRMAKE_HAIR_M7,"ロング"
GAME_CHRMAKE_HAIR_M8,"オールバック"
GAME_CHRMAKE_HAIR_M9,"ワンレングス"
GAME_CHRMAKE_HAIR_REFINE_M0,"リファインナチュラル"
GAME_CHRMAKE_HAIR_REFINE_M1,"リファインボーイズ"
GAME_CHRMAKE_HAIR_REFINE_M2,"リファインコンサバティブ"
GAME_CHRMAKE_HAIR_REFINE_M3,"リファインワンレングス"
GAME_CHRMAKE_HAIR_REFINE_M4,"リファインワイルド"
GAME_CHRMAKE_HAIR_REFINE_M5,"リファインオールバック"
GAME_CHRMAKE_HAIR_REFINE_M6,"リファインロング"
GAME_CHRMAKE_HAIR_REFINE_M8,"リファインクルーカット"
GAME_CHRMAKE_HAIR_F1,"ベリーショート"
GAME_CHRMAKE_HAIR_F2,"ショート"
GAME_CHRMAKE_HAIR_F3,"セミロング"
GAME_CHRMAKE_HAIR_F4,"レイヤー"
