# メールウィンドウ
GAME_MAIL_TITLE,"メール"
GAME_MAIL_GIFT_TITLE,"ギフトメール"
GAME_MAIL_SEND_TITLE,"メール作成"
GAME_MAIL_SEND_MIN_ERR,"送信先のキャラクター名は半角4文字または全角2文字以上必要です"
GAME_MAIL_STR_TOO_LONG,"文字列が長すぎます"
GAME_MAIL_NAME_TOO_LONG,"名前が長すぎます (%d)$r%s"
GAME_MAIL_SUBJECT_TOO_LONG,"件名が長すぎます (%d)$r%s"
GAME_MAIL_TEXT_TOO_LONG,"本文が長すぎます (%d)$r%s"
GAME_MAIL_SEND_NAME_ERR,"送信相手が見つかりません"
GAME_MAIL_SAVE_0,"クライアントに保存する"
GAME_MAIL_SAVE_1,"サーバーに保存する    "
GAME_MAIL_FAILED_MAKE_DIR,"メール保存のディレクトリ作成に失敗しました"
GAME_MAIL_FAILED_MAKE_FILE,"メール保存のファイル作成に失敗しました"
GAME_MAIL_CANT_OPEN_FILE,"読み取り専用ファイルのパスが指定されているか、指定したファイルが開いています"
GAME_MAIL_NOT_FOUND_FILE,"対象のファイルがみつかりませんでした"
GAME_MAIL_SERVER_NAME_1,"Lupinus"
GAME_MAIL_SERVER_NAME_2,"Clover"
GAME_MAIL_SERVER_NAME_3,"Freesia"
GAME_MAIL_SERVER_NAME_4,"Zinnia"
GAME_MAIL_SERVER_FILE_NAME_1,"mail_1"
GAME_MAIL_SERVER_FILE_NAME_2,"mail_2"
GAME_MAIL_SERVER_FILE_NAME_3,"mail_3"
GAME_MAIL_SERVER_FILE_NAME_4,"mail_4"
GAME_MAIL_SERVER_FILE_NAME_0,"mail_0"
GAME_MAIL_SENDNAME_ADD_ERR,"送信先は１０人までしか指定できません"

# シアターウィンドウ
GAME_THEATER_TITLE,"チケットセンター"

# ウィスパーウィンドウ
GAME_WHIS_TITLE,"ウィスパー"
GAME_WHIS_INPUT_SEND_NAME,"ここに相手の名前を入力"
GAME_WHIS_INPUT_COMMENT,"ここにコメントを入力"
GAME_WHIS_MUST_INPUT_NAME,"名前が入力されていません"
