# DEMカスタマイズウィンドウ　コストリミット増加ウィンドウ
GAME_DEMCOST_TITLE, "コストリミット増加"
GAME_DEMCOST_PARAM_0, "最大ＨＰ"
GAME_DEMCOST_PARAM_1, "最大ＭＰ"
GAME_DEMCOST_PARAM_2, "最大ＳＰ"
GAME_DEMCOST_PARAM_3, "最大ＰＡＹＬ"
GAME_DEMCOST_PARAM_4, "最大ＣＡＰＡ"
GAME_DEMCOST_PARAM_5, "ＳＴＲ"
GAME_DEMCOST_PARAM_6, "ＤＥＸ"
GAME_DEMCOST_PARAM_7, "ＩＮＴ"
GAME_DEMCOST_PARAM_8, "ＶＩＴ"
GAME_DEMCOST_PARAM_9, "ＡＧＩ"
GAME_DEMCOST_PARAM_10, "ＭＡＧ"
GAME_DEMCOST_PARAM_11, "ＡＴＫ"
GAME_DEMCOST_PARAM_12, "Ｍ.ＡＴＫ"
GAME_DEMCOST_PARAM_13, "Ｓ.ＨＩＴ"
GAME_DEMCOST_PARAM_14, "Ｌ.ＨＩＴ"
GAME_DEMCOST_PARAM_15, "ＤＥＦ"
GAME_DEMCOST_PARAM_16, "Ｍ.ＤＥＦ"
GAME_DEMCOST_PARAM_17, "Ｓ.ＡＶＯＩＤ"
GAME_DEMCOST_PARAM_18, "Ｌ.ＡＶＯＩＤ"
GAME_DEMCOST_PARAM_19, "Ａ.ＳＰＤ"
GAME_DEMCOST_PARAM_20, "Ｃ.ＳＰＤ"
GAME_DEMCOST_ERROR_0, "EPチャージに失敗しました。"
GAME_DEMCOST_ERROR_1, "EPが不足していて、チャージ出来ません。"
GAME_DEMCOST_ERROR_2, "コストリミットが最大の為、EPを消費できません。"
GAME_DEMCOST_ERROR_3, "これ以上、Lvを上げる事が出来ません。"


# DEMカスタマイズウィンドウ　フォーム選択ウィンドウ
GAME_DEMFORM_TITLE, "フォーム選択"
GAME_DEMFORM_STATIC_0, "物理攻撃力(叩)"
GAME_DEMFORM_STATIC_1, "物理攻撃力(斬)"
GAME_DEMFORM_STATIC_2, "物理攻撃力(突)"
GAME_DEMFORM_STATIC_3, "魔法攻撃力"
GAME_DEMFORM_STATIC_4, "物理防御力"
GAME_DEMFORM_STATIC_5, "魔法防御力"
GAME_DEMFORM_STATIC_6, "クリティカル力"
GAME_DEMFORM_STATIC_7, "クリティカル回避"
GAME_DEMFORM_STATIC_8, "回復力"
GAME_DEMFORM_STATIC_9, "魔法回復力"
GAME_DEMFORM_STATIC_10, "近距離命中力"
GAME_DEMFORM_STATIC_11, "遠距離命中力"
GAME_DEMFORM_STATIC_12, "魔法命中力"
GAME_DEMFORM_STATIC_13, "近距離回避力"
GAME_DEMFORM_STATIC_14, "遠距離回避力"
GAME_DEMFORM_STATIC_15, "魔法回避力"
GAME_DEMFORM_STATIC_16, "重量上昇"
GAME_DEMFORM_STATIC_17, "容量上昇"
GAME_DEMFORM_STATIC_18, "移動力上昇"
GAME_DEMFORM_STATIC_19, "ＨＰ上昇"
GAME_DEMFORM_STATIC_20, "ＭＰ上昇"
GAME_DEMFORM_STATIC_21, "ＳＰ上昇"
GAME_DEMFORM_STATIC_22, "ＳＴＲ上昇"
GAME_DEMFORM_STATIC_23, "ＤＥＸ上昇"
GAME_DEMFORM_STATIC_24, "ＩＮＴ上昇"
GAME_DEMFORM_STATIC_25, "ＶＩＴ上昇"
GAME_DEMFORM_STATIC_26, "ＡＧＩ上昇"
GAME_DEMFORM_STATIC_27, "ＭＡＧ上昇"
GAME_DEMFORM_ERROR1, "フォームチェンジに失敗しました。"
GAME_DEMFORM_ERROR2, "再度フォームチェンジを行うには少し時間を置いてください。"
