# DEM用パーツ融合
GAME_DEM_ARMOR_FUSION_TITLE,"パーツ融合システム"
GAME_DEM_ARMOR_FUSION_LOOK_AT,"パーツ"
GAME_DEM_ARMOR_FUSION_ABILITY,"能力"
GAME_DEM_ARMOR_FUSION_TEXT1,"のパーツに"
GAME_DEM_ARMOR_FUSION_TEXT2,"の能力を追加します"
GAME_DEM_ARMOR_FUSION_TEXT3,"の能力を追加します"
GAME_DEM_ARMOR_FUSION_ERR_0,"成功しました"
GAME_DEM_ARMOR_FUSION_ERR_1,"失敗しました"
GAME_DEM_ARMOR_FUSION_ERR_2,"キャンセルしました"
GAME_DEM_ARMOR_FUSION_ERR_3,"所持金が足りませんでした"
GAME_DEM_ARMOR_FUSION_ERR_4,"装備品の条件が合いませんでした"
GAME_DEM_ARMOR_FUSION_ERR_5,"装備品の種類が一致しませんでした"
GAME_DEM_ARMOR_FUSION_ERR_6,"装備品の性別の条件が一致しませんでした"
GAME_DEM_ARMOR_FUSION_ERR_7,"装備品の職業の条件が一致しませんでした"
GAME_DEM_ARMOR_FUSION_ERR_8,"装備品の騎士団限定条件が一致しませんでした"
GAME_DEM_ARMOR_FUSION_ERR_9,"イベントアイテムは変更できません"
GAME_DEM_ARMOR_FUSION_ERR_10,"見た目のほうがLvが低いため変更出来ません"
GAME_DEM_ARMOR_FUSION_ERR_30,"何らかの条件で失敗しました"



# DEM用チップ購入ウィンドウ
GAME_CHIPSHOP_TITLE, "チップ購入"
GAME_CHIPSHOP_NMLEXP_0, "所持経験値"
GAME_CHIPSHOP_NMLEXP_1, "必要経験値"
GAME_CHIPSHOP_NMLEXP_2, "残り経験値"
GAME_CHIPSHOP_JOBEXP_0, "所持職業経験値"
GAME_CHIPSHOP_JOBEXP_1, "必要職業経験値"
GAME_CHIPSHOP_JOBEXP_2, "残り職業経験値"
GAME_CHIPSHOP_NUM, "個数"
GAME_CHIPSHOP_ERROR_0, "基本経験値が不足しています。"
GAME_CHIPSHOP_ERROR_1, "職業経験値が不足しています。"
GAME_CHIPSHOP_ERROR_2, "これ以上、アイテムが持てません。"
GAME_CHIPSHOP_ERROR_3, "購入に失敗しました。"

# DEMパーツ構成ウィンドウ
GAME_PARTSSWITCH_NOEQUIP, "パーツを外す"


# チップ倉庫
GAME_CHIPWARE_TITLE, "チップ倉庫"
GAME_CHIPWARE_FILLTER_0, "STR"
GAME_CHIPWARE_FILLTER_1, "DEX"
GAME_CHIPWARE_FILLTER_2, "INT"
GAME_CHIPWARE_FILLTER_3, "VIT"
GAME_CHIPWARE_FILLTER_4, "AGI"
GAME_CHIPWARE_FILLTER_5, "MAG"
GAME_CHIPWARE_FILLTER_6, "スキル"
GAME_CHIPWARE_FILLTER_7, "リミテーション"
GAME_CHIPWARE_HELP, "預けられるのは%d種までです"
GAME_CHIPWARE_WARNING,"%d個収納できませんでした"
GAME_CHIPWARE_SETMSG,"%sを%d個預けました"
GAME_CHIPWARE_GETMSG,"%sを%d個引き出しました"
