# DEMカスタマイズウィンドウ
GAME_DEMCUSTOM_WNDCAPTION,"パーツカスタマイズ"

# DEMパーツ強化ウィンドウ
GAME_DEM_REINFORCE_TITLE, "パーツを強化するアイテム"
GAME_DEM_REINFORCE_TITLE2,"パーツ強化"

GAME_DEM_REINFORCE_MATERIAL,"材料"
GAME_DEM_REINFORCE_AFTER,"強化後"
GAME_DEM_REINFORCE_MSBGBOX, "%s を使用し、強化を行います"
GAME_DEM_REINFORCE_MSBGBOX2,"%s を %d個使用し、強化を行います"
GAME_DEM_REINFORCE_EFFECT_UP,"エフェクト変化"
GAME_DEM_REINFORCE_PFITEMWND,"強化失敗防止アイテム選択ウィンドウ"
GAME_DEM_REINFORCE_SSITEMWND,"成功率上昇アイテム選択ウィンドウ"
GAME_DEM_REINFORCE_NOTUSEPFITEM,"使用しない"
GAME_DEM_REINFORCE_MSGBOX_USEPFITEM,"%s を使用し、強化を行います"
GAME_DEM_REINFORCE_MSGBOX_NOTUSEPFITEM,"使用しないでよろしいですか？"
GAME_DEM_REINFORCE_MSGBOX_NOSUPPORT,"補助アイテムを使用せずに強化を行いますか？"


GAME_DEM_REINFORCE_OK,"の強化に成功しました"
GAME_DEM_REINFORCE_ERR0,"の強化に失敗しました"
GAME_DEM_REINFORCE_ERR1,"強化を行うためのお金が足りません"
GAME_DEM_REINFORCE_ERR2,"強化を行うアイテムが存在しません"
GAME_DEM_REINFORCE_ERR3,"強化材料がありません"
GAME_DEM_REINFORCE_ERR4,"対応する強化材料がありません"
