#DEMカスタマイズ関連
GAME_DEMIC_TITLE,"DEMIC"

GAME_DEMIC_CHIP_CATEGORY_0,"最大HP"
GAME_DEMIC_CHIP_CATEGORY_1,"最大MP"
GAME_DEMIC_CHIP_CATEGORY_2,"最大SP"
GAME_DEMIC_CHIP_CATEGORY_3,"最大重量"
GAME_DEMIC_CHIP_CATEGORY_4,"最大容量"
GAME_DEMIC_CHIP_CATEGORY_5,"物理攻撃力"
GAME_DEMIC_CHIP_CATEGORY_6,"魔法攻撃力"
GAME_DEMIC_CHIP_CATEGORY_7,"近距離命中力"
GAME_DEMIC_CHIP_CATEGORY_8,"遠距離命中力"
GAME_DEMIC_CHIP_CATEGORY_9,"物理防御力"
GAME_DEMIC_CHIP_CATEGORY_10,"魔法防御力"
GAME_DEMIC_CHIP_CATEGORY_11,"近距離回避力"
GAME_DEMIC_CHIP_CATEGORY_12,"遠距離回避力"
GAME_DEMIC_CHIP_CATEGORY_13,"攻撃速度"
GAME_DEMIC_CHIP_CATEGORY_14,"詠唱速度"

GAME_DEMIC_CHIP_STATUS_0,"STR"
GAME_DEMIC_CHIP_STATUS_1,"DEX"
GAME_DEMIC_CHIP_STATUS_2,"INT"
GAME_DEMIC_CHIP_STATUS_3,"VIT"
GAME_DEMIC_CHIP_STATUS_4,"AGI"
GAME_DEMIC_CHIP_STATUS_5,"MAG"

GAME_DEMIC_CHIP_LIST_0, "ステータスチップ：STR"
GAME_DEMIC_CHIP_LIST_1, "ステータスチップ：DEX"
GAME_DEMIC_CHIP_LIST_2, "ステータスチップ：INT"
GAME_DEMIC_CHIP_LIST_3, "ステータスチップ：VIT"
GAME_DEMIC_CHIP_LIST_4, "ステータスチップ：AGI"
GAME_DEMIC_CHIP_LIST_5, "ステータスチップ：MAG"
GAME_DEMIC_CHIP_LIST_6, "スキルチップ：共通系"
GAME_DEMIC_CHIP_LIST_7, "スキルチップ：ファイター系"
GAME_DEMIC_CHIP_LIST_8, "スキルチップ：スペルユーザー系"
GAME_DEMIC_CHIP_LIST_9,"スキルチップ：バックパッカー系"
GAME_DEMIC_CHIP_LIST_10,"リミテーションチップ"

GAME_PARTSSWITCH_0,"ヘッドパーツ"
GAME_PARTSSWITCH_1,"ボディパーツ"
GAME_PARTSSWITCH_2,"アームパーツ"
GAME_PARTSSWITCH_3,"レッグパーツ"
GAME_PARTSSWITCH_4,"バックパーツ"
GAME_PARTSSWITCH_5,"セットフォーム"

GAME_DEMIC_LOCK_PAGEM_MOVE,"チップブロックの配置を確定させていない状態ですので、$r現在のチップブロック配置で配置を確定します。$r本当によろしいですか？"
GAME_DEMIC_PANEL_CHANGE_ERROR,"現在表示されているパネルにチップ配置を行います。$rよろしいでしょうか？"
GAME_DEMIC_PANEL_INIT_ERROR,"現在表示されているパネルを初期化します。$rよろしいでしょうか？"
GAME_DEMIC_PANEL_VCASH_ERROR,"現在表示されているパネルにチップ配置を行います。$r現在表示されているパネルは初期化されます。$rよろしいでしょうか？"
GAME_DEMIC_PANEL_LOCK_ERROR,"現在表示されているパネルを確定します。$rよろしいでしょうか？"
GAME_DEMIC_ENGAGE_EP_ERROR,"エンゲージタスクを設置する場合EPを１消費します。$rよろしいでしょうか？"
GAME_DEMIC_ENGAGE_REMOVE_ERROR,"エンゲージタスクを撤去します。$r新たに設置する場合はEPを１消費することになりますが$r撤去してよろしいでしょうか？"

GAME_DEMIC_TEST_TITLE,"試算ステータス"
GAME_DEMIC_RESET_ERROR_0,"何らかの原因で開放に失敗しました"
GAME_DEMIC_RESET_ERROR_1,"アイテム所持数が100を超えてるので開放できませんでした"
GAME_DEMIC_RESET_ERROR_2,"ＥＰが足りません"

GAME_DEMIC_LOCK_ERROR_0,"何らかの原因で失敗しました"
GAME_DEMIC_LOCK_ERROR_1,"装着レベルが足りてないチップがあるため失敗しました"
GAME_DEMIC_LOCK_ERROR_2,"装着数がオーバーしているチップがあるため失敗しました"
GAME_DEMIC_LOCK_ERROR_3,"スキル取得限界数を超えているので失敗しました"
GAME_DEMIC_LOCK_ERROR_4,"限定チップは既に装着されています"
GAME_DEMIC_LOCK_ERROR_5,"パネル内にチップが収まっていないので失敗しました"
GAME_DEMIC_LOCK_ERROR_6,"チップ装着場所が開放されていません"
GAME_DEMIC_LOCK_ERROR_7,"チップ装着場所には元々チップが配置されているので失敗しました"
GAME_DEMIC_LOCK_ERROR_8,"アイテムが追加、削除できないため失敗しました"

GAME_DEMIC_PANEL_IN_ERROR_0,"既に対象のステータスチップは１０枚配置されています。"
GAME_DEMIC_PANEL_IN_ERROR_1,"対象のスキルチップは既に最大配置可能数に達しています。"
GAME_DEMIC_PANEL_IN_ERROR_2,"リミテーションチップは既に配置されています。"
GAME_DEMIC_PANEL_IN_ERROR_3,"装着可能Lvを満たしておりません。"
GAME_DEMIC_PANEL_IN_ERROR_4,"スキル取得数が限界に達しています（最大４０種）"

GAME_DEMIC_ENGAGE_ERROR_1,"何らかの原因で開放に失敗しました"
GAME_DEMIC_ENGAGE_ERROR_2,"ＥＰが足りません"

