# デュアルジョブウインドウ
GAME_DUALJOB_TITLE,"デュアルジョブ"
GAME_DUALJOB_TITLE_LEARN,"デュアルジョブ習得"
GAME_DUALJOB_NAME,"デュアルジョブ：%s"
GAME_DUALJOB_JOBLV,"ジョブレベル　：%3d"
GAME_DUALJOB_LIST_TEXTBTN0,"名前"
GAME_DUALJOB_LIST_TEXTBTN1,"現在/最大LV"
GAME_DUALJOB_LIST_TEXTBTN2,"次のスキルレベルまで"
GAME_DUALJOB_NEXT_NOT,"習得に必要なJOBLV:%3d"
GAME_DUALJOB_NEXT_LV,"次のレベルに必要なJOBLV:%3d"
GAME_DUALJOB_NEXT_NONE,"スキルレベルは最大です"
GAME_DUALJOB_SELECT,"選択スキル（ダブルクリックで外す）"
GAME_DUALJOB_JOBDETAIL_NOTSELECT,"$rこのデュアルジョブはすでに習得しているため$r習得する事が出来ません。"
GAME_DUALJOB_MSG_WARNIN_LEARN,"現在選択されているデュアルジョブを習得します$rよろしいですか？"
GAME_DUALJOB_MSG_WARNIN_CHANGE,"現在選択されているデュアルジョブとスキルを設定します$rよろしいですか？"
GAME_DUALJOB_MSG_NOSKILL_WARNIN_LEARN,"スキルが設定されていません$r現在選択されているデュアルジョブを習得します$rよろしいですか？"
GAME_DUALJOB_MSG_NOSKILL_WARNIN_CHANGE,"スキルが設定されていません$r現在選択されているデュアルジョブを設定します$rよろしいですか？"
GAME_DUALJOB_MSG_SKILLLIST_WARNIN,"これ以上スキルを登録できません$r選択スキルを外してください"
GAME_DUALJOB_ERR_0-1,"習得できない系統が選ばれました"
GAME_DUALJOB_ERR_0-2,"習得できないスキルが選ばれました"
GAME_DUALJOB_ERR_1-1,"選択できない系統が選ばれました"
GAME_DUALJOB_ERR_1-2,"選択できないスキルが選ばれました"
