# 装備ウィンドウ
GAME_EQUIP_TITLE,"装備"
GAME_EQUIP_PLACE_0,"頭"
GAME_EQUIP_PLACE_1,"頭"
GAME_EQUIP_PLACE_2,"顔"
GAME_EQUIP_PLACE_3,"顔"
GAME_EQUIP_PLACE_4,"胸アクセサリー"
GAME_EQUIP_PLACE_5,"上半身"
GAME_EQUIP_PLACE_6,"下半身"
GAME_EQUIP_PLACE_7,"背中"
GAME_EQUIP_PLACE_8,"右手"
GAME_EQUIP_PLACE_9,"左手"
GAME_EQUIP_PLACE_10,"靴"
GAME_EQUIP_PLACE_11,"靴下"
GAME_EQUIP_PLACE_12,"パートナー"
GAME_EQUIP_PLACE_13,"エフェクト"

GAME_EQUIP_EMOTION,"エモーションウィンドウを表示します"
GAME_EQUIP_SIGN,"キャラクターの上に表示させるコメントの作成、破棄を設定します"

GAME_EQUIP_SIGN_MENU_0,"看板の作成"
GAME_EQUIP_SIGN_MENU_1,"看板の破棄"
GAME_EQUIP_LOOKCHANGE,"見た目変更ウィンドウを表示します"
GAME_EQUIP_ANOTHERCHONICLE,"アナザーブックウィンドウを表示します"
GAME_EQUIP_TRANS,"転生特典ウィンドウを表示します"

GAME_EQUIP_SIGN_ERROR0,"憑依中は操作できません"

GAME_EQUIP_FORM_0,"ノーマルフォーム"
GAME_EQUIP_FORM_1,"マシナフォーム"

GAME_LOOKCHANGEWND_TITLE,"見た目変更"
GAME_LOOKCHANGEWND_RESET,"モーションを『待機』に戻す"
GAME_LOOKCHANGEWND_TEXT,"現在の見た目と選択した見た目の入れ替えを行います"
GAME_LOOKCHANGEWND_SELECT_TAG,"選択中の見た目情報"
GAME_LOOKCHANGEWND_EXTEND_TAG,"保管枠情報 拡張枠 / 最大拡張枠"
GAME_LOOKCHANGEWND_INFOLIST_0,"顔"
GAME_LOOKCHANGEWND_INFOLIST_1,"髪型"
GAME_LOOKCHANGEWND_INFOLIST_2,"髪色"
GAME_LOOKCHANGEWND_HELPTIME,"残り約% 2d日 % 2d時間% 2d分"
GAME_LOOKCHANGEWND_HELPTIME_LIMIT,"期限切れ"
GAME_LOOKCHANGEWND_CONFIRMMSG,"上記の見た目に変更しますか？"
GAME_LOOKCHANGEWND_ERR0,"見た目を変更いたしました"
GAME_LOOKCHANGEWND_ERR-1,"現在見た目の変更を行えない状態です"
GAME_LOOKCHANGEWND_ERR-2,"イベント中は見た目の変更を行えません"
