#お顔チェンジャー
GAME_FACECHANGEVIEW_TAIL,"顔"
GAME_FACECHANGEVIEW_EXPRESS,"表情"
GAME_FACECHANGEVIEW_EYE,"目の色"
GAME_FACECHANGEVIEW_RACE,"種族"
GAME_FACECHANGEVIEW_CAUTION_STRING,"このエモーションを習得しますか？"
GAME_FACECHANGEVIEW_ERROR_STRING,"既に習得済みのエモーションです"
GAME_FACECHANGEVIEW_ERROR2_STRING,"同じ顔には変更することができません"
GAME_FACECHANGEVIEW_USE_ERR_RACE_0,"このアイテムはエミル種族でしか使用できません"
GAME_FACECHANGEVIEW_USE_ERR_RACE_1,"このアイテムはタイタニア種族でしか使用できません"
GAME_FACECHANGEVIEW_USE_ERR_RACE_2,"このアイテムはドミニオン種族でしか使用できません"
GAME_FACECHANGEVIEW_USE_ERR_RACE_3,"このアイテムはＤＥＭ種族でしか使用できません"
GAME_FACECHANGEVIEW_USE_ERR_0,"現在利用できない状態です"
GAME_FACECHANGEVIEW_LEARN,"習得済みのEXエモーションです"


#お顔バインダー
GAME_FACEBINDER_TITLE,"マホウの鏡"
GAME_FACEBINDER_CHK,"｢マホウの鏡の契約証」を１枚使用して$rストックを開放しますか？"
GAME_FACEBINDER_ERROR,"ストックの開放に失敗しました。$rストック開放には$r｢マホウの鏡の契約証｣が必要です。"
GAME_FACEBINDER_CHANGE_ERROR,"何らかの原因で入れ替えに失敗しました"

GAME_CHARABASE_EYE_0,"黒色"
GAME_CHARABASE_EYE_1,"灰色"
GAME_CHARABASE_EYE_2,"こげ茶色"
GAME_CHARABASE_EYE_3,"茶色"
GAME_CHARABASE_EYE_4,"青色"
GAME_CHARABASE_EYE_5,"青緑色"
GAME_CHARABASE_EYE_6,"緑色"
GAME_CHARABASE_EYE_7,"黄色"
GAME_CHARABASE_EYE_8,"橙色"
GAME_CHARABASE_EYE_9,"赤色"
GAME_CHARABASE_EYE_10,"赤紫色"
GAME_CHARABASE_EYE_11,"紫色"
GAME_CHARABASE_EYE_12,"緑青オッドアイ"
GAME_CHARABASE_EYE_13,"黄緑オッドアイ"
GAME_CHARABASE_EYE_14,"赤黄オッドアイ"

GAME_CHARABASE_DEFAULT_0,"デフォルト0"
