#ファッション
GAME_FASHIONTRY_TITLE,"ファッション"
GAME_FASHIONTRY_FACE,"お顔スイッチャー"
GAME_FASHIONTRY_HAIR,"紹介状"
GAME_FASHIONTRY_SEARCH,"検索"
GAME_FASHIONTRY_FACE_TAG0,"顔"
GAME_FASHIONTRY_FACE_TAG1,"目の色"
GAME_FASHIONTRY_HAIR_TAG0,"髪型"
GAME_FASHIONTRY_HAIR_TAG1,"オプション"
GAME_FASHIONTRY_HAIR_TAG2,"髪色"
GAME_FASHIONTRY_HAIR_DEFAULT,"デフォルト"
GAME_FASHIONTRY_HAIR_REFINE,"リファイン"
GAME_FASHIONTRY_CANT_EQUIP,"現在のキャラでは装備できません"
GAME_FASHIONTRY_LOAD_ERR-1,"ファッション情報がありません"
GAME_FASHIONTRY_SAVE,"ファッション情報を保存しました"
GAME_FASHIONTRY_SAVE_ERR-1,"ファッション情報の保存に失敗しました"
GAME_FASHIONTRY_SAVE_ERR-2,"ファッション情報の保存数が上限に達しています"
GAME_FASHIONTRY_SAVE_ERR-3,"名前を入力してください"
GAME_FASHIONTRY_DEL,"ファッション情報を削除しました"
GAME_FASHIONTRY_DEL_ERR-1,"削除に失敗しました"
GAME_FASHIONTRY_DEL_CONFIRM,"「%s」を削除してもよろしいですか？"
