
#飛空城入場ウィンドウ
GAME_CASTLELIST_TITLE,"飛空城リスト"
GAME_CASTLELIST_CASTLE_TXT,"リング飛空城："
GAME_CASTLELIST_PAGE,"%d/%d"
GAME_CASTLELIST_SORTBTN_CASTLENAME,"飛空城名"
GAME_CASTLELIST_SORTBTN_CASTLELV,"LV"
GAME_CASTLELIST_SORTBTN_RINGNAME,"所有リング名"
GAME_CASTLELIST_SORTBTN_COMMENT,"コメント"
GAME_CASTLELIST_NEED_ACCESS,"アクセス権限が必要です"
GAME_CASTLELIST_NOTACCESS_ERR,"アクセス権限が無いため、入場に失敗しました"
GAME_CASTLELIST_ADMISSION_ERR_0,"混み合っているため、入場に失敗しました"
GAME_CASTLELIST_ADMISSION_ERR_1,"何らかの原因で失敗しました"


#飛空城　ビュートリガー
GAME_FCASTLE_VIEW_ERROR_EVENT, "イベント中の為、ビューモードには出来ません"
#飛空城　ビュー操作
GAME_FCASTLE_VIEW_OPE_TITLE,"ビューマネージャー"
GAME_FCASTLE_VIEW_OPE_FONT,"カーソルキーで視点の$r移動が出来ます"

#飛空城　情報ウィンドウ
GAME_FCASTLE_INFO_TITLE,"飛空城情報"
GAME_FCASTLE_INFO_CASTLE_TAG0,"飛空城名"
GAME_FCASTLE_INFO_CASTLE_TAG1,"飛空城 Lv"
GAME_FCASTLE_INFO_MSG_TAG0,"入場"
GAME_FCASTLE_INFO_MSG_TAG1,"状態"
GAME_FCASTLE_INFO_MSG_RIGHT0,"無制限"
GAME_FCASTLE_INFO_MSG_RIGHT1,"リングメンバーのみ"
GAME_FCASTLE_INFO_MSG_STATE0,"正常"
GAME_FCASTLE_INFO_MSG_STATE1,"滞納中"
GAME_FCASTLE_INFO_MSG_STATE2,"差し押さえ"
GAME_FCASTLE_INFO_MSG_STATE3,"維持不能"
GAME_FCASTLE_INFO_HELP_TAB0,"飛空城の基本情報を表示します"
GAME_FCASTLE_INFO_HELP_TAB1,"飛空城の拡張情報を表示します"
GAME_FCASTLE_INFO_HELP_TAB2,"飛空城の土台情報を表示します"
GAME_FCASTLE_INFO_BASE_POINT_TAG0,"所持マテリアルポイント"
GAME_FCASTLE_INFO_BASE_POINT_TAG1,"マテリアルコスト"
