
# 飛空城　ファーム
# システムメッセージ
GAME_FCFARM_SYSMSG_UNITLVUP0,"配置中のアトラクションユニットレベルが%dになりました"
GAME_FCFARM_SYSMSG_UNITLVUP1,"ウネが拡張され、種がより多く植えられるようになりました"
# 共通エラーメッセージ
GAME_FCFARM_COMMON_ERROR_3,"差し押さえ状態"
GAME_FCFARM_COMMON_ERROR_4,"強制撤去状態"
# 種まき
GAME_FCFARM_SOWSEEDWND_TITTLE,"種まきウィンドウ"
GAME_FCFARM_SOWSEEDWND_SET_ERROR,"対象外のアイテムです"
GAME_FCFARM_SOWSEEDWND_ERROR,"種をまけない状態"
GAME_FCFARM_SOWSEEDWND_COMPELCLOSE,"他のユーザーが種を植えたため、ウィンドウが閉じられました"
# 作物情報
GAME_FCFARM_CROPINFOWND_TITTLE,"作物情報ウィンドウ"
GAME_FCFARM_CROPINFOWND_INFOTAG0,"種の名前"
GAME_FCFARM_CROPINFOWND_INFOTAG1,"種の主"
GAME_FCFARM_CROPINFOWND_INFOTAG2,"収穫時期"
GAME_FCFARM_CROPINFOWND_INFOSTC0,"%d 日　【%d時間 %d分】"
GAME_FCFARM_CROPINFOWND_INFOSTC1,"-%d 日　【-%d時間 %d分】"
GAME_FCFARM_CROPINFOWND_GAUGE0,"成長度"
GAME_FCFARM_CROPINFOWND_GAUGE1,"愛情度"
GAME_FCFARM_CROPINFOWND_GROW,"作物の世話"
GAME_FCFARM_CROPINFOWND_CROP,"収穫"
GAME_FCFARM_CROPINFOWND_COMMAND0,"基本栽培"
GAME_FCFARM_CROPINFOWND_COMMAND1,"高等栽培"
GAME_FCFARM_CROPINFOWND_ERROR_2,"実行できない栽培"
GAME_FCFARM_CROPINFOWND_ERROR_5,"栽培済み"
GAME_FCFARM_CROPINFOWND_ERROR_6,"成長度が足りないため、間引けませんでした"
GAME_FCFARM_CROPINFOWND_COMPELCLOSE,"この作物は収穫されたため、ウィンドウが閉じられました"
GAME_FCFARM_CROPINFOWND_NPC_ERROR0,"設置したリングのリングメンバーではない為、使用できません"
GAME_FCFARM_CROPINFOWND_NPC_ERROR1,"このウネに自身の作物が存在しない為、使用できません"
GAME_FCFARM_CROPINFOWND_CONFIRM,"収穫したアイテムが下記の条件に当てはまると$r収穫できません。$r収穫ＢＯＸの確認をお勧め致します。$r$r　・収穫した際に９９個を超える場合$r　　１００個以上は収穫できません。$r$r収穫を続行しますか？" 
# 収穫リスト
GAME_FCFARM_CROPLISTWND_TITTLE,"収穫リストウィンドウ"
GAME_FCFARM_CROPLISTWND_STR,"%s %d個"
GAME_FCFARM_CROPLISTWND_FONT,"を手に入れました"
GAME_FCFARM_CROPLISTWND_GET_ANNOUNCE,"%sを%d個を収穫しました"
GAME_FCFARM_CROPLISTWND_ERROR_2,"実行できない栽培"
GAME_FCFARM_CROPLISTWND_ERROR_5,"誰かが収穫BOXを利用中"
GAME_FCFARM_CROPLISTWND_ERROR_6_0,"収穫BOXに31種類以上ある状態のため、これ以上収穫できません"
GAME_FCFARM_CROPLISTWND_ERROR_6_1,"収穫BOXを整理してから収穫して下さい"
GAME_FCFARM_CROPLISTWND_LOST_ANNOUNCE,"%sは、これ以上収穫BOXに入りませんでした"
# 収穫BOX
GAME_FCFARM_HARVESTBOX_TITLE,"収穫BOX"
GAME_SMSG_HARVESTBOX_ERR1,"なんらかの原因で失敗しました"
GAME_SMSG_HARVESTBOX_ERR2,"アイテム所持数が100個を超えるため取得に失敗しました"
GAME_SMSG_HARVESTBOX_ERR3,"指定した格納場所は使用できません"

# ファーム図鑑
GAME_FCFARM_GUIDEBOOKWND_TITTLE,"ファーム図鑑"
GAME_FCFARM_GUIDEBOOKWND_CONFIRM,"%sを%d個を登録します"
GAME_FCFARM_GUIDEBOOKWND_CONFIRM_OVER,"%sを%d個を登録します。$r登録に必要な数を超えた為、個数を制限しました。"
GAME_FCFARM_GUIDEBOOKWND_DROP_ERROR,"登録対象外の$sアイテムです"
GAME_FCFARM_GUIDEBOOKWND_ERROR,"アイテムをこれ以上の登録することは出来ません"
GAME_FCFARM_GUIDEBOOKWND_ERRORMSGBOX,"登録に必要な数を超えているため$rアイテムを登録することは出来ませんでした。"
GAME_FCFARM_GUIDEBOOKWND_ANOTHERWARNING,"自身、あるいはリングメンバーの方が$rアナザーコンプリートの褒賞受領せずに$r再度、アナザーコンプリートに至った場合$r前回のアナザーコンプリート分の褒賞は$r受け取れなくなります。$r$r本当に登録しても宜しいですか？"
GAME_FCFARM_GUIDEBOOKWND_RANKNUM,"（あと %d 個）"
GAME_FCFARM_GUIDEBOOKWND_REWARDERROR,"アイテム所持数が100個を超えるため取得に失敗しました"
GAME_FCFARM_GUIDEBOOKWND_UNKNOWN,"未鑑定品のため登録できませんでした"
