# 水生生物図鑑
GAME_FCFISH_GUIDEBOOKWND_TITTLE,"水生生物図鑑"
GAME_FCFISH_GUIDEBOOKWND_TEXTBTN0,"番号"
GAME_FCFISH_GUIDEBOOKWND_TEXTBTN1,"名前"
GAME_FCFISH_GUIDEBOOKWND_TEXTBTN2,"好みの餌色"
GAME_FCFISH_GUIDEBOOKWND_REWARD_ERROR2,"インベントリが一杯で、受け取れない"
GAME_FCFISH_GUIDEBOOKWND_REWARD_ERROR3,"所持可能金額を超えてしまうので、受け取れない"
#飛空城　釣堀
GAME_FCFISHING_BAITEQUIPWND_TITLE,"餌装備"
GAME_FCFISHING_WATERCHANGE_ERR_0,"水質変更に失敗しました"
GAME_FCFISHING_WATERCHANGE_ERR_1,"イベント実行中のため変更できません"
GAME_FCFISHING_WATERCHANGE_ERR_2,"前回の水質変更から６０分が経過していないため変更できません"
GAME_FCFISHING_WATERCHANGE_ERR_3,"飛空城が差し押さえ状態のため変更できません"
GAME_FCFISHING_WATERCHANGE_ERR_4,"強制撤去状態のため変更できません"

GAME_FCFISHING_RESULT_0,"何も釣れなかった"
GAME_FCFISHING_RESULT_1,"%sが釣れた"
GAME_FCFISHING_RESULT_2,"%sが釣れた"
GAME_FCFISHING_RESULT_3,"%s[超大物]が釣れた"
GAME_FCFISHING_RESULT_4,"%s[大物]が釣れた"
GAME_FCFISHING_RESULT_5,"%s[普通]が釣れた"
GAME_FCFISHING_RESULT_6,"%s[小物]が釣れた"


GAME_FCFISHING_SYSMSG_ERROR_1,"水質変更に失敗しました"
GAME_FCFISHING_SYSMSG_ERROR_2,"イベント実行中のため変更できません"
GAME_FCFISHING_SYSMSG_ERROR_3,"前回の水質変更から６０分が経過していないため変更できません"
GAME_FCFISHING_SYSMSG_ERROR_4,"飛空城が差し押さえ状態のため変更できません"
GAME_FCFISHING_SYSMSG_ERROR_5,"強制撤去状態のため変更できません"
GAME_FCFISHING_SYSMSG_ERROR_6,"他のプレイヤーが操作中のため操作できません"

# 釣りランキング
GAME_FISHRANKINGWND_TITTLE,"前回の釣りランキング"
GAME_FISHRANKINGWND_STC0,"順位"
GAME_FISHRANKINGWND_STC2,"位"
GAME_FISHRANKINGWND_STC3,"スコア"
GAME_FISHRANKINGWND_STC5,"Point"
GAME_FISHRANKINGWND_TEXTBTN0,"順位"
GAME_FISHRANKINGWND_TEXTBTN1,"名前"
GAME_FISHRANKINGWND_TEXTBTN2,"スコア"
GAME_FISHRANKINGWND_RANKING_OVER,"計測不可"

GAME_FCFISHING_BAITEQUIP_ERR_0,"餌の装備に失敗しました"
GAME_FCFISHING_BAITEQUIP_ERR_1,"釣り中のため変更できません"
GAME_FCFISHING_BAITEQUIP_ERR_2,"釣竿を装備していないため餌の装備に失敗しました"
