# 飛空庭ウィンドウタイトル
GAME_FLYGARDEN_MAKE_WND,"飛空庭製造"
GAME_FLYGARDEN_EQUIP_WND,"飛空庭改造"
GAME_FLYGARDEN_WAREHOUSE_WND,"飛空庭倉庫"
GAME_FLYGARDEN_PERMISSION_WND,"ゲストの入庭許可設定"

# 飛空庭入庭許可設定ウィンドウ
GAME_FLYGARDEN_ALL_0,"フレンド全員を"
GAME_FLYGARDEN_ALL_1,"リング全員を"
GAME_FLYGARDEN_ALL_2,"パーティ全員を"

# 飛空庭倉庫ウィンドウ
GAME_FLYGARDEN_WH_TEXT,"預けている数"
GAME_FLYGARDEN_WH_OVER,"アイテム数が許容量を超えてしまう為キャンセルされました"

# 家具設置ウィンドウ
GAME_FURNITURESETWND,"配置"
GAME_FURNITURESETWND_DECIDE,"位置を決めてください。"

GAME_FURNITURESETWND_HELP1,"左ドラッグ → 座標移動"
GAME_FURNITURESETWND_HELP2,"右ドラッグ → Y軸回転"
GAME_FURNITURESETWND_HELP3,"Ctl+右ドラッグ → X軸回転"
GAME_FURNITURESETWND_HELP4,"Shift+右ドラッグ → Z軸回転"

GAME_FURNITURESETWND_ROTX,"軸X"
GAME_FURNITURESETWND_ROTY,"軸Y"
GAME_FURNITURESETWND_ROTZ,"軸Z"
GAME_FURNITURESETWND_ROT,"回転"
GAME_FURNITURESETWND_HEIGHT,"高さ"
GAME_FURNITURESETWND_POSSNAP,"位置スナップ"
GAME_FURNITURESETWND_NOWPOS,"座標(X=%4d/ Y=%4d/ Z=%4d)"

GAME_FURNITURE_SET_FAIL,"家具を設置出来ない場所です"
