# フレンド
GAME_FRIEND_TITLE,"コミュニティ"
GAME_FRIEND_REQ,"%sさんから$rフレンド登録要請を受けました"
GAME_FRIEND_REQ_TITLE,"フレンド登録要請"
GAME_FRIEND_REQ_PARTY,"%sの%sさんから$rフレンド登録要請を受けました"
GAME_FRIEND_DEL,"%sさんをフレンドリストから削除します"
GAME_FRIEND_BLOCK,"フレンド申請された場合に、自動的に拒否する不許可設定を ON にしますか？$r※自キャラの右クリックメニューの設定で変更できます"

GAME_FRIEND_MENU_0,"ウィスパー"
GAME_FRIEND_MENU_1,"メール"
GAME_FRIEND_MENU_2,"フレンドリストから削除"

GAME_FRIEND_MENU2_0,"ウィスパー"
GAME_FRIEND_MENU2_1,"メール送信先に追加"
GAME_FRIEND_MENU2_2,"フレンドリストから削除"

GAME_FRIEND_INVITE_FRIEND,"フレンドに誘う"
GAME_FRIEND_INVITE_PARTY,"パーティに誘う"
GAME_FRIEND_INVITE_RING,"リングに誘う"

GAME_FRIEND_LIST_REGISTERWND,"キャラクター名を入力してください"
GAME_FRIEND_LIST_REGISTER_SET_STR,"%sさんをフレンドに誘いますか？"

GAME_PARTY_LIST_REGISTERWND,"キャラクター名を入力してください"
GAME_PARTY_LIST_REGISTER_SET_STR,"%sさんをパーティに誘いますか？"

GAME_RING_LIST_REGISTERWND,"キャラクター名を入力してください"
GAME_RING_LIST_REGISTER_SET_STR,"%sさんをリングに誘いますか？"

GAME_FRIEND_STATE_0,"オフライン"
GAME_FRIEND_STATE_1,"オンライン"
GAME_FRIEND_STATE_2,"募集中"
GAME_FRIEND_STATE_3,"取り込み中"
GAME_FRIEND_STATE_4,"お話し中"
GAME_FRIEND_STATE_5,"休憩中"
GAME_FRIEND_STATE_6,"退席中"
GAME_FRIEND_STATE_7,"戦闘中"
GAME_FRIEND_STATE_8,"商売中"
GAME_FRIEND_STATE_9,"憑依中"
GAME_FRIEND_STATE_10,"クエスト中"
GAME_FRIEND_STATE_11,"お祭り中"
GAME_FRIEND_STATE_12,"連絡求む"

GAME_FRIEND_RING_FCSTATE_TAG,"飛空城 入手状況:"
GAME_FRIEND_RING_FCSTATE_0,"未入手"
GAME_FRIEND_RING_FCSTATE_1,"作成可能"
GAME_FRIEND_RING_FCSTATE_3,"入城済み"
GAME_FRIEND_RING_FCSTATE_4,"作成中"

GAME_FRIEND_ROOM_SORT_0,"名前"
GAME_FRIEND_ROOM_SORT_1,"パートナー"
GAME_FRIEND_ROOM_SORT_2,"LV/転生"
GAME_FRIEND_ROOM_SORT_3,"ランク"
GAME_FRIEND_ROOM_SORT_4,"信頼度"
GAME_FRIEND_ROOM_SORT_5,"状況"
GAME_FRIEND_ROOM_ROOMNAME,"■%s"
GAME_FRIEND_ROOM_ROOMINFO,"■%s"
GAME_FRIEND_ROOM_NUM,"■%d/%d"
GAME_FRIEND_ROOM_LV_0,"%d/未"
GAME_FRIEND_ROOM_LV_1,"%d/済"
GAME_FRIEND_ROOM_RANK_0,"H"
GAME_FRIEND_ROOM_RANK_1,"G"
GAME_FRIEND_ROOM_RANK_2,"F"
GAME_FRIEND_ROOM_RANK_3,"E"
GAME_FRIEND_ROOM_RANK_4,"D"
GAME_FRIEND_ROOM_RANK_5,"C"
GAME_FRIEND_ROOM_RANK_6,"B"
GAME_FRIEND_ROOM_RANK_7,"A"
GAME_FRIEND_ROOM_RANK_8,"S"
GAME_FRIEND_ROOM_RANK_9,"SS"
GAME_FRIEND_ROOM_RANK_10,"SSS"
GAME_FRIEND_ROOM_STATE_0,"準備中"
GAME_FRIEND_ROOM_STATE_1,"準備完了"
GAME_FRIEND_ROOM_STATE_2,"ゲーム中"
GAME_FRIEND_ROOM_READY_MSG,"準備状況を更新しますか？"
GAME_FRIEND_ROOM_START_MSG,"パートナープロテクトを$r開始しますか？"
GAME_FRIEND_ROOM_START2_MSG,"パートナープロテクトを$r今すぐ開始しますか？"
