# システムメッセージ(ギフトシステム)
GAME_GIFTBOX_TITLE,"ギフト"
GAME_SMSG_GIFT_SYSTEM_RESULT0,"ギフトが正常に送られました"
GAME_SMSG_GIFT_SYSTEM_RESULT1,"送り先のギフトスロットに空きがありません"
GAME_SMSG_GIFT_SYSTEM_RESULT2,"仮想マネーが足りていません"
GAME_SMSG_GIFT_SYSTEM_RESULT3,"送り先のキャラクターが存在しません"
GAME_SMSG_GIFT_SYSTEM_RESULT4,"その他"
GAME_SMSG_GIFT_SYSTEM_RESULT5,"ギフトでは送れないアイテムが含まれています"
GAME_SMSG_GIFT_SYSTEM_RESULT6,""
GAME_SMSG_GIFT_SYSTEM_RESULT7,""
GAME_SMSG_GIFT_SYSTEM_RESULT8,""
GAME_SMSG_GIFT_SYSTEM_RESULT9,""
GAME_SMSG_GIFT_SYSTEM_MESSAGE0,"アイテムを送信しました"
GAME_SMSG_GIFT_SYSTEM_MESSAGE1,"アイテムの送信に失敗しました$r送り先のギフトスロットに空がありません"
GAME_SMSG_GIFT_SYSTEM_MESSAGE2,"アイテムの送信に失敗しました$rShopPointが不足しています"
GAME_SMSG_GIFT_SYSTEM_MESSAGE3,"アイテムの送信に失敗しました$r送り先のキャラクターが存在しません"
GAME_SMSG_GIFT_SYSTEM_MESSAGE4,"アイテムの送信に失敗しました"
GAME_SMSG_GIFT_SYSTEM_MESSAGE5,"アイテムの送信に失敗しました$rＬＶ制限が付いているアイテムはギフトで送信することはできません"

GAME_SMSG_GIFT_SYSTEM_R_RESULT,"アイテムの入手に失敗しました"
GAME_SMSG_GIFT_SYSTEM_R_RESULT1,"ギフトの操作が出来ない状態です"

GAME_GIFT_SYSTEM_NONAME,"送りたい相手を指定してください"
GAME_GIFT_SYSTEM_NOFRIEND,"送れる相手がいません"

GAME_GIFT_STR_TOO_LONG,"文字列が長すぎます"
GAME_GIFT_STR_CL_SAVE,"メッセージをクライアントに保存する"
GAME_GIFT_MSG_DELETE0,"このギフトアイテムとメッセージを削除してもよろしいですか？"
GAME_GIFT_MSG_DELETE1,"このギフトの履歴を削除します。よろしいですか？"

GAME_GIFT_SERVER_FILE_NAME_1,"gift_1"
GAME_GIFT_SERVER_FILE_NAME_2,"gift_2"
GAME_GIFT_SERVER_FILE_NAME_3,"gift_3"
GAME_GIFT_SERVER_FILE_NAME_4,"gift_4"
GAME_GIFT_SERVER_FILE_NAME_0,"gift_0"
