# ゴーレム
GAME_GOLEM_MENU_LIST_0,"ショップを開く"
GAME_GOLEM_SALEPRICE_TITLE,"販売するアイテムを移し値段を設定して下さい"
GAME_GOLEM_TRY_ITEM,"展示品"
GAME_GOLEM_TRY_PRICE,"展示品"
GAME_GOLEM_PRICE_WARNING,"値段の上限が 99,999,999 から 999,999,999,999 に変更されました。$r値段の設定にはご注意ください。$rまた、売却アイテムの隣のチェックボックスをチェックしたら展示品用アイテムになります。$r展示品用アイテムは、露店に表示されますが、売れないアイテムになります。"

# ゴーレムカテゴリ
GAME_GOLEM_CATEGORY_0,"武器"
GAME_GOLEM_CATEGORY_1,"防具"
GAME_GOLEM_CATEGORY_2,"装飾品"
GAME_GOLEM_CATEGORY_3,"回復薬"
GAME_GOLEM_CATEGORY_4,"雑貨"
GAME_GOLEM_CATEGORY_5,"材料"
GAME_GOLEM_CATEGORY_6,"食品"
GAME_GOLEM_CATEGORY_7,"人形"
GAME_GOLEM_CATEGORY_8,"箱"
GAME_GOLEM_CATEGORY_9,"家具"
GAME_GOLEM_CATEGORY_10,"その他"

# ゴーレムリストウィンドウ
GAME_GOLEMLIST_TITLE,"ゴーレムカタログ"
GAME_GOLEMLIST_NOT_EXIST_GOLEM,"存在しないゴーレムです"
GAME_GOLEMLIST_SEARCH_STR,"検索"
GAME_GOLEMLIST_SEARCHTYPE_COMMENT_STR,"コメント"
GAME_GOLEMLIST_SEARCHTYPE_ITEM_STR,"アイテム"
# ゴーレムサーチリストウィンドウ
GAME_GOLEMLIST_SEARCHLIST_ERR,"検索したアイテム名は存在しません"
GAME_GOLEMLIST_SEARCHLIST_NOTITEM_ERR,"検索したアイテムはありませんでした"

# ゴーレム倉庫
GAME_GOLEMWARE_TITLE,"ゴーレム倉庫"

# ゴーレムショップ
GAME_GOLEMSHOP_TITLE,"ゴーレムショップ"
GAME_GOLEMSHOP_ITEM,"項目"
GAME_GOLEMSHOP_REG_CATALOG,"カタログ登録"
GAME_GOLEMSHOP_HOW_MUCH_REG_CATALOG,"500ゴールドでゴーレムカタログに登録する事ができます"
GAME_GOLEMSHOP_NOT_FOUND_GOLEM,"ゴーレムを見つけられませんでした。"
GAME_GOLEMSHOP_AM_I_SOLD,"僕を売っちゃうの！？"
GAME_GOLEMSHOP_CANT_SALE_EVENT_ITEM,"イベントアイテムは販売できません"

GAME_GOLEMSHOP_NUM_KIND_SELL,"売却種類数"
GAME_GOLEMSHOP_SELL_TOTAL_PRICE,"売却総金額"
GAME_GOLEMSHOP_MAX_SET_PRICE,"最高設定金額"
GAME_GOLEMSHOP_MIN_SET_PRICE,"最低設定金額"

GAME_GOLEMSHOP_PRICE,"                    %lldＧ"
GAME_GOLEMSHOP_FOR_SALE_PRICE," %lldＧ"
GAME_GOLEMSHOP_PURCHASE_PRICE,"    %lldＧ"
GAME_GOLEMSHOP_MONEY,"     %lldＧ"
GAME_GOLEMSHOP_CONTENT_MONEY_COL9,"     %lldＧ"
GAME_GOLEMSHOP_CONTENT_MONEY_COL8,"      %lldＧ"

GAME_GOLEMSHOP_TOO_BIG_FOR_SALE_PRICE,"金額が大きすぎます"

# ゴーレム買取
GAME_GOLEMHOCK_TITLE,"買取ゴーレム"

GAME_GOLEMHOCK_TRADE_LIMIT_PRICE,"        %lldＧ"
GAME_GOLEMHOCK_WHOUSE_NUM,"%3d/%3d"
GAME_GOLEMHOCK_SELL_LIST_NUM,"%3d"

GAME_GOLEMHOCK_FRAME,"アイテム枠"
GAME_GOLEMHOCK_PURCHASE_TOTAL_PRICE,"買取総金額"
GAME_GOLEMHOCK_MONEY_LABEL,"所持金額"
GAME_GOLEMHOCK_TRADE_LIMIT_PRICE_LABEL,"取引限度額"

GAME_GOLEMHOCK_PURCHASE_GOLD,"買取ゴールド"
GAME_GOLEMHOCK_PURCHASE_LIMIT_PRICE,"買取限度額"

GAME_GOLEMHOCK_SET_ITEM_PRICE,"買取したいアイテムを移し値段を設定して下さい"

GAME_GOLEMHOCK_NO_SELL_ITEM,"売れるアイテムがありません"
GAME_GOLEMHOCK_CANT_BOUGHT,"今回は何も買い取れませんでした"
GAME_GOLEMHOCK_BOUGHT_PRICE_RESULT,"今回の買取金額は%lldGでした"
GAME_GOLEMHOCK_BOUGHT_RESULT,"%sを%d個買い取りました"

GAME_GOLEMHOCK_FAILED_TRADE,"取引に失敗しました"
GAME_GOLEMHOCK_LOSE_TRACK_GOLEM,"ゴーレムを見失いました"
GAME_GOLEMHOCK_CANT_TRADE_MY_GOLEM,"自分のゴーレムとは取引できません"
GAME_GOLEMHOCK_NO_TRADE_GOODS,"取引できる商品がありませんでした"
GAME_GOLEMHOCK_TRADE_PRICE_OVER,"設定されている取引限度額を超えています"
GAME_GOLEMHOCK_SHORT_MONEY,"現在の所持金が取引金額に達していませんでした"
GAME_GOLEMHOCK_OVER_HAVE,"買取主の所持品が100種類を超える為キャンセルされました"

GAME_GOLEMHOCK_FAILED_SET_GOLEM,"買い取りゴーレムの設定に失敗しました"
GAME_GOLEMHOCK_LOSE_SET_GOLEM,"設定したゴーレムが無くなりました"
GAME_GOLEMHOCK_NOT_SET_GOODS,"商品は一つも設定されませんでした"

GAME_GOLEMHOCK_SETWND_OPEN_RESULT_ERR4, "アイテム欄に空きがない為買取できません"
