# グループ関係
GAME_GROUP_DESTROY0,"解散しました"
GAME_GROUP_DESTROY1,"パーティ情報が変更された為、解散しました"
GAME_GROUP_ENTRY,"参加しました"
GAME_GROUP_IN,"%sさんが参加しました"
GAME_GROUP_OUT_KICK,"%sさんを強制退出させました"
GAME_GROUP_OUT_WHO_REASON0,"%sさんが退出しました"
GAME_GROUP_OUT_WHO_REASON1,"%sさんが同マップからいなくなった為、退出させました"
GAME_GROUP_OUT_WHO_REASON2,"%sさんを退出させました"
GAME_GROUP_OUT_WHO_REASON3,"%sさをを条件不一致の為、退出させました"
GAME_GROUP_OUT_WHO_REASON4,"%sさんをパーティ情報が変更された為、退出させました"
GAME_GROUP_OUT_REASON0,"退出しました"
GAME_GROUP_OUT_REASON1,"退出（ログアウト）"
GAME_GROUP_OUT_REASON2,"退出させられました"
GAME_GROUP_OUT_REASON3,"条件不一致の為、退出させられました"
GAME_GROUP_OUT_REASON4,"パーティ情報が変更された為、退出させられました"
GAME_GROUP_STATE_CHANGE_ERROR-3,"イベント中のため変更できませんでした"
GAME_GROUP_STATE_CHANGE_ERROR-4,"ユニットに登録したパートナーが持ち物に居ません"
GAME_GROUP_START_ERROR-3,"ユニットに登録したパートナーが持ち物に居ません"
GAME_GROUP_START_ERROR-5,"準備中のメンバーが居ます"
GAME_GROUP_START_ERROR-6,"開始に失敗しました"
GAME_GROUP_START_ERROR-7,"別のロビーで開始済みです"
GAME_GROUP_START_ERROR-8,"既に作成済みです"
GAME_GROUP_START_ERROR-9,"開始できない状態です"
GAME_GROUP_START_ERROR-10,"イベント中のため開始できない状態です"
