# 心憑依
GAME_HARTTRANS_MENU_0,"現在借りている「心」の情報を表示"
GAME_HARTTRANS_MENU_1,"「心」を外す"
GAME_HARTTRANS_CONFIRM,"「心」を外しますか？"

GAME_HARTTRANS_TIME_H,"借りている「心」があと%d時間で外れます。"
GAME_HARTTRANS_TIME_M,"借りている「心」があと%d分で外れます。"

GAME_HARTTRANS_TRANSRELEASE_0,"48時間が経過したため、借りていた「心」は外れました。"
GAME_HARTTRANS_TRANSRELEASE_1,"「心」が外されました"

# 心憑依リストウィンドウ
GAME_HARTTRANSLIST_TITLE,"心登録リスト"
GAME_HARTTRANSLIST_LV,"表示LV帯変更"
GAME_HARTTRANSLIST_CHK,"フレンドリストの「心」のみを表示"
GAME_HARTTRANSLIST_JOB_0,"FT系"
GAME_HARTTRANSLIST_JOB_1,"SU系"
GAME_HARTTRANSLIST_JOB_2,"BP系"
GAME_HARTTRANSLIST_JOB_3,"NV/JK"
GAME_HARTTRANSLIST_JOB_4,"DEM"
GAME_HARTTRANSLIST_SORT_0,"LV"
GAME_HARTTRANSLIST_SORT_1,"ジョブ系統"
GAME_HARTTRANSLIST_SORT_2,"名前"
GAME_HARTTRANSLIST_SORT_3,"コメント"
GAME_HARTTRANSLIST_SORT_4,"フレンドリスト"

# 心憑依ステータスウィンドウ
GAME_HARTTRANSSTATUS_TITLE,"「心」による上昇値"
GAME_HARTTRANSSTATUS_PARAM_TAG,"＜ステータス＞"
GAME_HARTTRANSSTATUS_PARAM0,"最大HP"
GAME_HARTTRANSSTATUS_PARAM1,"最大MP"
GAME_HARTTRANSSTATUS_PARAM2,"最大SP"
GAME_HARTTRANSSTATUS_PARAM3,"物理攻撃力（最小）"
GAME_HARTTRANSSTATUS_PARAM4,"物理攻撃力（最大）"
GAME_HARTTRANSSTATUS_PARAM5,"魔法攻撃力（最小）"
GAME_HARTTRANSSTATUS_PARAM6,"魔法攻撃力（最大）"
GAME_HARTTRANSSTATUS_PARAM7,"近距離命中力"
GAME_HARTTRANSSTATUS_PARAM8,"遠距離命中力"
GAME_HARTTRANSSTATUS_PARAM9,"物理防御力（減算）"
GAME_HARTTRANSSTATUS_PARAM10,"物理防御力（割合）"
GAME_HARTTRANSSTATUS_PARAM11,"魔法防御力（減算）"
GAME_HARTTRANSSTATUS_PARAM12,"魔法防御力（割合）"
GAME_HARTTRANSSTATUS_PARAM13,"近距離回避力"
GAME_HARTTRANSSTATUS_PARAM14,"遠距離回避力"
GAME_HARTTRANSSTATUS_PARAM15,"攻撃速度"
GAME_HARTTRANSSTATUS_PARAM16,"詠唱速度"
GAME_HARTTRANSSTATUS_PARAM17,"最大重量"
GAME_HARTTRANSSTATUS_PARAM18,"最大容量"
GAME_HARTTRANSSTATUS_BALLOON0,"最大HP"
GAME_HARTTRANSSTATUS_BALLOON1,"最大MP"
GAME_HARTTRANSSTATUS_BALLOON2,"最大SP"
GAME_HARTTRANSSTATUS_BALLOON3,"ATK(MIN)"
GAME_HARTTRANSSTATUS_BALLOON4,"ATK(MAX)"
GAME_HARTTRANSSTATUS_BALLOON5,"M.ATK(MIN)"
GAME_HARTTRANSSTATUS_BALLOON6,"M.ATK(MAX)"
GAME_HARTTRANSSTATUS_BALLOON7,"S.HIT"
GAME_HARTTRANSSTATUS_BALLOON8,"L.HIT"
GAME_HARTTRANSSTATUS_BALLOON9,"DEF(-)"
GAME_HARTTRANSSTATUS_BALLOON10,"DEF(%)"
GAME_HARTTRANSSTATUS_BALLOON11,"M.DEF(-)"
GAME_HARTTRANSSTATUS_BALLOON12,"M.DEF(%)"
GAME_HARTTRANSSTATUS_BALLOON13,"S.AVOID"
GAME_HARTTRANSSTATUS_BALLOON14,"L.AVOID"
GAME_HARTTRANSSTATUS_BALLOON15,"A.SPD"
GAME_HARTTRANSSTATUS_BALLOON16,"C.SPD"
GAME_HARTTRANSSTATUS_BALLOON17,"PAYL"
GAME_HARTTRANSSTATUS_BALLOON18,"CAPA"
GAME_HARTTRANSSTATUS_INFO_0,"選択した心のユーザーに借りた履歴を$rエミル・クロニクル・オンラインSNSで表示します。"
GAME_HARTTRANSSTATUS_INFO_1,"※YESを選択して心を借りた場合$r借りている間の取得経験値が少し多く入手できます"
GAME_HARTTRANSSTATUS_YES,"YES"
GAME_HARTTRANSSTATUS_NO,"NO"
GAME_HARTTRANSSTATUS_NOTHING,"該当する「心」が見つかりませんでした。$r以降のリストにも「心」は登録されていません。"
GAME_HARTTRANSSTATUS_TIME_H,"「心」の返却まで残り %d時間 %d分"
GAME_HARTTRANSSTATUS_TIME_M,"「心」の返却まで残り %d分"

GAME_HARTTRANSSTATUS_ERROR,"選択した「心」は、借りることができませんでした。"
