
#イリスカード設定ウィンドウ
GAME_CARDREPLACE_ERRLOG_0,"イリスカードをセットできるアイテムが存在していません"
GAME_CARDREPLACE_ERRLOG_1,"現在、イリスカードの入れ替えを行うことはできません"
GAME_CARDREPLACE_ERRLOG_2,"現在、イリスカードをセットすることはできません"
GAME_CARDREPLACE_ERRLOG_3,"イリスカードをセットすることができません"
GAME_CARDREPLACE_ERRLOG_4,"イリスカードのセット可能枚数が上限を超えています"
GAME_CARDREPLACE_ERRLOG_5,"現在、イリスカードの取り出しは行えません"
GAME_CARDREPLACE_ERRLOG_6,"イリスカードを取り出すことができませんでした"
GAME_CARDREPLACE_ERRLOG_7,"現在、イリスカードの入れ替えは行えません"
GAME_CARDREPLACE_ERRLOG_8,"イリスカードを取り出すことができませんでした"
GAME_CARDREPLACE_ERRLOG_9,"スロットが開いていません"
GAME_CARDREPLACE_ERRLOG_10,"アイテムチェンジ中の為、操作を受け付けません。"
GAME_CARDREPLACE_ERRLOG_11,"イリスカードのスロット拡張が行えないアイテムです。"
GAME_CARDREPLACE_CLEAR_ERR_0,"現在、イリスカードの取り出しは行えません"
GAME_CARDREPLACE_CLEAR_ERR_1,"イリスカードを取り出すのに失敗しました"
GAME_CARDREPLACE_SLOT_LOCK,"スロットロックを行うと、デッキ内のイリスカードは取り出すことができなくなります。$rスロットロックを行いますか？"
GAME_CARDREPLACE_SLOT_UNLOCK,"「スロットロック解除」アイテムを使用しスロットロックを解除します。よろしいですか？"

GAME_IRIS_ACT_CARDFRAME_FILENAME_S,"irisframe_act_%d_%d_s.png"
GAME_IRIS_ACT_CARDFRAME_FILENAME_L,"irisframe_act_%d_%d_l.png"
GAME_IRIS_ACT_CARDFRAME_RARITY,"rareframe_%02d.png"
GAME_IRIS_ACT_BACK_RARITY,"cardback_%02d.png"
GAME_IRIS_ACT_ICON_RARITY,"rareicon_%02d.png"
