# アイテムウィンドウ
GAME_ITEM_TITLE,"持ち物"
GAME_ITEM_INFO_TITLE,"アイテム情報"
GAME_ITEM_BREAK,"%s(故障)"
GAME_ITEM_BREAKPET,"%s(休眠中)"
GAME_ITEM_HAS_JUDGED,"鑑定済み"
GAME_ITEM_UNJUDGE,"未鑑定品"
GAME_ITEM_EQUIP_CAPACITY,"装備時容量"
GAME_ITEM_POSSESS_WEIGHT,"憑依重量"
GAME_ITEM_POSSESS_POSSIBLE,"憑依可能"
GAME_ITEM_DYE_INFO,"染色情報"
GAME_ITEM_DYE_POSSIBLE,"染色可能"
GAME_ITEM_STOCK_POSSIBLE,"ストック可能"
GAME_ITEM_BOTH_HANDS_EQUIP,"両手持ち装備"
GAME_ITEM_USE_EXTINCT,"使用時消滅"
GAME_ITEM_EXCHANGE_0,"染色娘でアイテムを染色可能"
GAME_ITEM_EXCHANGE_1,"染色娘でアイテムを交換可能"
GAME_ITEM_OPERATION_GOODS,"稼動品"
GAME_ITEM_SPEC_CLOSE,"性能未開放"
GAME_ITEM_SPEC_OPEN,"性能開放済み"
GAME_ITEM_BOOST,"強化回数"
GAME_ITEM_BREAK_GOODS,"故障品"
GAME_ITEM_REPAIR,"修理アイテム"
GAME_ITEM_CHRONICLE1,"転生後可能"
GAME_ITEM_CHRONICLE2,"転生前可能"
GAME_ITEM_POTENTIAL_FORCE,"潜在武具強化済み"
GAME_ITEM_HASITEMNUM,"アイテム所持数"
GAME_ITEM_HASGOLD,"所持ゴールド"
GAME_ITEM_FUSION_TRADE,"融合後取引不可"
GAME_ITEM_FUSION_TRADE2,"取引不可"

GAME_ITEMWND_FILTER_WEAPON,"武器の表示・非表示を切り替えます"
GAME_ITEMWND_FILTER_ARMOR,"防具の表示・非表示を切り替えます"
GAME_ITEMWND_FILTER_USE,"消耗品の表示・非表示を切り替えます"
GAME_ITEMWND_FILTER_ETC,"その他の表示・非表示を切り替えます"
GAME_ITEMWND_FILTER_SLOT,"スロットが開いていないアイテムの表示・非表示を切り替えます"
GAME_ITEMWND_DUST_TOOL,"ゴミ箱を開きます"
GAME_ITEMWND_HASEQUIPNUM,"現在の装備数　%d"

GAME_ITEM_DURABLE_0,"耐久度"
GAME_ITEM_DURABLE_1,"ごきげん度"
GAME_ITEM_MAX_DURABLE_0,"最大耐久度"
GAME_ITEM_MAX_DURABLE_1,"最大ごきげん度"

GAME_ITEM_RANGE,"射程"
GAME_ITEM_INFO_DETAIL_PETEQUIP0,"$r$rこのパートナーを装備した時に、$r  種別タイプ ： %s$r  射程　　　 ： %d$r上記と同じ条件のアイテムを$r装備する事で、$r装備している武器の見た目が$r変化します。"
GAME_ITEM_INFO_DETAIL_PETEQUIP1,"$r$rこのパートナーを装備した時に、$r  種別タイプ ： %s$r  射程　　　 ： %d$r  両手持ち装備$r上記と同じ条件のアイテムを$r装備する事で、$r装備している武器の見た目が$r変化します。"

GAME_ITEM_DYE_RED,"赤色系に染色済み"
GAME_ITEM_DYE_PURPLE,"紫色系に染色済み"
GAME_ITEM_DYE_BLUE,"青色系に染色済み"
GAME_ITEM_DYE_LIGHT_BLUE,"水色系に染色済み"
GAME_ITEM_DYE_GREEN,"緑色系に染色済み"
GAME_ITEM_DYE_PEA_GREEN,"黄緑色系に染色済み"
GAME_ITEM_DYE_GOLD,"金色系に染色済み"
GAME_ITEM_DYE_ORANGE,"橙色系に染色済み"
GAME_ITEM_DYE_BLACK,"黒色系に染色済み"
GAME_ITEM_DYE_GRAY,"灰色系に染色済み"
GAME_ITEM_DYE_SILVER,"銀色系に染色済み"
GAME_ITEM_DYE_WHITE,"特殊な色に染色済み"
GAME_ITEM_DYE_SPECIAL,"特殊な色に染色済み"

GAME_ITEM_EFFECTIVE_DIM,"効果次元"
GAME_ITEM_USE_POSSIBLE_SKY,"天界で使用可能"
GAME_ITEM_USE_POSSIBLE_GROUND,"地上界で使用可能"
GAME_ITEM_USE_POSSIBLE_HADES,"冥界で使用可能"
GAME_ITEM_USE_POSSIBLE_SKY_GROUND,"天界と地上界で使用可能"
GAME_ITEM_USE_POSSIBLE_GROUND_HADES,"地上界と冥界で使用可能"
GAME_ITEM_USE_POSSIBLE_SKY_HADES,"天界と冥界で使用可能"

GAME_ITEM_RISE_0,"HP"
GAME_ITEM_RISE_1,"MP"
GAME_ITEM_RISE_2,"SP"
GAME_ITEM_RISE_3,"最大重量"
GAME_ITEM_RISE_4,"最大容量"
GAME_ITEM_RISE_5,"移動力"

GAME_ITEM_RISE_STATUS_0,"STR"
GAME_ITEM_RISE_STATUS_1,"MAG"
GAME_ITEM_RISE_STATUS_2,"VIT"
GAME_ITEM_RISE_STATUS_3,"DEX"
GAME_ITEM_RISE_STATUS_4,"AGI"
GAME_ITEM_RISE_STATUS_5,"INT"
GAME_ITEM_RISE_STATUS_6,"LUK"

GAME_ITEM_STATUS_0,"攻撃力(叩き)"
