

# トレードウィンドウ
GAME_TRADE_TITLE,"トレード"
GAME_TRADE_MONEY," %9dＧ"
GAME_TRADE_CANT_EVENT_ITEM,"イベントアイテムは取引できません"
GAME_TRADE_REQ,"%sさんからトレード要請が来ています"
GAME_TRADE_ERROR_UNIT,"ユニットに設定されているアイテムが含まれています"

# 倉庫
GAME_WARE_TITLE,"倉庫"
GAME_WARE_TRANSPORT,"搬送先"
GAME_WARE_SELECT_TITLE,"搬送したいアイテムを選択して下さい"
GAME_WARE_NAME_0,"アクロポリスシティ"
GAME_WARE_NAME_1,"ファーイースト国境駐在員"
GAME_WARE_NAME_2,"アイアンサウス国境駐在員"
GAME_WARE_NAME_3,"ノーザン国境駐在員"
GAME_WARE_NAME_4,"廃炭鉱キャンプ"
GAME_WARE_NAME_5,"モーグシティ"
GAME_WARE_NAME_6,"アイアンサウス連邦"
GAME_WARE_NAME_7,"ノーザン王国"
GAME_WARE_NAME_8,"トンカシティ"
GAME_WARE_NAME_9,"マーメイドのすみか"
GAME_WARE_NAME_10,"マイマイキャンプ"
GAME_WARE_NAME_11,""
GAME_WARE_NAME_12,"ファーイースト共和国"
GAME_WARE_NAME_13,"天まで続く塔の島"
GAME_WARE_NAME_14,"ウェストフォート"
GAME_WARE_NAME_15,"ECOタウン"
GAME_WARE_NAME_16,"エル・シエル"
GAME_WARE_NAME_17,"カーマインブリック"
GAME_WARE_NAME_100,"小さな倉庫"
GAME_WARE_NAME_101,"小さな倉庫（課金）"
GAME_WARE_NAME_102,"大きな倉庫（課金）"
GAME_WARE_NAME_110,"お得意様倉庫"
GAME_WARE_NAME_ERRSTR,"クライアント未対応のIDです。"
GAME_WARE_CANT_KEEP_OVER,"これ以上倉庫に預けることはできません"
GAME_WARE_HELP,"全ての場所の倉庫で%d種までです"
GAME_WARE_SEND_ERR,"一度に搬送できるのは100種類までです"
GAME_WARE_FAILED_MOVE_ITEM,"アイテム移動に失敗しました"
GAME_WARE_FILTER,"フィルター"
GAME_WARE_OTHERWARE,"他の倉庫"
GAME_WARE_WEAPON,"武器"
GAME_WARE_ARMOR,"防具"
GAME_WARE_SUPPLIES,"消耗品"
GAME_WARE_OTHER,"その他"
GAME_WARE_SLOT,"スロット無"
GAME_WARE_SORT,"ソート"
GAME_WARE_FILTER_TITLE,"倉庫フィルター"
GAME_WARE_CHARGEITEM_NO_MOVE,"使用済み日数制限付きアイテムは倉庫に預けることはできません"
GAME_WARE_BANK_TAG,"預けている金額"

# アイテム納品ウィンドウ
GAME_ITEM_DELIVERY_WNDCAPTION,"アイテム納品"
GAME_ITEM_DELIVERY_TITLE,"納品アイテム"
GAME_ITEM_DELIVERY_MATERIALPOINT_STR,"マテリアルポイント"
GAME_ITEM_DELIVERY_MATERIALPOINT,"%dＰ"
GAME_ITEM_DELIVERY_ERRLOG,"アイテム納品に失敗しました。"
GAME_ITEM_DELIVERY_FULLPOINTERRMSG,"所持マテリアルポイントが上限に達しています。"
GAME_ITEM_DELIVERY_WARNING,"マテリアルポイントが所持上限%dPを超えた場合でも、アイテムは全て納品されますがよろしいですか？"

# 露店
GAME_STALL_SELLTITLE,"マーチャント露店"
