#アイテム選択ウインドウ
GAME_ITEMSELECT_CONFIRM,"確認"

#アイテム交換
GAME_ITEMEXCHANGE_TITLE_0,"何に染色しますか？"
GAME_ITEMEXCHANGE_BEFORE_0,"染色したいアイテム"
GAME_ITEMEXCHANGE_AFTER_0,"染色後のアイテム"
GAME_ITEMEXCHANGE_KIND_0,"のアイテムを"
GAME_ITEMEXCHANGE_CONFIRM_0,"に染色しますか？"

GAME_ITEMEXCHANGE_TITLE_1,"何に交換しますか？"
GAME_ITEMEXCHANGE_BEFORE_1,"交換したいアイテム"
GAME_ITEMEXCHANGE_AFTER_1,"交換後のアイテム"
GAME_ITEMEXCHANGE_KIND_1,"のアイテムを"
GAME_ITEMEXCHANGE_CONFIRM_1,"に交換しますか？"

#アナザー受注リストウィンドウ
GAME_ANOTHERORDERLISTWND_TITLE,"ＥＸキャプチャー受注リスト"
GAME_ANOTHERORDERLISTWND_NOSELECT,"未選択"
GAME_ANOTHERORDERLISTWND_STC_TAGMEM,"参加者リスト（%d/%d）"
GAME_ANOTHERORDERLISTWND_POPMENU0,"退出させる"
