

GAME_RACE_HUMAN,"エミル"
GAME_RACE_ANGEL,"タイタニア"
GAME_RACE_DEVIL,"ドミニオン"
GAME_RACE_DEM,"ＤＥＭ"
GAME_RACE_HIHUMAN,"ハイエミル"
GAME_RACE_ARCANGEL,"アークタイタニア"
GAME_RACE_HIDEVIL,"イクスドミニオン"

GAME_JOB_DEM,"ＤＥＭ"

GAME_JOB_NOVICE,"ノービス"
GAME_JOB_JOKER,"ジョーカー"

GAME_JOB_SWORDMAN,"ソードマン"
GAME_JOB_BLADEMASTER,"ブレイドマスター"
GAME_JOB_BOUNTYHUNTER,"バウンティハンター"
GAME_JOB_GLADIATOR,"グラディエイター"

GAME_JOB_FENCER,"フェンサー"
GAME_JOB_KNIGHT,"ナイト"
GAME_JOB_DARKSTALKER,"ダークストーカー"
GAME_JOB_GUARDIAN,"ガーディアン"

GAME_JOB_SCOUT,"スカウト"
GAME_JOB_ASSASSIN,"アサシン"
GAME_JOB_COMMAND,"コマンド"
GAME_JOB_ERASER,"イレイザー"

GAME_JOB_ARCHER,"アーチャー"
GAME_JOB_STRIKER,"ストライカー"
GAME_JOB_GUNNER,"ガンナー"
GAME_JOB_HAWKEYE,"ホークアイ"

GAME_JOB_WIZARD,"ウィザード"
GAME_JOB_SORCERER,"ソーサラー"
GAME_JOB_SAGE,"セージ"
GAME_JOB_FORCEMASTER,"フォースマスター"

GAME_JOB_SHAMAN,"シャーマン"
GAME_JOB_ELEMENTER,"エレメンタラー"
GAME_JOB_ENCHANTER,"エンチャンター"
GAME_JOB_ASTRALIST,"アストラリスト"

GAME_JOB_VATES,"ウァテス"
GAME_JOB_DRUID,"ドルイド"
GAME_JOB_BARD,"バード"
GAME_JOB_CARDINAL,"カーディナル"

GAME_JOB_WARLOCK,"ウォーロック"
GAME_JOB_CABALIST,"カバリスト"
GAME_JOB_NECROMANCER,"ネクロマンサー"
GAME_JOB_SOULTAKER,"ソウルテイカー"

GAME_JOB_TATARABE,"タタラベ"
GAME_JOB_BLACKSMITH,"ブラックスミス"
GAME_JOB_MACHINERY,"マシンナリー"
GAME_JOB_MAESTRO,"マエストロ"

GAME_JOB_FARMASIST,"ファーマー"
GAME_JOB_ALCHEMIST,"アルケミスト"
GAME_JOB_MARIONEST,"マリオネスト"
GAME_JOB_HARVEST,"ハーヴェスト"

GAME_JOB_RANGER,"レンジャー"
GAME_JOB_EXPLORER,"エクスプローラー"
GAME_JOB_TREASUREHUNTER,"トレジャーハンター"
GAME_JOB_STRIDER,"ストライダー"

GAME_JOB_MERCHANT,"マーチャント"
GAME_JOB_TRADER,"トレーダー"
GAME_JOB_GAMBLER,"ギャンブラー"
GAME_JOB_ROYALDEALER,"ロイヤルディーラー"

GAME_JOINTJOB_41,"ブリーダー"
GAME_JOINTJOB_42,"ガーデナー"
