#マネキン設定
GAME_MANNEQUIN_TITLE,"マネキン設定"
GAME_MANNEQUIN_BASE,"基本"
GAME_MANNEQUIN_FACE,"顔"
GAME_MANNEQUIN_HAIR,"髪"
GAME_MANNEQUIN_TRANS,"転生特典"
GAME_MANNEQUIN_SEX_TAG,"性別"
GAME_MANNEQUIN_SCALE_TAG,"スケール"
GAME_MANNEQUIN_RACE_TAG,"種族"
GAME_MANNEQUIN_FACE_TAG0,"顔"
GAME_MANNEQUIN_FACE_TAG1,"目の色"
GAME_MANNEQUIN_FACE_TAG2,"表情"
GAME_MANNEQUIN_HAIR_TAG0,"髪型"
GAME_MANNEQUIN_HAIR_TAG1,"オプション"
GAME_MANNEQUIN_HAIR_TAG2,"髪色"
GAME_MANNEQUIN_HAIR_DEFAULT,"デフォルト"
GAME_MANNEQUIN_HAIR_REFINE,"リファイン"
GAME_MANNEQUIN_SERIF_TAG,"セリフ"
GAME_MANNEQUIN_NO_OPTION,"なし"
GAME_MANNEQUIN_FACE_RACE,"（%s）"
GAME_MANNEQUIN_CANT_EQUIP,"装備条件が合っていないため装備できません"
GAME_MANNEQUIN_CANT_EQUIP_RENTAL,"レンタルアイテムは装備できません"
GAME_MANNEQUIN_CANT_EQUIP_EVENT,"イベントアイテムは装備できません"
GAME_MANNEQUIN_RESET_CONFIRM,"設定を初期化します$rよろしいですか？"
GAME_MANNEQUIN_OK_CONFIRM,"設定を確定します$rよろしいですか？"
GAME_MANNEQUIN_CANCEL_CONFIRM,"設定を破棄します$rよろしいですか？"
GAME_MANNEQUIN_SEND_ERR0,"マネキン設定を変更しました。"
GAME_MANNEQUIN_SEND_ERR-1,"変更できない状態の為、マネキン設定を変更できません。"
GAME_MANNEQUIN_SEND_ERR-2,"イベント中はマネキン設定を変更できません。"
GAME_MANNEQUIN_SEND_ERR-3,"トレード中はマネキン設定を変更できません。"
GAME_MANNEQUIN_SEND_ERR-4,"憑依中はマネキン設定を変更できません。"
GAME_MANNEQUIN_SEND_ERR-5,"変更できない設定の為、マネキン設定を変更できません。"
GAME_MANNEQUIN_ONLY_MALE,"男性専用の髪型です"
GAME_MANNEQUIN_ONLY_FEMALE,"女性専用の髪型です"
GAME_MANNEQUIN_HAIR_MALE,"(♂)"
GAME_MANNEQUIN_HAIR_FEMALE,"(♀)"

#マネキン管理
GAME_MANNEQUINMNG_TITLE,"マネキン管理"
GAME_MANNEQUINMNG_NO,""
GAME_MANNEQUINMNG_SLOT_CONFIRM,"「マネキン利用枠開放チケット」を使用してマネキンを配置可能にします。$rよろしいですか？"
GAME_MANNEQUINMNG_SHOP_CONFIRM,"「マネキン利用枠開放チケット」を所持していません。$rECOショップを開きますか？"
GAME_MANNEQUINMNG_SLOT_ERR0,"マネキン利用可能枠を開放しました。"
GAME_MANNEQUINMNG_SLOT_ERR-1,"開放できない状態の為、マネキン利用可能枠を開放できません。"
GAME_MANNEQUINMNG_SLOT_ERR-2,"開放に必要なアイテムを所持していない為、マネキン利用可能枠を開放できません。"


#マネキン拡張
GAME_MANNEQUINEX_TITLE,"マネキン拡張"
GAME_MANNEQUINEX_LEFT,"拡張アイテム選択"
GAME_MANNEQUINEX_RIGHT,"登録されている拡張情報"
GAME_MANNEQUINEX_WARNING,"選択した枠に見た目を登録します。$r登録済みの見た目は上書きされます。"
GAME_MANNEQUINEX_SEXWARNING,"現在の性別では試用できません。"
GAME_MANNEQUINEX_MOTION,"モーション"
GAME_MANNEQUINEX_CONFIRM,"「%s」を使用して$r「%s」を登録します。$rよろしいですか？"
GAME_MANNEQUINEX_SAVE_ERR0,"見た目をマネキンに保管しました。"
GAME_MANNEQUINEX_SAVE_ERR-1,"保管できない状態の為、見た目をマネキンに保管できません。"
GAME_MANNEQUINEX_SAVE_ERR-2,"保管に必要なアイテムを所持していない為、見た目をマネキンに保管できません。"
