# 募集ミニゲームウィンドウ
GAME_MINIGAMEREC_TITLE,"募集ミニゲームリスト"
GAME_MINIGAMEREC_TYPETEXT,"募集項目"

GAME_MINIGAMEWND_BATTLENUM,"     %d戦目"
GAME_MINIGAMEWND_ECOIN,"ecoin %d
GAME_MINIGAMEWND_TIMECOUNT,"あと%d秒"
GAME_MINIGAMEWND_NOTSTART,"まだ開始できません"


GAME_MINIGAMEREC_TYPE_0,"大富豪"
GAME_MINIGAMEREC_TYPE_1,"ポーカー"

GAME_MINIGAMEREC_STR_0,"ルーム名"
GAME_MINIGAMEREC_STR_1,"ルール"

GAME_MINIGAMEREC_PAGE,"%d/%d"
GAME_MINIGAMEREC_DEL_ERR,"募集コメントの削除に失敗しました"
GAME_MINIGAMEREC_DEL_SUCCESS,"募集コメントの削除に失敗しました"
GAME_MINIGAMEREC_ADD_ERR,"募集コメントの削除に失敗しました"
GAME_MINIGAMEREC_ADD_SUCCESS,"募集コメントの削除に失敗しました"
GAME_MINIGAMEREC_NEED_PSW,"パスワードが必要です"
GAME_MINIGAMEREC_SET_TITLE,"募集ミニゲーム登録"

# 募集ミニゲーム設定ウィンドウ
GAME_MINIGAMERECSET_TYPE_0,"ルーム名"
GAME_MINIGAMERECSET_TYPE_1,"コメント"
GAME_MINIGAMERECSET_TYPE_2,"パスワード（半角英数8文字まで）"
GAME_MINIGAMERECSET_TYPE_3,"参加人数"
GAME_MINIGAMERECSET_TYPE_4,"対戦回数"
GAME_MINIGAMERECSET_TYPE_5,"ルール設定"
GAME_MINIGAMERECSET_TYPE_6,"消費枚数"

GAME_MINIGAMERECSET_RULE_0,"あがり禁止カード"
GAME_MINIGAMERECSET_RULE_1,"8切り"
GAME_MINIGAMERECSET_RULE_2,"階段"
GAME_MINIGAMERECSET_RULE_3,"しばり"
GAME_MINIGAMERECSET_RULE_4,"都落ち(対戦回数3から有効)"

#ミニゲーム確認ウィンドウ
GAME_MINIGAMECHK_RULE,"ルール確認"
#ミニゲームチャットウィンドウ
# チャットルーム
GAME_MINIGAME_CHATROOM_LEAVE,"ミニゲームチャットルームから退室します"
GAME_MINIGAME_CHATROOM_NOT_IN,"ミニゲームチャットルームに入室していません"
GAME_MINIGAME_CHATROOM_INPUT_PWD,"パスワードを入力してください"
GAME_MINIGAME_CHATROOM_JOINNUM," (%d人参加中)"
GAME_MINIGAME_CHATROOM_LEAVE_POSSIBLE,"退出できます"
GAME_MINIGAME_CHATROOM_ADMIN_GET,"ミニゲームチャットルームの管理権限が与えられました"
GAME_MINIGAME_CHATROOM_START,"ミニゲームを開始します"

GAME_MINIGAME_ERRLOG_1,"ゲーム開始に失敗しました"
GAME_MINIGAME_ERRLOG_2,"エントリーに失敗しました"
GAME_MINIGAME_ERRLOG_3,"交換に失敗しました"
GAME_MINIGAME_ERRLOG_4,"手札を出すのに失敗しました"
GAME_MINIGAME_ERRLOG_20,"ミニゲーム参加者ではありません"
GAME_MINIGAME_ERRLOG_21,"プレイヤー人数が足りません"
GAME_MINIGAME_ERRLOG_22,"エントリー済み"
GAME_MINIGAME_ERRLOG_23,"手札が出せるプレイヤーではありません"
GAME_MINIGAME_ERRLOG_24,"ecoinが足りません"
GAME_MINIGAME_ERRLOG_25,"ECOタウンにいません"


GAME_MINIGAME_TRADENOW,"カード交換中"
GAME_MINIGAME_TRADE_PLAY,"交換するカードを%d枚選んでください"
GAME_MINIGAME_TRADE_WAIT,"しばらくお待ちください"
GAME_MINIGAME_PLAYEND,"ゲームを終了しますか？"
