# ミッション
GAME_MISSION_TITLE,"ミッション情報"

GAME_QUEST_MISSION_STATE_WORKING,"ミッション進行中"
GAME_QUEST_MISSION_STATE_SUCCES,"ミッション条件達成"
GAME_QUEST_MISSION_STATE_FAILED,"ミッション失敗"
GAME_QUEST_MISSION_TARGET,"目的"
GAME_QUEST_MISSION_INFO,"{IMFO}"
GAME_QUEST_MISSION_REQUEST_TEMP,"ミッションカウンター"
GAME_QUEST_MISSION_SUCCES_TEXT,"{NPC}さんに報告してください"
GAME_QUEST_MISSION_SUCCES_TEMP,"{NPC}に報告してください"
GAME_QUEST_MISSION_GAUGE,"達成度"

#GAME_QUEST_MISSION_NPC,"{NPC0}{MSG0}$r{NPC1}{MSG1}$r{NPC2}{MSG2}"
#GAME_QUEST_MISSION_NPC_PLACE,"{PLACE}の$r{NPC0}{MSG0}$r{NPC1}{MSG1}$r{NPC2}{MSG2}"
#GAME_QUEST_MISSION_NPC0_0,"と会う"
#GAME_QUEST_MISSION_NPC0_1,"と会った"
#GAME_QUEST_MISSION_NPC1_0,"を調べる"
#GAME_QUEST_MISSION_NPC1_1,"を調べた"
GAME_QUEST_MISSION_NPC,"{NPC0}{MSG0}{NPC1}{MSG1}{NPC2}{MSG2}"
GAME_QUEST_MISSION_NPC_PLACE,"{PLACE}の$r{NPC0}{MSG0}{NPC1}{MSG1}{NPC2}{MSG2}"
GAME_QUEST_MISSION_NPC0,"と会う$r"
GAME_QUEST_MISSION_NPC1,"を調べる$r"
GAME_QUEST_MISSION_SUBJUGATE_PLACE,"{PLACE}の$r{ENEMY}を退治"
GAME_QUEST_MISSION_SUBJUGATE_COND,"%s %d体"
