#旅人のメモ（モンスター図鑑）
GAME_MONSTERGUIDEWND_TITTLE,"旅人のメモ"
GAME_MONSTERGUIDEWND_TAB0,"レベル検索を表示します"
GAME_MONSTERGUIDEWND_TAB1,"モンスター名検索を表示します"
GAME_MONSTERGUIDEWND_TAB2,"ドロップアイテム検索を表示します"
GAME_MONSTERGUIDEWND_TAB3,"属性検索を表示します"
GAME_MONSTERGUIDEWND_TAB4,"種族検索を表示します"
GAME_MONSTERGUIDEWND_TAB5,"マップ検索を表示します"
GAME_MONSTERGUIDEWND_SEARCH_0,"レベル"
GAME_MONSTERGUIDEWND_SEARCH_1,"モンスター名"
GAME_MONSTERGUIDEWND_SEARCH_2,"アイテム"
GAME_MONSTERGUIDEWND_SEARCH_3,"属性"
GAME_MONSTERGUIDEWND_SEARCH_4,"種族"
GAME_MONSTERGUIDEWND_SEARCH_5,"マップ"
GAME_MONSTERGUIDEWND_SEARCH_DETAIL,"現在、この項目での条件指定は行えません"
GAME_MONSTERGUIDEWND_INFO_TAG_ITEM,"ドロップアイテム"
GAME_MONSTERGUIDEWND_INFO_TAG_RAREITEM,"%s知識ドロップアイテム"
GAME_MONSTERGUIDEWND_INFO_TAG_NORAREITEM,"該当知識なし"
GAME_MONSTERGUIDEWND_INFO_TAG_MEMO,"メモ"
GAME_MONSTERGUIDEWND_INFO_TAG_EDITING,"編集中"
GAME_MONSTERGUIDEWND_INFO_PARAMTAG_EXP,"EXP"
GAME_MONSTERGUIDEWND_INFO_PARAMTAG_JOB,"JOBEXP"
GAME_MONSTERGUIDEWND_ELEM0,"無"
GAME_MONSTERGUIDEWND_ELEM1,"火"
GAME_MONSTERGUIDEWND_ELEM2,"水"
GAME_MONSTERGUIDEWND_ELEM3,"風"
GAME_MONSTERGUIDEWND_ELEM4,"土"
GAME_MONSTERGUIDEWND_ELEM5,"光"
GAME_MONSTERGUIDEWND_ELEM6,"闇"
GAME_MONSTERGUIDEWND_RACE0,"全て"
GAME_MONSTERGUIDEWND_RACE1,"植物"
GAME_MONSTERGUIDEWND_RACE2,"鳥"
GAME_MONSTERGUIDEWND_RACE3,"動物"
GAME_MONSTERGUIDEWND_RACE4,"昆虫"
GAME_MONSTERGUIDEWND_RACE5,"水中生物"
GAME_MONSTERGUIDEWND_RACE6,"魔法生物"
GAME_MONSTERGUIDEWND_RACE7,"死霊"
GAME_MONSTERGUIDEWND_RACE8,"機械"
GAME_MONSTERGUIDEWND_RACE9,"人間"
GAME_MONSTERGUIDEWND_RACE10,"精霊"
GAME_MONSTERGUIDEWND_RACE11,"岩"
GAME_MONSTERGUIDEWND_RACE12,"木材"
GAME_MONSTERGUIDEWND_RACE13,"未分類"
GAME_MONSTERGUIDEWND_RACE14,"ボス"
GAME_MONSTERGUIDEWND_MAP_MSG,"マップ指定検索はされておりません"
GAME_MONSTERGUIDEWND_MAP_ALLAREA,"全域"
GAME_MONSTERGUIDEWND_MAP_ALLMAP,"-----"
GAME_MONSTERGUIDEWND_SEARCH_ERR,"指定された条件に該当するモンスターが存在しませんでした"
GAME_MONSTERGUIDEWND_SEARCHITEM_ERR0,"検索対象「%s」$rを含むアイテムが見つかりませんでした"
GAME_MONSTERGUIDEWND_SEARCHITEM_ERR1,"検索対象「%s」$rをドロップするモンスターは掲載されていません"
GAME_MONSTERGUIDEWND_SEARCHITEM_ERR2,"検索対象「%s」$rを含むアイテムをドロップするモンスターは掲載されていません"
GAME_MONSTERGUIDEWND_EDITING_ERR1,"メモ編集中の為、リストの更新が行えませんでした。$rメモの編集を終了してから再度モンスターを選択してください。"
GAME_MONSTERGUIDEWND_EDITING_ERR2,"メモ編集中の為、検索が行えませんでした。$r検索をおこなうにはメモの編集を終了させる必要があります。"
GAME_MONSTERGUIDEWND_EDITING_ERR3,"メモ編集中の為、リストの更新が行えませんでした。$rメモの編集を終了してからリセットボタンを選択してください。"
GAME_MONSTERGUIDEWND_NOWORLDMAP_ERR,"世界マップが開けない為、生息地を表示できません。$r生息地を表示するには世界マップが開ける場所に移動する必要があります。"
GAME_MONSTERGUIDEWND_ERR,"対象が見つかりません"
GAME_MONSTERGUIDEWND_RACE_RARE11,"鉱石"
GAME_MONSTERGUIDEWND_RACE_RARE13,"全"

# 検索ウィンドウ
GAME_MONSTERGUIDESEARCHWND_TITTLE,"詳細検索"
