# モンスタースタンプ
GAME_MONSTERSTAMP_WND,"モンスタースタンプ帳"
GAME_MONSTERSTAMP_0_A,"プルルスタンプ"
GAME_MONSTERSTAMP_0_B,"平原のスタンプ"
GAME_MONSTERSTAMP_0_C,"海岸のスタンプ"
GAME_MONSTERSTAMP_0_D,"荒野のスタンプ"
GAME_MONSTERSTAMP_0_E,"大陸ダンジョンのスタンプ"
GAME_MONSTERSTAMP_0_F,"雪国のスタンプ"
GAME_MONSTERSTAMP_0_G,"廃炭鉱ダンジョンのスタンプ"
GAME_MONSTERSTAMP_0_H,"ノーザンダンジョンのスタンプ"
GAME_MONSTERSTAMP_0_I,"アイアンサウスのスタンプ"
GAME_MONSTERSTAMP_0_J,"サウスダンジョンのスタンプ"
GAME_MONSTERSTAMP_1_A,"ノーザン地下ダンジョンのスタンプ"
GAME_MONSTERSTAMP_1_B,"イーストダンジョンのスタンプ"
GAME_MONSTERSTAMP_1_C,"バオバブの森フィールドのスタンプ"
GAME_MONSTERSTAMP_1_D,"神託の風穴ダンジョンのスタンプ"
GAME_MONSTERSTAMP_1_E,"海底洞窟ダンジョンのスタンプ"
GAME_MONSTERSTAMP_1_F,"光の塔ダンジョンのスタンプ"
GAME_MONSTERSTAMP_1_G,"アンデッドの城ダンジョンのスタンプ"
GAME_MONSTERSTAMP_1_H,"マイマイダンジョンのスタンプ"
GAME_MONSTERSTAMP_1_I,"タイタニアフィールドのスタンプ"
GAME_MONSTERSTAMP_1_J,"ドミニオンフィールドのスタンプ"
GAME_MONSTERSTAMP_SP,"スペシャルスタンプ"
GAME_MONSTERSTAMP_ALLCOMP,"オールコンプリートスタンプ"
GAME_MONSTERSTAMP_SECRET,"シークレット"
GAME_MONSTERSTAMP_ALLSTAMP,"全てのスタンプ"
GAME_MONSTERSTAMP_COMPLETE,"が揃った！"
