#パートナー
GAME_PARTNER_ANNOUNCE_EXP_TRUST_TAG0,"パートナーが経験値 %lld、"
GAME_PARTNER_ANNOUNCE_EXP_TRUST_TAG1,"信頼度 %dポイントを取得しました"
GAME_PARTNER_ANNOUNCE_EXP_TRUST_TRANCE,"(憑依)%sが経験値 %lld、信頼度 %dポイントを取得しました"
#AIカスタム設定ウィンドウ
GAME_AICUSTOMSETTINGWND_TITTLE,"AIカスタム設定"
GAME_AICUSTOMSETTINGWND_NAME0,"AIスロット"
GAME_AICUSTOMSETTINGWND_NAME1,"アクトキューブ"
GAME_AICUSTOMSETTINGWND_NAME2,"AI思考設定"
GAME_AICUSTOMSETTINGWND_CUBE0,"条件"
GAME_AICUSTOMSETTINGWND_CUBE1,"行動"
GAME_AICUSTOMSETTINGWND_CUBE2,"アクティブスキル"
GAME_AICUSTOMSETTINGWND_CUBE3,"パッシブスキル"
GAME_AICUSTOMSETTINGWND_SIMPLE0,"攻撃重視"
GAME_AICUSTOMSETTINGWND_SIMPLE1,"支援重視"
GAME_AICUSTOMSETTINGWND_SIMPLE2,"追従"
GAME_AICUSTOMSETTINGWND_SIMPLE3,"防御重視"
GAME_AICUSTOMSETTINGWND_SIMPLE4,"主人重視"
GAME_AICUSTOMSETTINGWND_SIMPLE5,"攻撃重視(通常攻撃のみ)"
GAME_AICUSTOMSETTINGWND_SIMPLE6,"攻撃重視(物理スキルのみ)"
GAME_AICUSTOMSETTINGWND_SIMPLE7,"攻撃重視(魔法スキルのみ)"
GAME_AICUSTOMSETTINGWND_SLOT_TEXTBTN0,"入替"
GAME_AICUSTOMSETTINGWND_SLOT_TEXTBTN1,"条件"
GAME_AICUSTOMSETTINGWND_SLOT_TEXTBTN2,"条件設定"
GAME_AICUSTOMSETTINGWND_SLOT_TEXTBTN3,"対象設定"
GAME_AICUSTOMSETTINGWND_SLOT_TEXTBTN4,"行動 / スキル"
GAME_AICUSTOMSETTINGWND_SLOT_TEXTBTN5,"再使用"
GAME_AICUSTOMSETTINGWND_SLOT_TEXTBTN6,"切替"
GAME_AICUSTOMSETTINGWND_SLOT_SAVE0,"カスタム①の設定を保存しました"
GAME_AICUSTOMSETTINGWND_SLOT_SAVE1,"カスタム②の設定を保存しました"
GAME_AICUSTOMSETTINGWND_SLOT_SAVE_ERR,"設定を保存に失敗しました"
GAME_AICUSTOMSETTINGWND_SLOT_ERR1,"アクトキューブがセットされている為、セット出来ませんでした"
GAME_AICUSTOMSETTINGWND_SLOT_ERR2,"アクトキューブが正常にセットされていない為、有効に出来ませんでした"
GAME_AICUSTOMSETTINGWND_SLOT_SETERR0,"条件が揃っていない為、セット出来ませんでした"
GAME_AICUSTOMSETTINGWND_SLOT_SETERR1,"パートナーランクがアクトキューブ装備条件に満たされていない為、セット出来ませんでした"
GAME_AICUSTOMSETTINGWND_SLOT_SETERR2,"信頼度がアクトキューブ装備条件に満たされていない為、セット出来ませんでした"
GAME_AICUSTOMSETTINGWND_SLOT_ADJUST,"スロットに入っていたアクトキューブを忘れたため、設定を変更しました"
GAME_AICUSTOMSETTINGWND_DETAIL0,"攻撃重視AIとは、$r一番近くに居るモンスターに$r攻撃スキルを優先して攻撃します。"
GAME_AICUSTOMSETTINGWND_DETAIL1,"支援重視AIとは、$rユーザーに対して支援系スキルを$r率先して使用します。$r支援系スキルがないパートナーは、$r近くにいるモンスターをターゲットし、$r攻撃を行います。$r$rパートナープロテクト中は、$r自身のパートナーと$r他のパートナーに対して$r支援スキルを率先して使用する思考に$r変化します。"
GAME_AICUSTOMSETTINGWND_DETAIL2,"追従AIとは、$r攻撃も支援も行わず、ユーザーに$r付いてきます。$r$rパートナープロテクト中は、$r攻撃も支援も行わずに$rその場に待機する思考に変化します。"
GAME_AICUSTOMSETTINGWND_DETAIL3,"防御重視 AI とは、$rモンスターに攻撃されるまで$r行動を起こしません。"
GAME_AICUSTOMSETTINGWND_DETAIL4,"主人重視 AI とは、$r主人がモンスターに攻撃されるまで$rまたは、自分がモンスターに$r攻撃されるまで$r行動を起こしません。$r$rパートナープロテクト中は、$r防御重視と同じ思考に変化します。"
GAME_AICUSTOMSETTINGWND_DETAIL5,"攻撃重視(通常攻撃のみ)AIとは、$r一番近くに居るモンスターに$r通常攻撃をします。"
GAME_AICUSTOMSETTINGWND_DETAIL6,"攻撃重視(物理スキルのみ)AIとは、$r一番近くに居るモンスターに$r物理スキルで攻撃します。"
GAME_AICUSTOMSETTINGWND_DETAIL7,"攻撃重視(魔法スキルのみ)AIとは、$r一番近くに居るモンスターに$r魔法スキルで攻撃します。"
GAME_AICUSTOMSETTINGWND_TERMS0,"％以下から"
GAME_AICUSTOMSETTINGWND_TERMS1,"％以上なら"
