#パートナー詳細ウィンドウ
GAME_PARTNERDETAILWND_TITTLE,"パートナー情報"
GAME_PARTNERDETAILWND_LEVEL,"BaseLv "
GAME_PARTNERDETAILWND_TRUST,"現在の信頼度："
GAME_PARTNERDETAILWND_PARAM_TAG,"＜ステータス＞"
GAME_PARTNERDETAILWND_PARAM0,"最大ＨＰ"
GAME_PARTNERDETAILWND_PARAM1,"最大ＭＰ"
GAME_PARTNERDETAILWND_PARAM2,"最大ＳＰ"
GAME_PARTNERDETAILWND_PARAM3,"物理攻撃力(最小)"
GAME_PARTNERDETAILWND_PARAM4,"物理攻撃力(最大)"
GAME_PARTNERDETAILWND_PARAM5,"魔法攻撃力(最小)"
GAME_PARTNERDETAILWND_PARAM6,"魔法攻撃力(最大)"
GAME_PARTNERDETAILWND_PARAM7,"近距離命中力"
GAME_PARTNERDETAILWND_PARAM8,"遠距離命中力"
GAME_PARTNERDETAILWND_PARAM9,"物理防御力(－)"
GAME_PARTNERDETAILWND_PARAM10,"物理防御力(％)"
GAME_PARTNERDETAILWND_PARAM11,"魔法防御力(－)"
GAME_PARTNERDETAILWND_PARAM12,"魔法防御力(％)"
GAME_PARTNERDETAILWND_PARAM13,"近距離回避力"
GAME_PARTNERDETAILWND_PARAM14,"遠距離回避力"
GAME_PARTNERDETAILWND_PARAM15,"攻撃速度"
GAME_PARTNERDETAILWND_PARAM16,"詠唱速度"
GAME_PARTNERDETAILWND_PARAM_TYPE,"系統"
GAME_PARTNERDETAILWND_PARAM_KIND,"種別"
GAME_PARTNERDETAILWND_PARAM_TRANS_TAG,"転生"
GAME_PARTNERDETAILWND_PARAM_TRANS0,"未転生"
GAME_PARTNERDETAILWND_PARAM_TRANS1,"転生済"
GAME_PARTNERDETAILWND_PARAM_PENALTY,"レベル差によるステータス減衰発生中"
GAME_PARTNERDETAILWND_PARAM_BALLOON0,"最大ＨＰ。耐久力に依存します。"
GAME_PARTNERDETAILWND_PARAM_BALLOON1,"最大ＭＰ。魔法攻撃に依存します。"
GAME_PARTNERDETAILWND_PARAM_BALLOON2,"最大ＳＰ。近接攻撃に依存します。"
GAME_PARTNERDETAILWND_PARAM_BALLOON3,"最小物理攻撃力。近接攻撃に依存します。"
GAME_PARTNERDETAILWND_PARAM_BALLOON4,"最大物理攻撃力。近接攻撃に依存します。"
GAME_PARTNERDETAILWND_PARAM_BALLOON5,"最小魔法攻撃力。魔法攻撃に依存します。"
GAME_PARTNERDETAILWND_PARAM_BALLOON6,"最大魔法攻撃力。魔法攻撃に依存します。"
GAME_PARTNERDETAILWND_PARAM_BALLOON7,"近距離命中力。攻撃の精度に依存します。"
GAME_PARTNERDETAILWND_PARAM_BALLOON8,"遠距離命中力。攻撃の精度に依存します。"
GAME_PARTNERDETAILWND_PARAM_BALLOON9,"追加物理防御力。耐久力に依存します。"
GAME_PARTNERDETAILWND_PARAM_BALLOON10,"基本物理防御力。耐久力に依存します。"
GAME_PARTNERDETAILWND_PARAM_BALLOON11,"追加魔法防御力。精神力に依存します。"
GAME_PARTNERDETAILWND_PARAM_BALLOON12,"基本魔法防御力。精神力に依存します。"
GAME_PARTNERDETAILWND_PARAM_BALLOON13,"近距離回避力。フットワークに依存します。"
GAME_PARTNERDETAILWND_PARAM_BALLOON14,"遠距離回避力。フットワークに依存します。"
GAME_PARTNERDETAILWND_PARAM_BALLOON15,"攻撃速度。フットワークに依存します。"
GAME_PARTNERDETAILWND_PARAM_BALLOON16,"詠唱速度。精神力に依存します。"
GAME_PARTNERDETAILWND_PARAM_BALLOON17,"現在のパートナーの系統"
GAME_PARTNERDETAILWND_STATUS_TAG,"＜パートナーランク＞"
GAME_PARTNERDETAILWND_STATUS_TIMETAG,"次の食事まで"
GAME_PARTNERDETAILWND_STATUS_TRUSTTAG,"信頼度ＵＰ"
GAME_PARTNERDETAILWND_STATUS_GROWTH,"成長ポイント"
GAME_PARTNERDETAILWND_STATUS_GUIDING0,"近接攻撃を強くする"
GAME_PARTNERDETAILWND_STATUS_GUIDING1,"魔法攻撃を強くする"
GAME_PARTNERDETAILWND_STATUS_GUIDING2,"耐久力を鍛える"
GAME_PARTNERDETAILWND_STATUS_GUIDING3,"精神力を鍛える"
GAME_PARTNERDETAILWND_STATUS_GUIDING4,"攻撃の精度を上げる"
GAME_PARTNERDETAILWND_STATUS_GUIDING5,"フットワークを鍛える"
GAME_PARTNERDETAILWND_STATUS_GUIDING_BALLOON0,"最大ＳＰ$r物理攻撃力(最小)$r物理攻撃力(最大)"
GAME_PARTNERDETAILWND_STATUS_GUIDING_BALLOON1,"最大ＭＰ$r魔法攻撃力(最小)$r魔法攻撃力(最大)"
GAME_PARTNERDETAILWND_STATUS_GUIDING_BALLOON2,"最大ＨＰ$r物理防御力(－)$r物理防御力(％)"
GAME_PARTNERDETAILWND_STATUS_GUIDING_BALLOON3,"魔法防御力(－)$r魔法防御力(％)$r詠唱速度"
GAME_PARTNERDETAILWND_STATUS_GUIDING_BALLOON4,"近距離命中力$r遠距離命中力"
GAME_PARTNERDETAILWND_STATUS_GUIDING_BALLOON5,"近距離回避力$r遠距離回避力$r攻撃速度"
GAME_PARTNERDETAILWND_EQUIP_TAG0,"＜武器＞"
GAME_PARTNERDETAILWND_EQUIP_TAG1,"＜防具＞"
GAME_PARTNERDETAILWND_FOOD_TAG,"＜食べ物＞"
GAME_PARTNERDETAILWND_FOOD_CHK,"自動で食事するのを許可する"
GAME_PARTNERDETAILWND_FOOD_CHK_NO,"食事をすることができません"
GAME_PARTNERDETAILWND_FOOD_MAXNUM,"/ %d"
GAME_PARTNERDETAILWND_BALLOON_COLOR0,"黒"
GAME_PARTNERDETAILWND_BALLOON_COLOR1,"紫"
GAME_PARTNERDETAILWND_BALLOON_COLOR2,"青"
GAME_PARTNERDETAILWND_BALLOON_COLOR3,"水色"
GAME_PARTNERDETAILWND_BALLOON_COLOR4,"緑"
GAME_PARTNERDETAILWND_BALLOON_COLOR5,"黄緑"
GAME_PARTNERDETAILWND_BALLOON_COLOR6,"黄色"
GAME_PARTNERDETAILWND_BALLOON_COLOR7,"橙色"
GAME_PARTNERDETAILWND_BALLOON_COLOR8,"赤"
GAME_PARTNERDETAILWND_BALLOON_COLOR9,"桃色"
GAME_PARTNERDETAILWND_OPEN_ERR,"マシナファーム時にパートナー情報ウィンドウを開く事は出来ません"
GAME_PARTNER_EQUIP_ERR0,"パートナーが装備されていません"
GAME_PARTNER_HEALTIME_TAG,"回復時間"
GAME_PARTNER_HEALTIME,"残り %s 分"

#パートナー台詞カスタマイズウィンドウ
GAME_PARTNERTALKWND_TITTLE,"パートナーセリフカスタマイズ"
GAME_PARTNERTALKWND_STC_SITUATION,"状況選択"
GAME_PARTNERTALKWND_STC_PROBABILITY,"発言頻度"
GAME_PARTNERTALKWND_STC_PERCENT,"％"
GAME_PARTNERTALKWND_STC_EDIT,"セリフ入力"
GAME_PARTNERTALKWND_STC_COMMENT,"※全角６２文字、半角１２４文字、最大５行まで$r（改行も文字数にカウントされます）"
GAME_PARTNERTALKWND_PROBABILITY0,"発言しない"
GAME_PARTNERTALKWND_PROBABILITY1,"稀に発言する"
GAME_PARTNERTALKWND_PROBABILITY2,"たまに発言する"
GAME_PARTNERTALKWND_PROBABILITY3,"ほどよく発言する"
GAME_PARTNERTALKWND_PROBABILITY4,"頻繁に発言する"
GAME_PARTNERTALKWND_PROBABILITY5,"絶対に発言する"
GAME_PARTNERTALKWND_TEST_NG,"セリフ内容にＮＧワードが含まれています"
GAME_PARTNERTALKWND_SEND_NG,"セリフ内容にＮＧワードが含まれています"
GAME_PARTNERTALKWND_CHANGE_WARNING,"セリフが保存されていませんが状況選択を変更しますか？"
GAME_PARTNERTALKWND_SAVE_WARNING,"セリフが保存されていませんが終了してよろしいですか？"
GAME_PARTNERTALKWND_SAVE_OK,"パートナーのセリフを保存しました"
GAME_PARTNERTALKWND_SAVE_NG,"セリフ内容にＮＧワードが含まれていたため保存に失敗しました"
