#パートナープロテクト
GAME_PARTNERPROTECT_LIST_TITLE,"パートナープロテクト ルームリスト"
GAME_PARTNERPROTECT_LIST_STAGE_ALL,"すべて"
GAME_PARTNERPROTECT_LIST_SORT_0,"募集項目"
GAME_PARTNERPROTECT_LIST_SORT_1,"ルーム名"
GAME_PARTNERPROTECT_LIST_SORT_2,"名前（参加人数）"
GAME_PARTNERPROTECT_LIST_SORT_3,"コメント"
GAME_PARTNERPROTECT_LIST_LV_TAG,"募集項目"
GAME_PARTNERPROTECT_LIST_LEAVE_MSG,"参加中のルームから退出します"
GAME_PARTNERPROTECT_LIST_BREAK_MSG,"立ち上げたルームを解散します"
GAME_PARTNERPROTECT_LIST_WARNING,"持ち物に空きがない場合、クリア報酬アイテムを$r受け取れない可能性がありますのでご注意ください。"
GAME_PARTNERPROTECT_LIST_MENU_0,"ルームから退出します"
GAME_PARTNERPROTECT_LIST_MENU_M_0,"メンバーを解散します"
GAME_PARTNERPROTECT_LIST_MENU_M_1,"ルームから退出します"
GAME_PARTNERPROTECT_LIST_MENU_OTHER_0,"ルームから退出させます"
GAME_PARTNERPROTECT_LIST_BREAK,"すでにパートナープロテクトを開始している場合、ルームメンバー全員が$rパートナープロテクトをリタイアすることになります。$r$rルームを解散しますか？"
GAME_PARTNERPROTECT_LIST_LEAVE,"すでにパートナープロテクトを開始している場合、$rルームから退出するとパートナープロテクトをリタイアすることになります。$r$rルームから退出しますか？"
GAME_PARTNERPROTECT_LIST_KICK,"%sを退出させますが、$r本当によろしいでしょうか？"
GAME_PARTNERPROTECT_LIST_KICK_ERROR0,"%sさんをルームから退出させました。"
GAME_PARTNERPROTECT_LIST_KICK_ERROR-1,"対象がルームに存在しません。"
GAME_PARTNERPROTECT_LIST_KICK_DISABLE,"ゲーム中はメンバーを退出させることはできません。"
GAME_PARTNERPROTECT_LIST_BL,"%sをブロックリストに登録しますか？"
GAME_PARTNERPROTECT_LIST_SEARCH_RESET,"ルームリストの検索状況をリセットします"
GAME_PARTNERPROTECT_LIST_SEARCH_ON,"ルーム検索 : ＯＮ"
GAME_PARTNERPROTECT_LIST_SEARCH_OFF,"ルーム検索 : ＯＦＦ"
