# クエスト
GAME_QUEST_TITLE,"クエスト情報"
GAME_QUEST_LIST_TITLE,"クエストリスト"
GAME_QUEST_LIMIT_TIME,"%d分"
GAME_QUEST_POINT_TAG,"クエスト残り数"
GAME_QUEST_POINT,"%d/15"
GAME_QUEST_ADJUST_TIME_TAG,"1ポイント回復まであと"
GAME_QUEST_ADJUST_TIME,"%d時間"
GAME_QUEST_REPORT,"クエストカウンターに報告してください"
GAME_QUEST_REWARD,"報酬内容　各種キャンペーン効果などは含まれておりません"
GAME_QUEST_LV,"LV%d %s"
GAME_QUEST_LV_NO,"LV- %s"
GAME_QUEST_EXP_PER,"%d％"

GAME_QUEST_COND_BETWEEN,"%d～%d"

GAME_QUEST_SUBJUGATE_COND,"%s %s体"
GAME_QUEST_SUBJUGATE_COND_UNKNOWN,"凶暴なモンスター %s体"
GAME_QUEST_SUBJUGATE,"{ENEMY}を退治"
GAME_QUEST_SUBJUGATE_PLACE,"{PLACE}の"

GAME_QUEST_GATHER_COND,"%s %d/%s個"
GAME_QUEST_GATHER_COND_UNKNOWN,"UnknownItem %d/%s個"
GAME_QUEST_GATHER,"{ITEM}を届ける"
GAME_QUEST_GATHER_OPT1,"{ITEM}をゴミ箱に捨てる"

GAME_QUEST_TRANSPORT_COND,"%s　%d個"
GAME_QUEST_TRANSPORT_COND_UNKNOWN,"UnknownItem　%d個"
GAME_QUEST_TRANSPORT_FROM,"{FROM_PLACE}の$r{FROM_PERSON}から"
GAME_QUEST_TRANSPORT_ITEM,"{ITEM}を預かり"
GAME_QUEST_TRANSPORT_TO,"{TO_PLACE}の$r{TO_PERSON}へ届ける"

GAME_QUEST_KIND_SUBJUGATE,"討伐"
GAME_QUEST_KIND_GATHER,"採取"
GAME_QUEST_KIND_TRANSPORT,"運搬"
GAME_QUEST_KIND_CAPTURE,"攻略"
GAME_QUEST_KIND_SPECIAL,"特殊"

GAME_QUEST_TITLE_KIND,"種別"
GAME_QUEST_TITLE_LIMIT,"制限時間"
GAME_QUEST_TITLE_LIMIT_INF,"∞"
GAME_QUEST_TITLE_USEPOINT,"消費クエストポイント"

GAME_QUEST_REWARD_EXP,"EXP"
GAME_QUEST_REWARD_JOBEXP,"JOBEXP"
GAME_QUEST_REWARD_GOLD,"ゴールド"
GAME_QUEST_REWARD_MATERIAL,"マテリアルポイント"
GAME_QUEST_REWARD_EP,"EP"
GAME_QUEST_REWARD_CP,"CP"
GAME_QUEST_REWARD_ITEM,"アイテム"
GAME_QUEST_REWARD_UNKNOWN,"？？？"
