# レシピウィンドウ
GAME_RECIPE_TITLE,"レシピ"
GAME_RECIPE_LIST_TITLE,"レシピカタログ"
GAME_RECIPE_LIST_MODE0,"カタログモード"
GAME_RECIPE_LIST_MODE1,"名前検索モード"
GAME_RECIPE_STAR,"★"
GAME_RECIPE_STARCOUNT,"★作成済み ( %d / %d )"
GAME_RECIPE_STARCOUNT2,"★作成済み ( %d )"
GAME_RECIPE_NEED_ITEM,"必要な道具"
GAME_RECIPE_NEED_SKILL,"必要なスキル"
GAME_RECIPE_STARLEARN,"★ 作成済み"
GAME_RECIPE_SKILLNAME,"検索レシピ"
GAME_RECIPE_SKILLLV,"スキルLv"
GAME_RECIPE_PAGE,"ページ"
GAME_RECIPE_SEARCH,"アイテム名"
GAME_RECIPE_MAIN,"作成できるアイテム"
GAME_RECIPE_OTHER,"その他の作成できるアイテム"
GAME_RECIPE_MAT_ITEM,"必要なアイテム"
GAME_RECIPE_PER_TAG,"確率％"
GAME_RECIPE_EVENT_ITEM,"その他合成アイテム"
GAME_RECIPE_CANT_NPC,"NPCでは作成できないアイテムです"
GAME_RECIPE_SEARCH_TYPE0,"合成後のアイテム名で検索"
GAME_RECIPE_SEARCH_TYPE1,"必要アイテムから逆引き検索"
GAME_RECIPE_SEARCH_WND,"レシピ検索"
GAME_RECIPE_SEARCH_ERR,"該当するレシピがありません"
GAME_RECIPE_SEARCH_NOTITEM_ERR,"※該当するレシピがありません"
GAME_RECIPE_SHOWMODE0,"※選択中のスキルで作成できるレシピのみ表示"
GAME_RECIPE_SHOWMODE1,"※検索結果のレシピを全て表示"
