# 募集ウィンドウ
GAME_RECRUIT_TITLE,"募集コメントリスト"
GAME_RECRUIT_SET_TITLE,"募集コメント登録"
GAME_RECRUIT_TYPETEXT,"募集項目"
GAME_RECRUIT_TYPE_0,"パーティー"
GAME_RECRUIT_TYPE_1,"アイテム"
GAME_RECRUIT_TYPE_2,"情報"
GAME_RECRUIT_TYPE_3,"師弟"
GAME_RECRUIT_TYPE_4,"チャットルーム"
GAME_RECRUIT_PAGE,"%d/%d"
GAME_RECRUIT_POINT,"…"
GAME_RECRUIT_DEL_ERR,"募集コメントの削除に失敗しました"
GAME_RECRUIT_ADD_ERR,"募集コメントの登録に失敗しました"
GAME_RECRUIT_ADD_ERR2,"このマップでは募集コメントに登録できません"
GAME_RECRUIT_DEL_SUCCESS,"募集コメントを削除しました"
GAME_RECRUIT_ADD_SUCCESS,"募集コメントに登録しました"
GAME_RECRUIT_ERR_0,"参加要請中です"
GAME_RECRUIT_ERR_1,"パーティーサーバーとの接続に失敗しました"
GAME_RECRUIT_ERR_2,"パーティー参加要請を断られました"
GAME_RECRUIT_ERR_3,"要請をしたパーティーは満員です"
GAME_RECRUIT_ERR_4,"パーティー要請をした相手がオフライン中です"
GAME_RECRUIT_ERR_5,"パーティー参加中に要請はできません"
GAME_RECRUIT_ERR_6,"自分にパーティー申請はできません"
GAME_RECRUIT_ERR_7,"募集コメントの登録が消えています"
GAME_RECRUIT_NAME_PT,"%s(%d)"
GAME_RECRUIT_CHATROOM_ENTER_NUM,"人参加中"
GAME_RECRUIT_NEED_PSW,"パスワードが必要です"
