#リサイクル
GAME_RECYCLEWND_TITTLE,"リサイクル"
GAME_RECYCLEWND_GAUGE_TAG,"ワールドゲージ"
GAME_RECYCLEWND_ENDTIME_TAG,"効果終了日時"
GAME_RECYCLEWND_ENDTIME,"%2d月%2d日 %2d時%02d分"
GAME_RECYCLEWND_ADVANTAGE_TAG,"達成効果付与"
GAME_RECYCLEWND_ADVAN_TAG,"効果 ： "
GAME_RECYCLEWND_ADVAN0,"基本経験値・職業経験値1.5倍"
GAME_RECYCLEWND_ADVAN1,"基本経験値・職業経験値2.0倍"
GAME_RECYCLEWND_ADVAN2,"基本経験値・職業経験値2.5倍"
GAME_RECYCLEWND_ADVAN3,"基本経験値・職業経験値3.0倍"
GAME_RECYCLEWND_ADVAN4,"カードアセンブル成功確率上昇"
GAME_RECYCLEWND_ADVAN5,"武具強化成功確率上昇"
GAME_RECYCLEWND_ADVAN6,"カードスロット拡張成功確率上昇"
GAME_RECYCLEWND_ADVAN7,""
GAME_RECYCLEWND_POINT_TAG,"リサイクルポイント"
GAME_RECYCLEWND_POINT,"%d P"
GAME_RECYCLEWND_START_ANNOUNCE,"ワールドゲージがＭＡＸの為、ワールド効果が発動中"
GAME_RECYCLEWND_END_ANNOUNCE,"リサイクルによる、ワールド効果が終了いたしました"
GAME_RECYCLEWND_HELP,"リサイクルシステムヘルプ"
GAME_RECYCLEWND_HELPTOOL,"ヘルプを開く"

#リサイクル納品
GAME_RECYCLEDELIVERYWND_TITTLE,"リサイクル納品"
GAME_RECYCLEDELIVERYWND_POINT,"%d P"
GAME_RECYCLEDELIVERYWND_ITEMNUM_TAG,"納品している数"
GAME_RECYCLEDELIVERYWND_ITEMNUM,"%d / %d"
GAME_RECYCLEDELIVERYWND_CONFIRM,"納品するとアイテムが消えますが、よろしいですか？"
#GAME_RECYCLEDELIVERYWND_CONFIRM_GAUGE,"ワールドゲージが上限に達しているため、$rこれ以上納品をしてもゲージの増加はしませんがよろしいですか？"
GAME_RECYCLEDELIVERYWND_CONFIRM_POINT,"リサイクルポイントが上限に達したため$r溢れた分の %d ポイントを切り捨てますがよろしいですか？"
GAME_RECYCLEDELIVERYWND_RESULT_POINT,"リサイクルポイントが上限に達しました"
GAME_RECYCLEDELIVERYWND_SENDERR,"納品"
GAME_RECYCLEDELIVERYWND_ERRMSG,"納品してはいけないアイテムがあった為、納品が出来ませんでした"
GAME_RECYCLEDELIVERY_WORLDPOINT_LOG,"ワールドゲージが %lld ポイント増加しました"
