# 精錬ウィンドウ
GAME_REINFORCE_TITLE,"武具強化"
GAME_REINFORCE_BASEITEM,"強化するアイテム"
GAME_REINFORCE_MATERIAL,"素材アイテム"
GAME_REINFORCE_SUPPORT,"補助アイテム"
GAME_REINFORCE_SELECT,"選択されたアイテム"
GAME_REINFORCE_AFTER,"強化後"
GAME_REINFORCE_SELECT_0,"%s を"
GAME_REINFORCE_SELECT_1,"%s で強化します。"
GAME_REINFORCE_SELECT_2,"強化時に %s を使用します。"
GAME_REINFORCE_SELECT_3,"強化時に %s を使用します。"
GAME_REINFORCE_SELECT_4,"強化時に %s を使用します。"
GAME_REINFORCE_SUCCESS,"成功時"
GAME_REINFORCE_FAIL,"失敗時"
GAME_REINFORCE_FAIL_0,"強化アイテム消滅$r※ 上記は補助アイテムで防ぐことが可能です。"
GAME_REINFORCE_FAIL_1,"選択した強化するアイテムは消滅しません$r選択した強化するアイテムの強化値や性能開放内容、$r強化回数がリセットされます。"
GAME_REINFORCE_FAIL_2,"選択した強化するアイテムは消滅しません$r強化済みのアイテムの場合、強化値はリセットされません。"
GAME_REINFORCE_FAIL_3,"補助アイテム使用により、失敗はしません。"
GAME_REINFORCE_COUNT,"強化回数"
GAME_REINFORCE_COUNT_NUM,"%dから%dに変更"
GAME_REINFORCE_BP,"取得バックパッカーボーナス経験値"
GAME_REINFORCE_BP_EXP,"取得EXP / JOBEXP"
GAME_REINFORCE_BP_WARNING,"※ＢＰボーナス適正Lv範囲外です（取得経験値が変動します）"
GAME_REINFORCE_WARNING,"上記アイテムを使用し、強化を行います。成功失敗に関わらず、素材となるアイテムは消滅します。"
GAME_REINFORCE_WARNING_PRICE,"%dGOLDで強化を行います。"
GAME_REINFORCE_WARNING_CANCEL,"※選択中のアイテムをダブルクリックすると選択がキャンセルされます。"
GAME_REINFORCE_MSBGBOX,"%s を使用し、強化を行います"
GAME_REINFORCE_MSBGBOX2,"%s を %d個使用し、強化を行います"
GAME_REINFORCELIST_TITLE,"強化するアイテム"
GAME_REINFORCE_EFFECT_UP,"エフェクト変化"
GAME_REINFORCE_PFITEMWND,"強化失敗防止アイテム選択ウィンドウ"
GAME_REINFORCE_SSITEMWND,"成功率上昇アイテム選択ウィンドウ"
GAME_REINFORCE_NOTUSEPFITEM,"使用しない"
GAME_REINFORCE_MSGBOX_USEPFITEM,"%s を使用し、強化を行います"
GAME_REINFORCE_MSGBOX_NOTUSEPFITEM,"使用しないでよろしいですか？"
GAME_REINFORCE_MSGBOX_NOSUPPORT,"補助アイテムを使用せずに強化を行いますか？"
GAME_REINFORCE_CAST_MSG,"強化中・・・"
GAME_REINFORCE_RESULT_OK,"強化に成功しました！"
GAME_REINFORCE_RESULT_NG,"強化に失敗しました"
GAME_REINFORCE_RESULT_FAIL_0,"強化アイテムが消滅しました…"
GAME_REINFORCE_RESULT_FAIL_1,"強化回数がリセットされました…"
GAME_REINFORCE_RESULT_FAIL_2,"補助アイテムの効果により、$r強化アイテムは消滅しませんでした。"

GAME_REINFORCE_OK,"の強化に成功しました"
GAME_REINFORCE_ERR0,"の強化に失敗しました"
GAME_REINFORCE_ERR1,"強化を行うためのお金が足りません"
GAME_REINFORCE_ERR2,"強化を行うアイテムが存在しません"
GAME_REINFORCE_ERR3,"強化材料がありません"
GAME_REINFORCE_ERR4,"対応する強化材料がありません"
GAME_REINFORCE_ERR5,"取得経験値が変動したためスキルをキャンセルし、バックパッカーボーナス経験を取得しませんでした"
GAME_REINFORCE_ERR5_DLG,"取得経験値が変動したため$rスキルをキャンセルし、バックパッカーボーナス経験を$r取得しませんでした"
