#リリースアビリティ
GAME_RELEASE_ABILITY_HP_MAX_UP,	"HP最大値＋上昇"
GAME_RELEASE_ABILITY_HP_PER_UP,	"HP最大値％上昇"
GAME_RELEASE_ABILITY_MP_MAX_UP,	"MP最大値＋上昇"
GAME_RELEASE_ABILITY_MP_PER_UP,	"MP最大値％上昇"
GAME_RELEASE_ABILITY_SP_MAX_UP,	"SP最大値＋上昇"
GAME_RELEASE_ABILITY_SP_PER_UP,	"SP最大値％上昇"
GAME_RELEASE_ABILITY_HP_REC_UP,	"HP回復力％上昇"
GAME_RELEASE_ABILITY_MP_REC_UP,	"MP回復力％上昇"
GAME_RELEASE_ABILITY_SP_REC_UP,	"SP回復力％上昇"
GAME_RELEASE_ABILITY_SKILL_MP_PER_DOWN,	"スキル消費MP％軽減"
GAME_RELEASE_ABILITY_SKILL_SP_PER_DOWN,	"スキル消費SP％軽減"
GAME_RELEASE_ABILITY_STR_UP,	"STR＋上昇"
GAME_RELEASE_ABILITY_DEX_UP,	"DEX＋上昇"
GAME_RELEASE_ABILITY_INT_UP,	"INT＋上昇"
GAME_RELEASE_ABILITY_VIT_UP,	"VIT＋上昇"
GAME_RELEASE_ABILITY_AGI_UP,	"AGI＋上昇"
GAME_RELEASE_ABILITY_MAG_UP,	"MAG＋上昇"
GAME_RELEASE_ABILITY_ATK_FIX_UP,	"ATK値＋上昇"
GAME_RELEASE_ABILITY_ATK_PER_UP,	"ATK％上昇"
GAME_RELEASE_ABILITY_MATK_FIX_UP,	"M.ATK値＋上昇"
GAME_RELEASE_ABILITY_MATK_PER_UP,	"M.ATK％上昇"
GAME_RELEASE_ABILITY_SHIT_FIX_UP,	"S.HIT値＋上昇"
GAME_RELEASE_ABILITY_SHIT_PER_UP,	"S.HIT値％上昇"
GAME_RELEASE_ABILITY_LHIT_FIX_UP,	"L.HIT値＋上昇"
GAME_RELEASE_ABILITY_LHIT_PER_UP,	"L.HIT値％上昇"
GAME_RELEASE_ABILITY_SAVOID_FIX_UP,	"S.AVOID＋上昇"
GAME_RELEASE_ABILITY_SAVOID_PER_UP,	"S.AVOID％上昇"
GAME_RELEASE_ABILITY_LAVOID_FIX_UP,	"L.AVOID＋上昇"
GAME_RELEASE_ABILITY_LAVOID_PER_UP,	"L.AVOID％上昇"
GAME_RELEASE_ABILITY_DEF_UP,	"DEF＋上昇"
GAME_RELEASE_ABILITY_DEF_PER_UP,	"DEF％上昇"
GAME_RELEASE_ABILITY_MDEF_FIX_UP,	"M.DEF＋上昇"
GAME_RELEASE_ABILITY_MDEF_PER_UP,	"M.DEF％上昇"
GAME_RELEASE_ABILITY_WEAPON_FIX_UP,	"武器攻撃力＋上昇"
GAME_RELEASE_ABILITY_WEAPON_PER_UP,	"武器攻撃力％上昇"
GAME_RELEASE_ABILITY_EQUIP_DEF_FIX_UP,	"防具防御力＋上昇"
GAME_RELEASE_ABILITY_EQUIP_DEF_UP,	"防具防御力％上昇"
GAME_RELEASE_ABILITY_HIT_UP,	"命中成功率上昇"
GAME_RELEASE_ABILITY_AVOID_UP,	"回避成功率上昇"
