# ショップウィンドウ
GAME_SHOP_TITLE,"ショップ"
GAME_SHOP_TITLE_CP,"CP報酬アイテム"
GAME_SHOP_TITLE_ECOIN,"ecoinショップ"
GAME_SHOP_TITLE_ABYSS,"アビス・マター交換アイテム"
GAME_SHOP_FOR_SALE_PRICE,"%9dＧ"
GAME_SHOP_MONEY,"   %9dＧ"
GAME_SHOP_FAILED_SELL,"アイテムを売るのを失敗しました。"
GAME_SHOP_CAPACITY_OVER,"容量がオーバーしています"
GAME_SHOP_PAYLOAD_OVER,"重量がオーバーしています"
GAME_SHOP_CAP_PAY_OVER,"重量、容量がオーバーしています"
GAME_SHOP_SHORT_MONEY,"お金が足りません"
GAME_SHOP_SHORT_CP,"CPが足りません"
GAME_SHOP_SHORT_ECOIN,"ecoinが足りません"
GAME_SHOP_SHORT_ABYSS,"アビス・マターが足りません"
GAME_SHOP_CANT_TRADE_ONCE,"一度にこれ以上取引できません"

GAME_SHOP_SELL_HELP_1,"売りたいアイテムをドラッグアンドドロップして下さい"
GAME_SHOP_SELL_HELP_2,"売りたいアイテムをここへ移します"
GAME_SHOP_BUY_HELP_1,"商店の売り物です"
GAME_SHOP_BUY_HELP_2,"買いたいアイテムをここに移します"

#ブースショップ
GAME_SHOP_BOOTH_NUM,"在庫"
GAME_SHOP_BOOTH_STOCKTIME,"%d分後に商品の仕入れをします"
GAME_SHOP_BOOTH_EXIT_1,"飛空城管理者が使用するため、ショップウィンドウを閉じました"
GAME_SHOP_BOOTH_EXIT_2,"機能の効果が変更されたため、ショップウィンドウを閉じました"
GAME_SHOP_BOOTH_EXIT_3,"ブースショップが撤去されたため、ショップウィンドウを閉じました"
GAME_SHOP_BOOTH_NEW_STOCK,"仕入れを行ったため、ラインナップが変更されました"
