# スキルウィンドウ
GAME_SKILL_TITLE,"スキル"
GAME_SKILL_INFO_TITLE,"スキル情報"
GAME_SKILL_PASSIVE,"%s$rパッシブ"
GAME_SKILL_CONSUME_MP,"%s$r消費MP %d"
GAME_SKILL_CONSUME_SP,"%s$r消費SP %d"
GAME_SKILL_CONSUME_EP,"%s$r消費EP %d"
GAME_SKILL_LV_UP,"%s のレベルをあげます"
GAME_SKILL_LEARN,"%s を習得します"
GAME_SKILL_LEARNED,"スキル[%s]を覚えました"
GAME_SKILL_TOTALSKILL,"Total Skill"
GAME_SKILL_SKILLNUM,"%d / %d"
GAME_SKILL_TOTALEXPOINT,"Total ExSkillPoint"
GAME_SKILL_EXPOINTNUM,"%d / %d"
GAME_SKILL_INFO_KWARCOND,"演習使用不可"
GAME_SKILL_INFO_KWARTRANSCOND,"演習憑依時使用不可"
GAME_SKILL_INFO_KWARCOND_1,"運搬"
GAME_SKILL_INFO_KWARCOND_2,"リーダー"
GAME_SKILL_INFO_KWARCOND_3,"運搬 リーダー戦"
GAME_SKILL_INFO_KWARCOND_4,"一般"
GAME_SKILL_INFO_KWARCOND_5,"運搬 一般"
GAME_SKILL_INFO_KWARCOND_6,"リーダー戦 一般"
GAME_SKILL_INFO_KWARCOND_7,"全ての演習"
GAME_SKILL_INFO_ANOTHER,"拡張スキル"
GAME_SKILL_USE_ERR_NOTSTATE,"対象のスキルを使用出来る状態じゃない為、使用できません"


GAME_SKILL_INFO_PASSIVE,"パッシブ"
GAME_SKILL_INFO_NOT_TRANCER,"憑依中使用不可"
GAME_SKILL_INFO_NOT_USE_HOST,"宿主中使用不可"

GAME_SKILL_TGT_SELF_0,"自分の地面"
GAME_SKILL_TGT_SELF_1,"自分専用"
GAME_SKILL_TGT_SELF_2,"自分を中心とした円"
GAME_SKILL_TGT_SELF_3,"自分を中心とした壁"
GAME_SKILL_TGT_SELF_4,"自分を中心とした扇型"
GAME_SKILL_TGT_SELF_5,"自分を中心とした直線"
GAME_SKILL_TGT_SELF_6,"自分を中心とした円形"
GAME_SKILL_TGT_SELF_7,"自分を中心とした円形"
GAME_SKILL_TGT_SELF_8,"自分を中心としたひし形"
GAME_SKILL_TGT_SELF_9,"自分を中心とした直線"
GAME_SKILL_TGT_SELF_10,"自分を中心とした直線"

GAME_SKILL_TGT_ONE_0,"単体対象を指定"
GAME_SKILL_TGT_ONE_1,"単体"
GAME_SKILL_TGT_ONE_2,"単体を中心にした円"
GAME_SKILL_TGT_ONE_3,"単体を中心にした壁"
GAME_SKILL_TGT_ONE_4,"単体を中心にした扇形"
GAME_SKILL_TGT_ONE_5,"単体を中心にした直線"
GAME_SKILL_TGT_ONE_6,"単体を中心にした円形"
GAME_SKILL_TGT_ONE_7,"単体を中心にした円形"
GAME_SKILL_TGT_ONE_8,"単体を中心にしたひし形"
GAME_SKILL_TGT_ONE_9,"単体を中心にした直線"
GAME_SKILL_TGT_ONE_10,"単体を中心にした直線"

GAME_SKILL_TGT_COORD_0,"地面対象を指定"
GAME_SKILL_TGT_COORD_1,"地面単体"
GAME_SKILL_TGT_COORD_2,"地面を中心にした円"
GAME_SKILL_TGT_COORD_3,"地面を中心にした壁"
GAME_SKILL_TGT_COORD_4,"地面を中心にした扇形"
GAME_SKILL_TGT_COORD_5,"地面を中心にした直線"
GAME_SKILL_TGT_COORD_6,"地面を中心にした円形"
GAME_SKILL_TGT_COORD_7,"地面を中心にした円形"
GAME_SKILL_TGT_COORD_8,"地面を中心にしたひし形"
GAME_SKILL_TGT_COORD_9,"地面を中心にした直線"
GAME_SKILL_TGT_COORD_10,"地面を中心にした直線"

GAME_SKILL_TGT_HYBRID_0,"単体対象を指定か自分の地面"
GAME_SKILL_TGT_HYBRID_1,"単体か自分専用"
GAME_SKILL_TGT_HYBRID_2,"単体か自分を中心にした円"
GAME_SKILL_TGT_HYBRID_3,"単体か自分を中心にした壁"
GAME_SKILL_TGT_HYBRID_4,"単体か自分を中心にした扇形"
GAME_SKILL_TGT_HYBRID_5,"単体か自分を中心にした直線"
GAME_SKILL_TGT_HYBRID_6,"単体か自分を中心にした円形"
GAME_SKILL_TGT_HYBRID_7,"単体か自分を中心にした円形"
GAME_SKILL_TGT_HYBRID_8,"単体か自分を中心にしたひし形"
GAME_SKILL_TGT_HYBRID_9,"単体か自分を中心にした直線"
GAME_SKILL_TGT_HYBRID_10,"単体か自分を中心にした直線"

GAME_SKILL_INFO_W_NONE,"無し"
GAME_SKILL_INFO_W_EQUIP,"を装備"
GAME_SKILL_INFO_W_SWORD,"剣"
GAME_SKILL_INFO_W_SSWORD,"短剣"
GAME_SKILL_INFO_W_MACE,"鈍器"
GAME_SKILL_INFO_W_AXE,"斧"
GAME_SKILL_INFO_W_SPEAR,"槍"
GAME_SKILL_INFO_W_THROW,"投擲武器"
GAME_SKILL_INFO_W_BOW,"弓"
GAME_SKILL_INFO_W_SHIELD,"盾"
GAME_SKILL_INFO_W_GUN,"銃"
GAME_SKILL_INFO_W_BAG,"鞄"
GAME_SKILL_INFO_W_SHORTWEAPON,"一般武器"
GAME_SKILL_INFO_W_CLAW,"爪"
GAME_SKILL_INFO_W_RAPIER,"細剣"
GAME_SKILL_INFO_W_INSTRUMENT,"楽器"
GAME_SKILL_INFO_W_ROPE,"ロープ"
GAME_SKILL_INFO_W_CARD,"カード"
GAME_SKILL_INFO_W_KNUCKLE,"ナックル"
GAME_SKILL_INFO_W_EMPTY,"素手"
GAME_SKILL_INFO_W_BOOK,"本"
GAME_SKILL_INFO_W_STAFF,"杖"
GAME_SKILL_INFO_W_BLOW,"アームパーツ（叩）"
GAME_SKILL_INFO_W_STAB,"アームパーツ（突）"
GAME_SKILL_INFO_W_SLASH,"アームパーツ（斬）"
GAME_SKILL_INFO_W_LONGRANGE,"アームパーツ（遠）"
GAME_SKILL_INFO_W_TWOHANDSWORD,"両手剣"
GAME_SKILL_INFO_W_TWOHANDMACE,"両手鈍器"
GAME_SKILL_INFO_W_TWOHANDAXE,"両手斧"
GAME_SKILL_INFO_W_TWOHANDSPEAR,"両手槍"
GAME_SKILL_INFO_W_SEP," "

GAME_SKILL_INFO_MENU_DEL,"スキルを忘れる"
GAME_SKILL_INFO_DELMSG_MES,"を忘れます"
GAME_SKILL_INFO_DELMSG_TITLE,"スキルの削除"
