# システムメッセージ(チャットルーム)
GAME_SMSG_CHATROOM_REG_RESULT0,"チャットルーム作成成功"
GAME_SMSG_CHATROOM_REG_RESULT1,"ネットワークに接続されてません"
GAME_SMSG_CHATROOM_REG_RESULT2,"チャットルーム作成失敗"
GAME_SMSG_CHATROOM_REG_RESULT3,"すでにチャットルームに入っています"
GAME_SMSG_CHATROOM_REG_RESULT4,"チャットルーム数が最大まで達しています"
GAME_SMSG_CHATROOM_REG_RESULT5,"このマップではチャットルームを作成できません" 
GAME_SMSG_CHATROOM_ENTER_RESULT0,"入室しました"
GAME_SMSG_CHATROOM_ENTER_RESULT1,"ネットワークに接続されてません"
GAME_SMSG_CHATROOM_ENTER_RESULT2,"なんらかの原因で入室できませんでした"
GAME_SMSG_CHATROOM_ENTER_RESULT3,"パスワードが違います"
GAME_SMSG_CHATROOM_ENTER_RESULT4,"定員数に達しています"
GAME_SMSG_CHATROOM_ENTER_RESULT5,"選択したチャットルームが存在しませんでした"
GAME_SMSG_CHATROOM_ENTER_RESULT6,"チャットルームの管理権限がありません"
GAME_SMSG_CHATROOM_ENTER_RESULT7,"すでにチャットルームに入っています"
GAME_SMSG_CHATROOM_ENTER_RESULT8,"このマップではチャットルームに入室できません"
GAME_SMSG_CHATROOM_LEAVE_RESULT0,"退室しました"
GAME_SMSG_CHATROOM_LEAVE_RESULT1,"ネットワークに接続されてません"
GAME_SMSG_CHATROOM_LEAVE_RESULT2,"何らかの原因で退室できませんでした"
GAME_SMSG_CHATROOM_LEAVE_RESULT3,"チャットルームに入室していません"
GAME_SMSG_CHATROOM_LEAVE_RESULT4,"選択したチャットルームが存在しませんでした"
