# システムメッセージ(アイテム)
GAME_SMSG_ITEM_USEERR1,"ターゲットがいません"
GAME_SMSG_ITEM_USEERR2,"指定した座標へは使用できません"
GAME_SMSG_ITEM_USEERR3,"使用できない状態です"
GAME_SMSG_ITEM_USEERR4,"スキル中の為使用できませんでした"
GAME_SMSG_ITEM_USEERR5,"遠距離攻撃中の為使用できませんでした"
GAME_SMSG_ITEM_USEERR6,"視線が通っていません"
GAME_SMSG_ITEM_USEERR7,"イベント中の為使用できませんでした"
GAME_SMSG_ITEM_USEERR8,"アイテムを使用する事が出来ないターゲットです"
GAME_SMSG_ITEM_USEERR9,"行動不能状態の為使用できませんでした"
GAME_SMSG_ITEM_USEERR10,"ゴーレムショップに出品中です"
GAME_SMSG_ITEM_USEERR11,"ゴーレムは既に起動しています"
GAME_SMSG_ITEM_USEERR12,"未鑑定品の為使用できませんでした"
GAME_SMSG_ITEM_USEERR13,"スキルが使えませんでした"
GAME_SMSG_ITEM_USEERR14,""
GAME_SMSG_ITEM_USEERR15,"宿主はマリオネットにのりうつれません"
GAME_SMSG_ITEM_USEERR16,"条件が合わない為マリオネットにのりうつれません"
GAME_SMSG_ITEM_USEERR17,"このマリオネットは未実装です"
GAME_SMSG_ITEM_USEERR18,"再度マリオネットにのりうつるには時間を置いてください"
GAME_SMSG_ITEM_USEERR19,"アイテム使用中の為使用できませんでした"
GAME_SMSG_ITEM_USEERR20,"攻撃中の為使用できませんでした"
GAME_SMSG_ITEM_USEERR21,"使用できませんでした"
GAME_SMSG_ITEM_USEERR22,"このフードは対象のパートナーへは与えられません"
GAME_SMSG_ITEM_USEERR23,"指定した対象へはこのアイテムは使用できません"
GAME_SMSG_ITEM_USEERR24,"「メタモーバトル」のみ使用可能です"
GAME_SMSG_ITEM_USEERR25,"プルルに変身中でないと使用出来ません"
GAME_SMSG_ITEM_USEERR26,"このアイテムでは現在のマリオネットを解除できません"
GAME_SMSG_ITEM_USEERR27,"この場所ではマリオネットにのりうつることはできません"
GAME_SMSG_ITEM_USEERR28,"「メタモーバトル」中は使用できません"
GAME_SMSG_ITEM_USEERR29,"このマップでは使用できません"
GAME_SMSG_ITEM_USEERR30,"イベントが用意されていません"
GAME_SMSG_ITEM_USEERR31,"何らかの理由で作成できませんでした"
GAME_SMSG_ITEM_USEERR32,"ロボット騎乗中でないと使用できません"
GAME_SMSG_ITEM_USEERR33,"ＤＥＭキャラクターはマリオネットにのりうつることができません"
GAME_SMSG_ITEM_USEERR34,"パートナーを装備していません"
GAME_SMSG_ITEM_USEERR35,"装備中のパートナーには使えません"
GAME_SMSG_ITEM_USEERR36,"対象のアクトキューブを既に覚えている為、覚えられません"
GAME_SMSG_ITEM_USEERR37,"アクトキューブをこれ以上覚える事が出来ません"
GAME_SMSG_ITEM_USEERR38,"再度アイテムを使用するには時間を置いてください"
GAME_SMSG_ITEM_USEERR39,"対象の上位スキル、または下位スキルを既に覚えている為、覚えられません"
GAME_SMSG_ITEM_USEERR40,"スキルの使用条件を満たしていない為、対象のパッシブアクトキューブを覚えられません"
GAME_SMSG_ITEM_USEERR100,"何らかの原因で使用できませんでした"
GAME_SMSG_ITEM_PICKUPERR0,"アイテムを拾うことが出来ません"
GAME_SMSG_ITEM_PICKUPERR1,"存在しないアイテムです"
GAME_SMSG_ITEM_PICKUPERR2,"行動不能時はアイテムを拾うことが出来ません"
GAME_SMSG_ITEM_PICKUPERR3,"憑依中はアイテムを拾うことが出来ません"
GAME_SMSG_ITEM_PICKUPERR4,"憑依者とレベルが離れすぎているので装備出来ません"
GAME_SMSG_ITEM_PICKUPERR5,"装備箇所は既に装備中です"
GAME_SMSG_ITEM_PICKUPERR6,"憑依装備は定員オーバーです"
GAME_SMSG_ITEM_PICKUPERR7,"憑依アイテムは装備出来ません"
GAME_SMSG_ITEM_PICKUPERR8,"トレード中はアイテムを拾うことが出来ません"
GAME_SMSG_ITEM_PICKUPERR9,"イベント中はアイテムを拾うことが出来ません"
GAME_SMSG_ITEM_PICKUPERR10,"取得権限がありません"
GAME_SMSG_ITEM_PICKUPERR11,"これ以上アイテムを所持することはできません"
GAME_SMSG_ITEM_PICKUPERR12,"憑依者取得中です"
GAME_SMSG_ITEM_PICKUPERR13,"拾える状態ではありません"
GAME_SMSG_ITEM_PICKUPERR14,"憑依アイテムは闘技場モードでないと拾えません"
GAME_SMSG_ITEM_PICKUPERR15,"憑依アイテムはチャンプバトルに参戦していないと拾えません"
GAME_SMSG_ITEM_PICKUPERR16,"マシナフォーム中は憑依アイテムを拾うことができません"
GAME_SMSG_ITEM_DROPERR2,"存在しないアイテムです"
GAME_SMSG_ITEM_DROPERR3,"イベントアイテムなので捨てることが出来ません"
GAME_SMSG_ITEM_DROPERR4,"変身中のマリオネットは捨てることが出来ません"
GAME_SMSG_ITEM_DROPERR5,"起動中のゴーレムは捨てることが出来ません"
GAME_SMSG_ITEM_DROPERR6,"ゴーレムショップに出品中のアイテムは捨てることが出来ません"
GAME_SMSG_ITEM_DROPERR7,"行動不能時はアイテムを捨てる事が出来ません"
GAME_SMSG_ITEM_DROPERR8,"トレード中はアイテムを捨てる事が出来ません"
GAME_SMSG_ITEM_DROPERR9,"使用中のアイテムを捨てる事はできません"
GAME_SMSG_ITEM_DROPERR10,"イベント中はアイテムを捨てることが出来ません"
GAME_SMSG_ITEM_DROPERR11,"装備中のアイテムは捨てることが出来ません"
GAME_SMSG_ITEM_DROPERR15,"お試しプレイ期間中はアイテムをドロップすることができません。アイテムを捨てたい場合は、アイテムウィンドウにあるゴミ箱のアイコンをクリックしてください"
GAME_SMSG_ITEM_DROPERR16_0,"「あ、あわわわわ･･･それは捨てることはできませんよ！」"
GAME_SMSG_ITEM_DROPERR16_1,"「ギルド商人までお持ちください。」"
