
# 騎士団演習
GAME_SMSG_KNIGHTWAR_NOWJOIN,"に参加中"
GAME_SMSG_KNIGHTWAR_REGSTATE,"登録状況"
GAME_SMSG_KNIGHTWAR_RESULT,"騎士団演習の結果"
GAME_SMSG_KNIGHTWAR_MINUTE,"分"
GAME_SMSG_KNIGHTWAR_SECOND,"秒"
GAME_SMSG_KNIGHTWAR_EAST_GRP,"東軍"
GAME_SMSG_KNIGHTWAR_WEST_GRP,"西軍"
GAME_SMSG_KNIGHTWAR_SOUTH_GRP,"南軍"
GAME_SMSG_KNIGHTWAR_NORTH_GRP,"北軍"
GAME_SMSG_KNIGHTWAR_CLOVER_GRP,"Clover軍"
GAME_SMSG_KNIGHTWAR_LUPINUS_GRP,"Lupinus軍"
GAME_SMSG_KNIGHTWAR_FREESIA_GRP,"Freesia軍"
GAME_SMSG_KNIGHTWAR_ZINIA_GRP,"Zinnia軍"
GAME_SMSG_KNIGHTWAR_MAP,"開催マップ"
GAME_SMSG_KNIGHTWAR_RULE,"開催ルール"
GAME_SMSG_KNIGHT_RULE_PACKTRAIN,"運搬演習"
GAME_SMSG_KNIGHT_RULE_LEADER,"リーダー戦演習"
GAME_SMSG_KNIGHT_RULE_FREE,"一般演習"
GAME_SMSG_KNIGHTWAR_FAVOR_TAG,"軍効果"
GAME_SMSG_KNIGHTWAR_HANDI_TAG,"人数差恩恵"
GAME_SMSG_KNIGHTWAR_ITEM_TAG,"自軍特殊アイテム設置数"
GAME_SMSG_KNIGHTWAR_ANNOUNCE_MERIT_START,"自軍への恩恵が発動しました"
GAME_SMSG_KNIGHTWAR_ANNOUNCE_MERIT,"自軍への恩恵が発動中"
GAME_SMSG_KNIGHTWAR_ANNOUNCE_MERIT_END,"自軍への恩恵効果が終了しました"
GAME_SMSG_KNIGHTWAR_ANNOUNCE_MERIT_BLOCK_START,"%s軍への妨害効果が発動しました"
GAME_SMSG_KNIGHTWAR_ANNOUNCE_MERIT_BLOCK,"%s軍への妨害効果が発動中"
GAME_SMSG_KNIGHTWAR_ANNOUNCE_MERIT_BLOCK_END,"%s軍へ妨害効果が終了しました"
GAME_SMSG_KNIGHTWAR_ANNOUNCE_DEMERIT_START,"他軍からの妨害効果が発動しました"
GAME_SMSG_KNIGHTWAR_ANNOUNCE_DEMERIT,"他軍からの妨害効果が発動中"
GAME_SMSG_KNIGHTWAR_ANNOUNCE_DEMERIT_END,"他軍からの妨害効果が終了しました"
GAME_SMSG_KNIGHTWAR_FREERULE_MERIT0,"自軍の戦線復帰までの時間短縮"
GAME_SMSG_KNIGHTWAR_FREERULE_MERIT1,"ヒーロー獲得ポイント増加"
GAME_SMSG_KNIGHTWAR_FREERULE_MERIT2,"自シンボル破壊減少ポイント軽減"
GAME_SMSG_KNIGHTWAR_FREERULE_MERIT3,"他シンボル破壊獲得ポイント増加"
GAME_SMSG_KNIGHTWAR_FREERULE_MERIT4,"納品獲得ポイント増加"
GAME_SMSG_KNIGHTWAR_FREERULE_MERIT5,"全獲得ポイント増加"
GAME_SMSG_KNIGHTWAR_FREERULE_MERIT6,"%s軍の戦線復帰時間延長"
GAME_SMSG_KNIGHTWAR_FREERULE_DEMERIT0,"自軍の戦線復帰時間延長"
GAME_SMSG_KNIGHTWAR_FREERULE_TIME_TAG,"効果時間"
GAME_SMSG_KNIGHTWAR_FREERULE_TIME_TEXT,"%d 分"
GAME_SMSG_KNIGHTWAR_INFOCAPTION0,"EXP / JOBEXP"
GAME_SMSG_KNIGHTWAR_INFOCAPTION1,"得点ボーナス"
GAME_SMSG_KNIGHTWAR_INFOCAPTION2,"受賞ボーナス"
GAME_SMSG_KNIGHTWAR_INFOCAPTION3,"合計"
GAME_SMSG_KNIGHTWAR_INFOCAPTION4,"獲得CP"
GAME_SMSG_KNIGHTWAR_PRIZENAMEINFO,"総合情報"
