# システムメッセージ(ミニゲームチャットルーム)
GAME_SMSG_MINIGAME_CHATROOM_REG_RESULT0,"ミニゲームチャットルーム作成成功"
GAME_SMSG_MINIGAME_CHATROOM_REG_RESULT1,"ネットワークに接続されてません"
GAME_SMSG_MINIGAME_CHATROOM_REG_RESULT2,"ミニゲームチャットルーム作成失敗"
GAME_SMSG_MINIGAME_CHATROOM_REG_RESULT3,"すでにミニゲームチャットルームに入っています"
GAME_SMSG_MINIGAME_CHATROOM_REG_RESULT4,"ミニゲームチャットルーム数が最大まで達しています"
GAME_SMSG_MINIGAME_CHATROOM_ENTER_RESULT0,"入室しました"
GAME_SMSG_MINIGAME_CHATROOM_ENTER_RESULT1,"ネットワークに接続されてません"
GAME_SMSG_MINIGAME_CHATROOM_ENTER_RESULT2,"なんらかの原因で入室できませんでした"
GAME_SMSG_MINIGAME_CHATROOM_ENTER_RESULT3,"パスワードが違います"
GAME_SMSG_MINIGAME_CHATROOM_ENTER_RESULT4,"定員数に達しています"
GAME_SMSG_MINIGAME_CHATROOM_ENTER_RESULT5,"選択したミニゲームチャットルームが存在しませんでした"
GAME_SMSG_MINIGAME_CHATROOM_ENTER_RESULT6,"ミニゲームチャットルームの管理権限がありません"
GAME_SMSG_MINIGAME_CHATROOM_ENTER_RESULT7,"すでにミニゲームチャットルームに入っています"
GAME_SMSG_MINIGAME_CHATROOM_LEAVE_RESULT1,"ネットワークに接続されてません"
GAME_SMSG_MINIGAME_CHATROOM_LEAVE_RESULT2,"何らかの原因で退室できませんでした"
GAME_SMSG_MINIGAME_CHATROOM_LEAVE_RESULT3,"ミニゲームチャットルームに入室していません"
GAME_SMSG_MINIGAME_CHATROOM_LEAVE_RESULT4,"選択したミニゲームチャットルームが存在しませんでした"
GAME_SMSG_MINIGAME_CHATROOM_LEAVE_CAUSE0,"退室しました"
GAME_SMSG_MINIGAME_CHATROOM_LEAVE_CAUSE1,"ECOタウンから出たため退室しました"
