# システムメッセージ(パーティ)
GAME_SMSG_PARTY_CREATE,"パーティーを作成しました"
GAME_SMSG_PARTY_JOIN,"パーティーに参加しました"
GAME_SMSG_PARTY_KICK,"パーティーを追放されました"
GAME_SMSG_PARTY_LEAVE,"パーティーを脱退しました"
GAME_SMSG_PARTY_DISSOLVE,"パーティーが解散されました"
GAME_SMSG_PARTY_JOINERR1,"PT ERR"
GAME_SMSG_PARTY_JOINERR2,"プレイヤーが存在しません"
GAME_SMSG_PARTY_JOINERR3,"相手がパーティに誘えない状態になりました"
GAME_SMSG_PARTY_JOINERR10,"既にパーティーに所属しています"
GAME_SMSG_PARTY_JOINERR11,"既にパーティーが存在しています"
GAME_SMSG_PARTY_JOINERR12,"パーティー人数が限界を超えてます"
GAME_SMSG_PARTY_LEAVEERR1,"パーティーに所属していません"
GAME_SMSG_PARTY_KICKERR1,"指定プレイヤーが存在しません"
GAME_SMSG_PARTYINV_FALSE,"すでにパーティーに所属しています"
GAME_SMSG_PARTYINV_E_NOTFOUND,"相手が見つかりませんでした"
GAME_SMSG_PARTYINV_E_SVERR,"パーティーサーバーの応答がありません"
GAME_SMSG_PARTYINV_E_DENY,"相手のパーティー参加設定が不許可になっています"
GAME_SMSG_PARTY_DROP_RULE_CHANGED,"ドロップアイテムの取得設定が「%s」に変更されました"
GAME_SMSG_PARTY_DROP_RULE_0,"通常"
GAME_SMSG_PARTY_DROP_RULE_1,"ランダム取得"
