# SNS投稿ウインドウ
GAME_SNS_POSTWND_TITLE,"フリーメッセージを入力してください"
GAME_SNS_POSTWND_PIN,"認証時に表示されたPINを入力してください"
GAME_SNS_POSTWND_WEB_WARNING,"Twitterの認証を行うため$r外部サイトに接続します。よろしいですか？"
GAME_SNS_POSTWND_WEB_WARNING2,"Twitterの認証を行うため外部サイトに接続します。$r現在の認証情報は破棄されますが、よろしいですか？"
GAME_SNS_POSTWND_NO_AUTH,"Twitter認証を行ってください"
GAME_SNS_POSTWND_HINT,"ツイートメッセージを入力してください"
GAME_SNS_POSTWND_INFO,"スクリーンショットに自分以外のキャラクター名が表示されている場合やチャットウインドウに自分以外のキャラクターの発言が表示されている場合は、そのキャラクターの使用者に必ず了解を得てから使用してください。"
GAME_SNS_POSTWND_TIME," %04d/%02d/%02d %02d:%02d:%02d"
GAME_SNS_POSTWND_NAME,"連携Twitterアカウント"
GAME_SNS_POSTWND_HASHTAG," http://goe.bz/ectb #ecotubu "

GAME_SNS_POSTWND_LOG0,"認証されていません"
GAME_SNS_POSTWND_LOG1,"ファイルの読み込みに失敗しました"
GAME_SNS_POSTWND_LOG2,"PINを入力してください"
GAME_SNS_POSTWND_LOG3,"PINの認証に失敗しました"
GAME_SNS_POSTWND_LOG4,"PINの認証が完了しました"
GAME_SNS_POSTWND_LOG5,"メッセージの投稿に失敗しました"
GAME_SNS_POSTWND_LOG6,"メッセージが投稿されました"
GAME_SNS_POSTWND_LOG7,"本文を入力してください"
GAME_SNS_POSTWND_LOG8,"ユーザー情報の取得に失敗しました"
GAME_SNS_POSTWND_LOG9,"画像ファイルが無効です"
GAME_SNS_POSTWND_LOG10,"認証サーバへのアクセスに失敗しました"


GAME_SNS_POSTWND_ERR88,"TwitterAPIの利用制限に達しています"
GAME_SNS_POSTWND_ERR89,"Twitterアプリケーションの連携が無効です"
GAME_SNS_POSTWND_ERR185,"1日のツイート数制限に達しています"
GAME_SNS_POSTWND_ERR186,"文字数が制限を越えているため投稿できません"
GAME_SNS_POSTWND_ERR187,"同じ内容を連続で投稿することはできません"
GAME_SNS_POSTWND_ERR190,"文字数が制限を越えているため投稿できません"
GAME_SNS_POSTWND_ERR191,"画像アップロード数の制限に達しています"

GAME_SNS_POSTINFO_TITLE,"Twitter連携機能のご案内"
GAME_SNS_POSTINFO_TEXT,"・Twitter連携機能を使うと、「Shift+PrintScreen」を押すことで$r  ECOで撮影したスクリーンショットをツイートすることができます。$r・スクリーンショットなしでツイートだけしたい場合、ECOゲーム画面の$r  Twitterアイコンをダブルクリックしても投稿ウィンドウが開きます。$r・Twitter連携機能は、ECOゲーム画面右上の「×」ボタン左にある$r  システムメニュー内の「連携」タブで設定変更をすることができます。$r・Twitter連携機能を使いたくない場合は、「連携」タブにある$r  「Twitter連携」の項目をOFFにしてください。$r  ゲーム画面からTwitterアイコンも表示されなくなります。$r・ツイート内容には自動的に#ecotubuのハッシュタグと、短縮URLが付与されます。"
GAME_SNS_POSTINFO_NEXT,"次回もまた表示する"

GAME_SNS_POSTWARNING_TITLE,"ご注意"
GAME_SNS_POSTWARNING_TEXT,"・スクリーンショットに自分以外のキャラクター名が表示されている場合や、$r  チャットウインドウに自分以外のキャラクターの発言が表示されている場合は、$r  そのキャラクターの使用者に必ず了解を得てから使用してください。$r・ツイートする際には、投稿で使用するTwitterアカウントをよくご確認ください。$r・この機能はOpenSSLツールキットを利用するためにOpenSSLプロジェクトによって$r  開発されたソフトウェアを含みます。"
GAME_SNS_POSTWARNING_NEXT,"次回もまた表示する"
