# 憑依
GAME_POSSESS_TRANS_0,"自分に憑依"
GAME_POSSESS_TRANS_1,"憑依カタログ"

# 憑依解除
GAME_POSSESS_UNLOCK_0,"憑依解除"
GAME_POSSESS_UNLOCK_1,"憑依カタログ"

# 憑依場所
GAME_POSSESS_PLACE_0,"右手"
GAME_POSSESS_PLACE_1,"左手"
GAME_POSSESS_PLACE_2,"胸アクセサリー"
GAME_POSSESS_PLACE_3,"鎧"

# 騎乗場所
GAME_RIDE_PLACE_0,"憑依１"
GAME_RIDE_PLACE_1,"憑依２"
GAME_RIDE_PLACE_2,"憑依３"

# 状態異常(ステータス１)
GAME_STATE_0,"毒"
GAME_STATE_1,"石化"
GAME_STATE_2,"麻痺"
GAME_STATE_3,"睡眠"
GAME_STATE_4,"沈黙"
GAME_STATE_5,"鈍足化"
GAME_STATE_6,"混乱"
GAME_STATE_7,"氷結化"
GAME_STATE_8,"気絶"
GAME_STATE_9,"行動不能"
GAME_STATE_10,"行動不能"
GAME_STATE_11,"毒耐性"
GAME_STATE_12,"石化耐性"
GAME_STATE_13,"麻痺耐性"
GAME_STATE_14,"睡眠耐性"
GAME_STATE_15,"沈黙耐性"
GAME_STATE_16,"鈍足化耐性"
GAME_STATE_17,"混乱耐性"
GAME_STATE_18,"氷結化耐性"
GAME_STATE_19,"気絶耐性"
GAME_STATE_20,"座り状態"
GAME_STATE_21,"幽体離脱"
GAME_STATE_23,"重量、容量オーバー"

# 状態異常(ステータス２)
GAME_STATE_32,"狂戦士"
GAME_STATE_33,"呪い"
#GAME_STATE_34,"盲目"
GAME_STATE_34,"透視"
GAME_STATE_35,"浮遊"
GAME_STATE_36,"水中呼吸"
GAME_STATE_37,"透明"
GAME_STATE_38,"アンデッド"
GAME_STATE_39,"きのこ"
GAME_STATE_40,"硬直"
GAME_STATE_41,"呪縛"
GAME_STATE_42,"封印"
GAME_STATE_43,"封魔"
GAME_STATE_44,"憑依準備"
GAME_STATE_45,"熱波防御"
GAME_STATE_46,"寒波防御"
GAME_STATE_47,"真空防御"
GAME_STATE_48,"猛毒"
GAME_STATE_49,"ホーリーフェザー"
GAME_STATE_50,"亀の構え"
GAME_STATE_51,"必中陣"
GAME_STATE_52,"ショートソードディレイキャンセル"
GAME_STATE_53,"ソードディレイキャンセル"
GAME_STATE_54,"アックスディレイキャンセル"
GAME_STATE_55,"スピアディレイキャンセル"
GAME_STATE_56,"ボウディレイキャンセル"
GAME_STATE_57,"ディフェンス・スラッシュ"
GAME_STATE_58,"ディフェンス・スタブ"
GAME_STATE_59,"ディフェンス・ブロウ"
GAME_STATE_60,"リヴァイブ"
GAME_STATE_61,""
GAME_STATE_62,""


# 状態異常(ステータス３)
GAME_STATE_64,"武器の無属性上昇"
GAME_STATE_65,"武器の火属性上昇"
GAME_STATE_66,"武器の水属性上昇"
GAME_STATE_67,"武器の風属性上昇"
GAME_STATE_68,"武器の土属性上昇"
GAME_STATE_69,"武器の光属性上昇"
GAME_STATE_70,"武器の闇属性上昇"
GAME_STATE_71,"武器の無属性減少"
GAME_STATE_72,"武器の火属性減少"
GAME_STATE_73,"武器の水属性減少"
GAME_STATE_74,"武器の風属性減少"
GAME_STATE_75,"武器の土属性減少"
GAME_STATE_76,"武器の光属性減少"
