# ステータスウィンドウ
GAME_STATUS_TITLE,"ステータス"
GAME_STATUS_NOVIS,"           ノービス"
GAME_STATUS_CANT_UP,"これ以上あげる事はできません。"
GAME_STATUS_LV,"BASE LV"
GAME_STATUS_JOBLV,"JOB LV"
GAME_STATUS_CL,"CL"

GAME_STATUS_DUAL_TAG,"デュアル"

GAME_STATUS_DUAL_WND,"デュアルジョブ"
GAME_STATUS_DUAL_TYPE,"%s系統"
GAME_STATUS_DUAL_LV,"ジョブレベル　：　%3d"

GAME_STATUS_STR,"物理攻撃力 と 最大重量 が上昇します"
GAME_STATUS_DEX,"近距離命中力 と 詠唱速度 と 最大容量 が上昇します$r（近距離武器装備時のみ最小物理攻撃力も上昇します・素手含む）"
GAME_STATUS_INT,"最小魔法攻撃力と 遠距離命中力 と 魔法防御力 と 遠距離回避力 と 最大SP と 最大容量 が上昇します$r（遠距離武器装備時のみ最小物理攻撃力も上昇します）"
GAME_STATUS_VIT,"物理防御力 と 魔法防御力 と 最大HP と 最大SP と 最大重量 が上昇します"
GAME_STATUS_AGI,"近距離回避力 と 遠距離回避力 と 攻撃速度 が上昇します"
GAME_STATUS_MAG,"最小魔法攻撃力 と 最大魔法攻撃力 と 最大MP が上昇します"
GAME_STATUS_RACE,"現在の種族"
GAME_STATUS_JOB,"現在の職業"
GAME_STATUS_DUAL,"現在のデュアルジョブ"
GAME_STATUS_DUAL_B,"習得しているデュアルジョブ一覧"
GAME_STATUS_AUTO,"ボーナスポイントを自動で振り分けます"
GAME_STATUS_BONUS,"基本ステータスを増やすのに使用するボーナスポイントの合計、$r基本ステータスを増やすときに消費されます"
GAME_STATUS_LVBONUS,"キャラクターの現在の Lv になるまでに取得した累計のボーナスポイントです"
GAME_STATUS_EX_POINT,"課金アイテム 「 ボーナスポイント＋ 」 を使用することで取得できるポイントです"
GAME_STATUS_OK,"振り分けたボーナスポイントを最終確定させるボタンです"
GAME_STATUS_CANCEL,"振り分けたボーナスポイントをリセットします"

GAME_STR_LVBONUSPOINT,"LvBonusPoint"
GAME_STR_EXBONUSPOINT,"ExBonusPoint"
GAME_STR_USEBONUSPOINT,"USEBonusPoint"
GAME_STR_CHARACTERCODE,"キャラクターコード"
GAME_STR_CHARACTERCODEINPUT,"コード入力"
GAME_STR_CHARACTERCODECOUNT,"入力された回数"

GAME_STR_STATUS_ASSIGN,"現在の職業にあわせてステータスを自動で振り分けます。$rよろしいですか？"
GAME_STR_STATUS_ASSIGN_CONFIRM,"ステータス内容を自動で振り分けました。$rこちらで確定してもよろしいですか？"
GAME_STR_STATUS_ASSIGN_FAIL,"ポイントが足りないため$r振り分けられませんでした"


GAME_STATUS_HP,"VITに依存します"
GAME_STATUS_MP,"MAGに依存します"
GAME_STATUS_SP,"INT、VITに依存します"
GAME_STATUS_HP_L,"最大HP"
GAME_STATUS_MP_L,"最大MP"
GAME_STATUS_SP_L,"最大SP"
GAME_STATUS_ATK,"ATK ： STRに依存します"
GAME_STATUS_ATK_L,"物理攻撃力最小値"
GAME_STATUS_ATK_R,"物理攻撃力最大値"
GAME_STATUS_MATK,"M.ATK ： MAGに依存します"
GAME_STATUS_MATK_L,"魔法攻撃力最小値"
GAME_STATUS_MATK_R,"魔法攻撃力最大値"
GAME_STATUS_SHIT,"S.HIT ： DEXに依存します"
GAME_STATUS_SHIT_L,"近距離命中力"
GAME_STATUS_LHIT,"L.HIT ： INTに依存します"
GAME_STATUS_LHIT_L,"遠距離命中力"
GAME_STATUS_DEF,"DEF ： VITに依存します"
GAME_STATUS_DEF_L,"基本防御力"
GAME_STATUS_DEF_R,"追加防御力"
GAME_STATUS_MDEF,"M.DEF ： INT、VITに依存します"
GAME_STATUS_MDEF_L,"基本魔法防御力"
GAME_STATUS_MDEF_R,"追加魔法防御力"
GAME_STATUS_SAVOID,"S.AVOID ： AGIに依存します"
GAME_STATUS_SAVOID_L,"近距離回避力"
GAME_STATUS_LAVOID,"L.AVOID ： AGI、INTに依存します"
GAME_STATUS_LAVOID_L,"遠距離回避力"
GAME_STATUS_ASPD,"A.SPD ： AGIに依存します"
GAME_STATUS_ASPD_L,"攻撃速度"
GAME_STATUS_CSPD,"C.SPD ： DEXに依存します"
GAME_STATUS_CSPD_L,"詠唱速度"
GAME_STATUS_PAYL,"PAYL ： STR、VITに依存します"
GAME_STATUS_CAPA,"CAPA ： DEX、INTに依存します"
GAME_STATUS_WRP,"ドミニオン世界のモンスターを倒すことで入手することができます$rドミニオン世界の都市攻防戦で使用するポイントです"
GAME_STATUS_PAYL_L,"最大重量"
GAME_STATUS_CAPA_L,"最大容量"
GAME_STATUS_WRP_L,"WRP"
GAME_STATUS_DEFAULT,"基本値"
GAME_STATUS_RISE,"上昇値"
GAME_STATUS_NEEDBONUS,"パラメータ上昇に必要なボーナスポイントの値"
GAME_STATUS_DIVIDE,"振り分けたボーナス値"
GAME_STATUS_RIGHT_ROW,"ボーナスポイント振り分け前の数値です"
GAME_STATUS_LEFT_ROW,"ボーナスポイント振り分け後の数値です"

GAME_STATUS_MIN,"最小"
GAME_STATUS_MAX,"最大"
GAME_STATUS_MINUS,"減算"
GAME_STATUS_PERCENT,"割合"

GAME_STATUS_EXP_PLUS,"ステータス詳細を開く"
GAME_STATUS_EXP_MINUS,"ステータス詳細を閉じる"

GAME_STATUS_BALOON_MINUS,"キャラクターが受けるダメージを割合で減らした後に、減算の値分減らします$rクリティカル発生時は減算は行われません"
GAME_STATUS_BALOON_PERCENT,"キャラクターが受けるダメージを割合分減らします"
