# ステータスアイコン設定ウインドウ
GAME_STATUSICONWND_TITLE,"状態表示設定"
GAME_STATUSICONWND_LIST0,"状態アイコン"
GAME_STATUSICONWND_LIST1,"状態名"
GAME_STATUSICONWND_LIST2,"描画優先度"
GAME_STATUSICONWND_LV,"Lv:"
GAME_STATUSICONWND_FILE,"ファイル名"
GAME_STATUSICONWND_TOOL_PRI,"Lv:0 で設定された場合、$rアイコンが表示されなくなります"
GAME_STATUSICONWND_SAVE,"状態表示設定を保存しました"
GAME_STATUSICONWND_SAVE_ERROR,"状態表示設定の保存に失敗しました"
GAME_STATUSICONWND_NAME_ERROR,"設定名を入力してください"
GAME_STATUSICONWND_FILENUM_ERROR,"状態表示設定の保存数が上限に達しています"
GAME_STATUSICONWND_RESET_CONFIRM,"設定が保存されていません。$r設定を初期化しますか？"
GAME_STATUSICONWND_LOAD_CONFIRM,"設定が保存されていません。$r状態表示設定を読み込みますか？"
GAME_STATUSICONWND_LOAD_ERROR,"状態表示設定の読み込みに失敗しました"
GAME_STATUSICONWND_DEL_CONFIRM,"「%s」を削除してもよろしいですか？"
GAME_STATUSICONWND_DEL,"状態表示設定を削除しました"
GAME_STATUSICONWND_DEL_ERROR,"状態表示設定の削除に失敗しました"
GAME_STATUSICONWND_CLOSE_CONFIRM,"設定が保存されていません。$rウインドウを閉じてもよろしいですか？"
GAME_STATUSICONWND_TYPE_0,"全て"
GAME_STATUSICONWND_TYPE_1,"状態異常系"
GAME_STATUSICONWND_TYPE_2,"状態異常耐性系"
GAME_STATUSICONWND_TYPE_3,"属性上昇系"
GAME_STATUSICONWND_TYPE_4,"ステータス上昇系"
GAME_STATUSICONWND_TYPE_5,"ステータス減少系"
GAME_STATUSICONWND_TYPE_6,"コミュニオン系"
GAME_STATUSICONWND_TYPE_7,"ディレイキャンセル系"
GAME_STATUSICONWND_TYPE_8,"その他"
GAME_STATUSICONWND_HELP,"ヘルプを開く"
GAME_STATUSICONWND_TIME,"状態が発生した順に表示する"
GAME_STATUSICONWND_TOOL_TIME,"描画優先度を同じ数値に設定した場合、$r発生した順に表示するようにします$r（自身のキャラの状態表示ウインドウのみ）"
