#ストーリーフィールドキャプチャーリスト
GAME_STORYFIELDWND_TITLE,"ストーリーフィールドキャプチャーリスト"
GAME_STORYFIELDWND_TAG_STR0,"あらすじ"
GAME_STORYFIELDWND_TAG_STR1,"主な登場キャラクター"
GAME_STORYFIELDWND_TAG_STR2,"ユニットキャラクター"
GAME_STORYFIELDWND_TAG_STR3,"主なレアアイテム"
GAME_STORYFIELDWND_STC_TIME,"%d 分"
GAME_STORYFIELDWND_STC_LV_MIN,"LV %d 以上"
GAME_STORYFIELDWND_STC_LV_MAX,"LV %d 以下"
GAME_STORYFIELDWND_STC_TRANS0,"未転生"
GAME_STORYFIELDWND_STC_TRANS1,"転生済"
GAME_STORYFIELDWND_STC_NETCAFE,"【受注者のみ】ネットカフェ限定"
GAME_STORYFIELDWND_STC_DATE,"【受注者のみ】%d時～%d時限定"
GAME_STORYFIELDWND_STC_NEEDPOINT,"クエストポイント： %d 消費"
GAME_STORYFIELDWND_STC_NOUSE,"無し"
GAME_STORYFIELDWND_CLOSEBOX_TITLE,"終了確認"
GAME_STORYFIELDWND_CLOSEBOX,"キャプチャーを受注せずに終了しますか？"
GAME_STORYFIELDWND_CHANGE_TITLE,"確認"
GAME_STORYFIELDWND_CHANGE_WARNING,"ユニットにパートナーが設定されています。$rキャプチャーを変更すると設定が破棄されます$r変更しますか？"

# ストーリーフィールドキャプチャー　参加者リストウィンドウ
GAME_STORYFIELDVISITOR_TITLE,"キャプチャー参加者リスト"
GAME_STORYFIELDVISITOR_STATIC,"下記のキャラクターが参加可能"
GAME_STORYFIELDVISITOR_WARNING,"同じロビーに居ないと参加できません"
GAME_STORYFIELDVISITOR_WARNING2,"キャラクター名が灰色で表示されてる方は$r消費物以外の条件を満たしていない為、$r参加する事ができません。$r参加出来ない理由はキャラクター名に$rカーソルを合わせるとバル―ンで表示します。"
GAME_STORYFIELDVISITOR_ERR,"以下の理由で『%s』に参加できません"
GAME_STORYFIELDVISITOR_ERR2,"以下の理由で受注しようとしているキャプチャーに参加できません"
GAME_STORYFIELDVISITOR_ERR_HELP0,"レベルの条件を満たしておりません"
GAME_STORYFIELDVISITOR_ERR_HELP1,"転生情報の条件を満たしておりません"
GAME_STORYFIELDVISITOR_ERR_HELP2,"特定のイベントをクリアしておりません"
GAME_STORYFIELDVISITOR_MSGBOX,"キャプチャーに参加できないメンバーがいます。$rこのまま、受注してもよろしいですか？"

# ストーリーフィールドキャプチャー　情報ウィンドウ
GAME_STORYFIELDINFO_REMAIN_TIME,"残り時間"
GAME_STORYFIELDINFO_FIELDPOINT,"フィールドポイント"
GAME_STORYFIELDINFO_ADD_MOB,"残り%4d体"
GAME_STORYFIELDINFO_ADD_TIME,"残り%4d秒"
GAME_STORYFIELDINFO_BALOON_TIME,"%s$r残り%4d分"
GAME_STORYFIELDINFO_ANNOUNCE_CLEAR_0,"大目標情報に新たな目標が追加されました"
GAME_STORYFIELDINFO_ANNOUNCE_CLEAR_1,"中目標情報に新たな目標が追加されました"

# ストーリーフィールドキャプチャー　ユニット情報ウィンドウ
GAME_STORYFIELDUNIT_TITLE,"ユニット状況(%d/%d)"
GAME_STORYFIELDUNIT_TAG0,"特殊効果"
GAME_STORYFIELDUNIT_TAG1,"効果対象"
GAME_STORYFIELDUNIT_UNITNAME,"ユニット%d"
GAME_STORYFIELDUNIT_THINK_ERR0,"ユニット%dの思考を変更しました"
GAME_STORYFIELDUNIT_THINK_ERR-1,"ユニット%dの思考の変更に失敗しました"
GAME_STORYFIELDUNIT_MOVESETWND,"ユニット%dの移動先を指定して下さい"
GAME_STORYFIELDUNIT_MOVESETWND_ERR0,"ユニット%dの移動を開始します"
GAME_STORYFIELDUNIT_MOVESETWND_ERR-1,"ユニット%dの移動指示に失敗しました"
GAME_STORYFIELDUNIT_MOVESETWND_CONFIRM,"移動を開始しますか？"
GAME_STORYFIELDUNIT_HELP_REACTION0,"周囲を索敵して敵を見つけたら、攻撃しに向かいます"
GAME_STORYFIELDUNIT_HELP_REACTION1,"敵から攻撃されたら、反撃し始めます"
GAME_STORYFIELDUNIT_HELP_REACTION2,"敵から攻撃されても、反撃しません"
GAME_STORYFIELDUNIT_HELP_BATTLE0,"敵に向かって通常攻撃、攻撃スキルを使用します"
GAME_STORYFIELDUNIT_HELP_BATTLE1,"敵に向かって通常攻撃か、味方に向かって回復スキルを使用します"
GAME_STORYFIELDUNIT_HELP_BATTLE2,"敵に向かって通常攻撃か、味方に向かって補助スキルを使用します"
GAME_STORYFIELDUNIT_HELP_MOVE0,"戦闘していないときに、近くに主人が居ればついていきます"
GAME_STORYFIELDUNIT_HELP_MOVE1,"戦闘していないときに、指定した座標に向けて一直線に移動します$r壁などの障害物に当たって進む事ができなくなった場合、その障害物の前で留まります"
GAME_STORYFIELDUNIT_ERRMSG_DEAD,"出撃しておりません"
