# 合成ウィンドウ
GAME_SYNTHE_TITLE,"精製・合成するレシピを選んで下さい"
GAME_SYNTHE_NEED_MONEY,"%6dＧ"
GAME_SYNTHE_TOTAL_PRICE,"合計金額"
GAME_SYNTHE_HAVENT_ITEM,"合成できるアイテムがありません"
GAME_SYNTHE_FULL_ITEM,"アイテム欄に空きがありません"
GAME_SYNTHE_COUNT,"%2d個"
GAME_SYNTHE_BASE_LV,"BASE %d～%d"
GAME_SYNTHE_JOB_LV,"JOB  %d～%d"
GAME_SYNTHE_EXP_TITLE,"BPボーナス"
GAME_SYNTHE_EXP_TITLE2,"適正Lv範囲"
GAME_SYNTHE_EXP_WARNING,"※ＢＰボーナス適正Lv範囲外の合成物があります（取得経験値が変動します）"
GAME_SYNTHE_ERROR-1,"何らかの原因で失敗しました"
GAME_SYNTHE_ERROR-2,"取得経験値が変動したためスキルをキャンセルし、バックパッカーボーナス経験を取得しませんでした"
GAME_SYNTHE_ERROR-2_DLG,"取得経験値が変動したため$rスキルをキャンセルし、バックパッカーボーナス経験を$r取得しませんでした"
