# システムウィンドウ
GAME_SYS_TITLE,"システム"

GAME_SYS_TYPE_1_0,"%d×%d %dbit"
GAME_SYS_TYPE_1_1,"%d×%d"
GAME_SYS_TYPE_2_0,"ウィンドウ"
GAME_SYS_TYPE_2_1,"フルスクリーン"
GAME_SYS_TYPE_3_0,"無し"
GAME_SYS_TYPE_3_1,"円形"
GAME_SYS_TYPE_3_2,"通常描画"
GAME_SYS_TYPE_4_0,"ON"
GAME_SYS_TYPE_4_1,"OFF"
GAME_SYS_TYPE_5_0,"シングルクリック"
GAME_SYS_TYPE_5_1,"ダブルクリック"
GAME_SYS_TYPE_5_2,"無し"
GAME_SYS_TYPE_6_0,"A"  
GAME_SYS_TYPE_6_1,"B"
GAME_SYS_TYPE_7_0,"デフォルト"
GAME_SYS_TYPE_8_0,"全て"
GAME_SYS_TYPE_8_1,"選択キャラのみ"
GAME_SYS_TYPE_8_2,"無し"
GAME_SYS_TYPE_9_0,"全て"
GAME_SYS_TYPE_9_1,"一部除く"
GAME_SYS_TYPE_9_2,"最小"
GAME_SYS_TYPE_10_0,"無し"
GAME_SYS_TYPE_10_1,"適用"
GAME_SYS_TYPE_10_2,"最適"
GAME_SYS_TYPE_11_0,"最小"
GAME_SYS_TYPE_11_1,"普通"
GAME_SYS_TYPE_11_2,"最大"
GAME_SYS_TYPE_12_0,"北向き"
GAME_SYS_TYPE_12_1,"キャラの向き"
GAME_SYS_TYPE_13_0,"表示"
GAME_SYS_TYPE_13_1,"非表示"
GAME_SYS_TYPE_13_2,"パーティー表示"
GAME_SYS_TYPE_14_0,"変更あり"
GAME_SYS_TYPE_14_1,"変更なし"
GAME_SYS_TYPE_15_0,"表示"
GAME_SYS_TYPE_15_1,"非表示"
GAME_SYS_TYPE_16_0,"無し"
GAME_SYS_TYPE_16_1,"普通"
GAME_SYS_TYPE_16_2,"追従"
GAME_SYS_TYPE_18_0,"上"
GAME_SYS_TYPE_18_1,"下"
GAME_SYS_TYPE_19_0,"標準"
GAME_SYS_TYPE_19_1,"x0.5"
GAME_SYS_TYPE_19_2,"x2.0"
GAME_SYS_TYPE_19_3,"非表示"
GAME_SYS_TYPE_20_0,"M"
GAME_SYS_TYPE_20_1,"L"
GAME_SYS_TYPE_20_2,"S"
GAME_SYS_TYPE_21_0,"パーティー名"
GAME_SYS_TYPE_21_1,"リング名"
GAME_SYS_TYPE_21_2,"非表示"
GAME_SYS_TYPE_22_0,"全て"
GAME_SYS_TYPE_22_1,"非表示"
GAME_SYS_TYPE_22_2,"所属リングのみ"
GAME_SYS_TYPE_23_0,"自動"
GAME_SYS_TYPE_23_1,"カーソル付近"
GAME_SYS_TYPE_24_0,"手前の対象のみ"
GAME_SYS_TYPE_24_1,"全て"
GAME_SYS_TYPE_26_0,"無制限"
GAME_SYS_TYPE_26_1,"30 fps"
GAME_SYS_TYPE_26_2,"60 fps"
GAME_SYS_TYPE_27_0,"全て"
GAME_SYS_TYPE_27_1,"選択オブジェのみ"
GAME_SYS_TYPE_27_2,"無し"
GAME_SYS_TYPE_28_0,"クラシック"
GAME_SYS_TYPE_28_1,"デフォルト"
GAME_SYS_TYPE_29_0,"OFF"
GAME_SYS_TYPE_29_1,"ON"
GAME_SYS_TYPE_30_0,"全て表示"
GAME_SYS_TYPE_30_1,"非表示"
GAME_SYS_TYPE_30_2,"自分のみ表示"
GAME_SYS_TYPE_31_0,"表示"
GAME_SYS_TYPE_31_1,"非表示"
GAME_SYS_TYPE_31_2,"選択中のみ表示"

GAME_SYS_RENDER_TAG0,"画面環境"
GAME_SYS_RENDER_TAG1,"キャラクター関連"
GAME_SYS_RENDER_TAG2,"ゲーム内環境"
GAME_SYS_RENDER_TAG3,"パートナー関連"
GAME_SYS_CONTROL_TAG0,"ゲーム内操作環境"
GAME_SYS_CONTROL_TAG1,"ウィンドウ関連"
GAME_SYS_CONTROL_TAG2,"サポート関連"
GAME_SYS_CONTROL_TAG3,"ログ関連"

GAME_SYS_RENDER0_0,"簡単描画設定"
GAME_SYS_RENDER1_0,"ウィンドウ・フルスクリーンモードの切り替え"
GAME_SYS_RENDER1_1,"解像度"
GAME_SYS_RENDER1_2,"非アクティブウィンドウの透明度"
GAME_SYS_RENDER1_3,"アクティブウィンドウの透明度"
GAME_SYS_RENDER1_4,"影の描画"
GAME_SYS_RENDER1_5,"影の描画範囲"
