# 称号
GAME_CHARATITLE_TITLE,"称号"
GAME_CHARATITLE_TITLE_VIEWTITLE,"現在の見た目称号"
GAME_CHARATITLE_TITLE_BATTLETITLE,"現在の戦闘称号"
GAME_CHARATITLE_NUM,"習得状況"
GAME_CHARATITLE_TITLE_NAME,"称号名："
GAME_CHARATITLE_SORT_NAME,"称号名"
GAME_CHARATITLE_CENTER_NAME,"接続詞"
GAME_CHARATITLE_CATEGORY,"カテゴリ"
GAME_CHARATITLE_RARITY,"レアリティ"
GAME_CHARATITLE_RARITY_NUM,"レアリティ毎の習得数："
GAME_CHARATITLE_INFO,"習得条件"
GAME_CHARATITLE_PARAM,"能力"
GAME_CHARATITLE_PARAM_DIF,"現在の称号と比較"
GAME_CHARATITLE_FAVORITE,"お気に入り登録"
GAME_CHARATITLE_HATENA,"？？？？？"
GAME_CHARATITLE_NOT,"（未習得）"
GAME_CHARATITLE_STARTUP,"最初から習得済み"

GAME_CHARATITLE_PARAM_NONE,"初期称号のため能力値はありません"
GAME_CHARATITLE_PARAM_0,"最大ＨＰ"
GAME_CHARATITLE_PARAM_1,"最大ＭＰ"
GAME_CHARATITLE_PARAM_2,"最大ＳＰ"
GAME_CHARATITLE_PARAM_3,"物理攻撃力・最小（叩き）"
GAME_CHARATITLE_PARAM_4,"物理攻撃力・最大（叩き）"
GAME_CHARATITLE_PARAM_5,"物理攻撃力・最小（斬り）"
GAME_CHARATITLE_PARAM_6,"物理攻撃力・最大（斬り）"
GAME_CHARATITLE_PARAM_7,"物理攻撃力・最小（突き）"
GAME_CHARATITLE_PARAM_8,"物理攻撃力・最大（突き）"
GAME_CHARATITLE_PARAM_9,"魔法攻撃力・最小"
GAME_CHARATITLE_PARAM_10,"魔法攻撃力・最大"
GAME_CHARATITLE_PARAM_11,"物理防御力（減算）"
GAME_CHARATITLE_PARAM_12,"魔法防御力（減算）"
GAME_CHARATITLE_PARAM_13,"近距離命中力"
GAME_CHARATITLE_PARAM_14,"遠距離命中力"
GAME_CHARATITLE_PARAM_15,"魔法命中力"
GAME_CHARATITLE_PARAM_16,"近距離回避力"
GAME_CHARATITLE_PARAM_17,"遠距離回避力"
GAME_CHARATITLE_PARAM_18,"魔法抵抗力"
GAME_CHARATITLE_PARAM_19,"クリティカル力"
GAME_CHARATITLE_PARAM_20,"クリティカル回避力"
GAME_CHARATITLE_PARAM_21,"攻撃速度"
