# 上位転生
GAME_TRANSMIGWND_HEAD, "頭"
GAME_TRANSMIGWND_FEATHER, "羽"
GAME_TRANSMIGWND_FEATHERCOLOR, "羽の色"
GAME_TRANSMIGWND_TAIL, "しっぽ"
GAME_TRANSMIGWND_PRIVILEGE, "特典"
GAME_TRANSMIGWND_ITEM, "アイテム"
GAME_TRANSMIGWND_LV, "LV変更"

GAME_HUM_PRIVILEGE_0,"デフォルト"
GAME_HUM_PRIVILEGE_1,"グレイス"
GAME_HUM_PRIVILEGE_2,"光輪"
GAME_HUM_PRIVILEGE_3,"アンクルフェザー"
GAME_HUM_PRIVILEGE_4,"背負い魔１"
GAME_HUM_PRIVILEGE_5,"背負い魔２"
GAME_HUM_PRIVILEGE_6,"背負い魔３"
GAME_HUM_PRIVILEGE_7,"マリオネット１"
GAME_HUM_PRIVILEGE_8,"マリオネット２"
GAME_HUM_PRIVILEGE_9,"マリオネット３"
GAME_HUM_PRIVILEGE_10,"パートナー１"
GAME_HUM_PRIVILEGE_11,"パートナー２"

GAME_HUM_ITEM_0,"デフォルト"
GAME_HUM_ITEM_1,"背負い魔１"
GAME_HUM_ITEM_2,"背負い魔２"
GAME_HUM_ITEM_3,"背負い魔３"
GAME_HUM_ITEM_4,"マリオネット１"
GAME_HUM_ITEM_5,"マリオネット２"
GAME_HUM_ITEM_6,"マリオネット３"
GAME_HUM_ITEM_7,"パートナー１"
GAME_HUM_ITEM_8,"パートナー２"

GAME_ANG_PRIVILEGE_HEAD_0,"デフォルト"
GAME_ANG_PRIVILEGE_HEAD_1,"輪（パワーズ）"
GAME_ANG_PRIVILEGE_HEAD_2,"輪（セラフィム）"
GAME_ANG_PRIVILEGE_FEATHER_0,"デフォルト"
GAME_ANG_PRIVILEGE_FEATHER_1,"２枚羽"
GAME_ANG_PRIVILEGE_FEATHER_2,"３枚羽"
GAME_ANG_PRIVILEGE_FEATHER_3,"Ｅｘ羽"
GAME_ANG_PRIVILEGE_FEATHER_4,"Ｅｘ２枚羽"
GAME_ANG_PRIVILEGE_FEATHER_5,"Ｅｘ３枚羽"
GAME_ANG_PRIVILEGE_FEATHERCOLOR_0,"デフォルト"
GAME_ANG_PRIVILEGE_FEATHERCOLOR_1,"羽（赤）"
GAME_ANG_PRIVILEGE_FEATHERCOLOR_2,"羽（紫）"
GAME_ANG_PRIVILEGE_FEATHERCOLOR_3,"羽（青）"
GAME_ANG_PRIVILEGE_FEATHERCOLOR_4,"羽（水色）"
GAME_ANG_PRIVILEGE_FEATHERCOLOR_5,"羽（緑）"
GAME_ANG_PRIVILEGE_FEATHERCOLOR_6,"羽（黄緑）"
GAME_ANG_PRIVILEGE_FEATHERCOLOR_7,"羽（黄色）"
GAME_ANG_PRIVILEGE_FEATHERCOLOR_8,"羽（橙）"
GAME_ANG_PRIVILEGE_FEATHERCOLOR_9,"羽（黒）"
GAME_ANG_PRIVILEGE_FEATHERCOLOR_10,"羽（灰）"
GAME_ANG_PRIVILEGE_FEATHERCOLOR_11,"羽（白）"

GAME_DVL_PRIVILEGE_TAIL_0,"デフォルト"
GAME_DVL_PRIVILEGE_TAIL_1,"尻尾（三又）"
GAME_DVL_PRIVILEGE_TAIL_2,"尻尾（スリム）"
GAME_DVL_PRIVILEGE_FEATHER_0,"デフォルト"
GAME_DVL_PRIVILEGE_FEATHER_1,"２枚羽"
GAME_DVL_PRIVILEGE_FEATHER_2,"３枚羽"
GAME_DVL_PRIVILEGE_FEATHER_3,"Ｅｘ羽"
GAME_DVL_PRIVILEGE_FEATHER_4,"Ｅｘ２枚羽"
