#ユニット設定ウインドウ
GAME_UNITSETTING_TITLE,"ユニット設定"
GAME_UNITSETTING_PARTNER,"所持パートナー"
GAME_UNITSETTING_INDEX,"参加ユニット%d"
GAME_UNITSETTING_TAG0,"特殊効果"
GAME_UNITSETTING_TAG1,"効果対象"
GAME_UNITSETTING_LEADER,"%s(リーダー)"
GAME_UNITSETTING_NOT_CHANGE,"※このNPCはパートナーに変更する事はできません"
GAME_UNITSETTING_APPLYBOX,"ユニットを決定します"
GAME_UNITSETTING_CLOSEBOX,"ユニットの変更は行わずにウィンドウを閉じます"
GAME_UNITSETTING_CHECK_ERR,"ユニット %d にユニットに設定出来ないパートナーが含まれている為、設定に失敗しました"
GAME_UNITSETTING_PARTNER_INFO_ERR-1,"選択したパートナーはユニットに設定できません"
GAME_UNITSETTING_PARTNER_MOVE_ERR,"指定のパートナーはユニットに参加しているため操作できません"
GAME_UNITSETTING_PARTNER_EQUIP_ERR,"指定のパートナーはユニットに参加しているため装備できません"

GAME_UNITSETTING_NO_EFFECT,"なし"
GAME_UNITSETTING_TARGET_UNIT,"ユニット内"
GAME_UNITSETTING_TARGET_PLAYER,"プレイヤー"
GAME_UNITSETTING_TARGET_PARTNER,"装備パートナー"
GAME_UNITSETTING_TARGET_SEPARATE,"、"
