#飛空庭アイコン
GAME_FGARDEN_ICON_TIP,"飛空庭を呼び出します"
GAME_FGARDEN_ICON_ERROR,"ここでは飛空庭を呼び出せません"
GAME_FGARDEN_ICON_ERROR2,"飛空庭起動キーを所持していません"

#ポイント交換ショップ
GAME_POINTSHOP_NOTENOUGH_POINT,"残りポイントが足りません"
GAME_POINTSHOP_NOTENOUGH_GOLD,"ゴールドが足りません"
GAME_POINTSHOP_STR_A_PIECE,"個"
GAME_POINTSHOP_STR_CONFIRM,"以上の物を交換します。よろしいですか？"
GAME_POINTSHOP_STR_CONFIRM_GOLD,"以上の物を購入します。よろしいですか？"
GAME_POINTSHOP_STR_CAUTION,""
GAME_POINTSHOP_WARNING_RENTALITEM_STR,"使用期間が設定されている$rアイテム（青文字）が含まれています。$rこのアイテムは交換した瞬間から$rカウントダウンが始まります。$r$rよろしいですか？"
GAME_POINTSHOP_WARNING_RENTALITEM_STR2,"ギフトで送ることのできない$rアイテム（青文字）が含まれています。$r$r選択しなおしてください。"
GAME_POINTSHOP_BUY_ERROR-1,"何らかの原因で交換に失敗しました。"
GAME_POINTSHOP_BUY_ERROR-2,"アイテム所持数に空きがありません。"
GAME_POINTSHOP_BUY_ERROR-3,"ネットカフェポイントが足りません。"
GAME_POINTSHOP_BUY_ERROR-3_1,"ゴールドが足りません。"
