
GAME_ELEMENT_WND_TITLE,"属性値"
GAME_ELEMENT_WND_WEAPON,"攻撃"
GAME_ELEMENT_WND_SHIELD,"防御"
GAME_ELEMENT_WND_HELPTOOL,"ヘルプを開く"

#髪型バインダー
GAME_HAIRBINDER_TITLE,"フシギな鏡"
GAME_HAIRBINDER_TIME,"日　時間　分"
GAME_HAIRBINDER_CHK,"｢フシギな鏡の契約証（３０日）｣を１枚使用して$rストックを開放しますか？"
GAME_HAIRBINDER_ERROR,"ストックの開放に失敗しました。$rストック開放には$r｢フシギな鏡の契約証（３０日）｣が必要です。"
GAME_HAIRBINDER_CHANGE_ERROR,"何らかの原因で入れ替えに失敗しました"

# イベント進行関係
GAME_EVENTNAVI_MAINMENU_TITLE, "メニュー"

# マップナビゲーション関係
GAME_MAPNAVI_MAPINFOWND_TITLE, "マップインフォメーション"
GAME_MAPNAVI_MAPINFOWND_ERR, "マップインフォメーション対象外マップです"

# 憑依カタログ関係
GAME_TRANSCATALOGWND_TITLE, "憑依カタログ"
GAME_TRANSCATALOGWND_ERR, "憑依カタログ対象外マップです"

# 憑依者情報ウインドウ
GAME_TRANSSTATUSWND_TITLE, "憑依者情報"
GAME_TRANSSTATUSWND_PARAM0, "LV"
GAME_TRANSSTATUSWND_PARAM1, "ATK"
GAME_TRANSSTATUSWND_PARAM2, "M・ATK"
GAME_TRANSSTATUSWND_PARAM3, "S・HIT"
GAME_TRANSSTATUSWND_PARAM4, "L・HIT"
GAME_TRANSSTATUSWND_PARAM5, "DEF"
GAME_TRANSSTATUSWND_PARAM6, "M・DEF"
GAME_TRANSSTATUSWND_PARAM7, "S・AVO"
GAME_TRANSSTATUSWND_PARAM8, "L・AVO"
GAME_TRANSSTATUSWND_PARAM9, "最大HP"
GAME_TRANSSTATUSWND_PARAM10, "最大MP"
GAME_TRANSSTATUSWND_PARAM11, "最大SP"
GAME_TRANSSTATUSWND_INFO, "憑依アイテムを$r探している最中に$r憑依アイテムがなくなって$rしまう場合があります。$r『位置情報更新』ボタンを押して、$r情報を更新しましょう。"
GAME_TRANSSTATUSWND_CLOSE, "選択中の憑依アイテムへのガイドを終了しますか？"
GAME_TRANSSTATUSWND_ERR-1, "選択中の憑依アイテムは$rなくなってしまいました"
GAME_TRANSSTATUSWND_ERR-2, "装備条件が合わない為、指定した憑依アイテム情報を開けません"



# イベントナビゲーションウィンドウ
GAME_EVENT_NAVIGATION_TITLE, "イベントナビゲーション"
GAME_EVENT_NAVIGATION_STATIC_1, "詳細を確認したいイベントを選択してください"
GAME_EVENT_NAVIGATION_STATIC_2, "達成度"
GAME_EVENT_NAVIGATION_DIFFICULTY_LOW,"初級者向け"
GAME_EVENT_NAVIGATION_DIFFICULTY_MIDDLE,"中級者向け"
