
#職業別チャットポップアップメッセージ
GAME_JOBCHAT_POPUPMENU_0,"NV"
GAME_JOBCHAT_POPUPMENU_1,"FT"
GAME_JOBCHAT_POPUPMENU_2,"SU"
GAME_JOBCHAT_POPUPMENU_3,"BP"
GAME_JOBCHAT_POPUPMENU_4,"DEM"
GAME_JOBCHAT_POPUPMENU_5,"MY"

#職業別チャットログウィンドウ
GAME_JOBCHAT_LOG_TITLE,"職業チャットログ"
GAME_JOBCHAT_LOG_TOK,"："

#ショートカットツールウィンドウ
GAME_SHORTCUTTOOL_POPUPMENU_0,"ステータス"
GAME_SHORTCUTTOOL_POPUPMENU_1,"スキル"
GAME_SHORTCUTTOOL_POPUPMENU_2,"アイテム"
GAME_SHORTCUTTOOL_POPUPMENU_3,"装備"
GAME_SHORTCUTTOOL_POPUPMENU_4,"フレンド"
GAME_SHORTCUTTOOL_POPUPMENU_5,"クエスト"
GAME_SHORTCUTTOOL_POPUPMENU_6,"メール"
GAME_SHORTCUTTOOL_POPUPMENU_7,"コメントリスト"
GAME_SHORTCUTTOOL_POPUPMENU_8,"ナビ"
GAME_SHORTCUTTOOL_POPUPMENU_9,"ECOショップ"
GAME_SHORTCUTTOOL_POPUPMENU_10,"マクロ"
GAME_SHORTCUTTOOL_POPUPMENU_11,"オプション"
GAME_SHORTCUTTOOL_POPUPMENU_12,"ヘルプ"
GAME_SHORTCUTTOOL_POPUPMENU_13,"かんたんAI設定"
GAME_SHORTCUTTOOL_POPUPMENU_14,"旅人のメモ"
GAME_SHORTCUTTOOL_BALLOON_0,"ステータスウィンドウを表示します$r/ui_status"
GAME_SHORTCUTTOOL_BALLOON_1,"スキルウィンドウを表示します$r/ui_skill"
GAME_SHORTCUTTOOL_BALLOON_2,"アイテムウィンドウを表示します$r/ui_item"
GAME_SHORTCUTTOOL_BALLOON_3,"装備ウィンドウを表示します$r/ui_equip"
GAME_SHORTCUTTOOL_BALLOON_4,"フレンドリストウィンドウを表示します$r/ui_friend"
GAME_SHORTCUTTOOL_BALLOON_5,"クエストウィンドウを表示します$r/ui_quest"
GAME_SHORTCUTTOOL_BALLOON_6,"メールウィンドウを表示します"
GAME_SHORTCUTTOOL_BALLOON_7,"募集コメントリストウィンドウを表示します$r/ui_commentlist"
GAME_SHORTCUTTOOL_BALLOON_8,"イベントナビゲーションウィンドウを表示します"
